"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","129.687","294.622","2046.378","134.398","153.374","95.581","475.417"
"SD_Ann","108.967","597.34","2276.237","113.127","116.714","60.238","1193.503"
"CV_Ann","0.84","2.027","1.112","0.842","0.761","0.63","2.51"
"Q10_Mag","38.24","53","52.48","28.58","49.7","28.35","39.6"
"Q25_Mag","61.9","90.275","87.5","63.9","76.1","52.35","68.6"
"Q50_Mag","118.4","152.6","262.4","121.6","124.5","80.55","123.9"
"Q75_Mag","155.3","230.95","4419.1","171.6","187.3","130.025","185.625"
"Q90_Mag","189.84","409.65","5404.84","232.62","318.28","173.05","503.03"
"Q10_Tim","39","104","97","122","142","119","103"
"Q25_Tim","112","151","90","165","150","109","129"
"Q50_Tim","125","146","76","188","179","71","130"
"Q75_Tim","149","115","46","215","204","61","131"
"Q90_Tim","130","73","16","162","346",NA,"145"
"Q10_Fre","4","3","3","4","6","6","4"
"Q25_Fre","7","7","5","11","9","12","8"
"Q50_Fre","11","10","3","20","12","8","10"
"Q75_Fre","6","11","5","16","13","4","9"
"Q90_Fre","2","1","1","1","1",NA,"1"
"Q10_Dur","342","349","349","346","341","317","340"
"Q25_Dur","273","323","306","307","303","227","289"
"Q50_Dur","175","249","249","199","212","110","199"
"Q75_Dur","38","145","209","63","104","28","97"
"Q90_Dur","11","21","175","7","6",NA,"44"
"Q10_Mag_Lng_Evt","746.2","3697.6","5955.4","285.3","433.8","324.9","1907"
"Q25_Mag_Lng_Evt","536.3","3697.6","5955.4","189.1","433.8","241.7","1842"
"Q50_Mag_Lng_Evt","536.3","3697.6","5955.4","216.1","401.2","241.7","1841"
"Q75_Mag_Lng_Evt","536.3","3697.6","5955.4","774.7","433.8","241.7","1939"
"Q90_Mag_Lng_Evt","746.2","3697.6","5955.4","774.7","768.7",NA,"2388"
"Q10_Strt_Tim_Lng_Evt","1","8","1","178","182","1","61"
"Q25_Strt_Tim_Lng_Evt","177","8","6","5","183","1","63"
"Q50_Strt_Tim_Lng_Evt","186","15","15","254","215","31","119"
"Q75_Strt_Tim_Lng_Evt","191","32","15","156","188","35","102"
"Q90_Strt_Tim_Lng_Evt","74","73","16","162","346",NA,"134"
"Q10_Strt_Sea_Lng_Evt","win","win","win","sum","sum","win","win"
"Q25_Strt_Sea_Lng_Evt","sum","win","win","win","sum","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","aut","sum","win","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","sum","sum","win","sum"
"Q90_Strt_Sea_Lng_Evt","spr","spr","win","sum","win",NA,"spr"
"Q10_Dur_Lng_Evt","303","219","193","156","152","120","190"
"Q25_Dur_Lng_Evt","120","100","188","47","130","100","114"
"Q50_Dur_Lng_Evt","35","92","178","35","68","65","78"
"Q75_Dur_Lng_Evt","19","75","178","16","19","9","52"
"Q90_Dur_Lng_Evt","6","21","175","7","6",NA,"43"
"Init_Mag","644.4","351.917","168.236","220.5","277.602","628.315","381.828"
"Init_Tim","76","36","-45","-139","-12","-16","-16.667"
"Init_Dur","9","18","17","27","18","16","17.5"
"Wet_BFL_Mag_10","39.9","292.88","2472.76","35.98","35.48","47.97","487.495"
"Wet_BFL_Mag_50","123.9","2407.2","4489","110.3","122.4","112.5","1227.55"
"Wet_Tim","51","68","11","-165","-29","-31","-15.833"
"Wet_BFL_Dur","151","17","123","449","259","288","214.5"
"Peak_Mag_Ann","746.2","3697.6","5955.4","774.7","768.7","324.9","2044.583"
"Peak_Mag_Tim","75","84","133","167","349","108","152.667"
"Peak_Mag_95",NA,NA,"5271",NA,NA,NA,"5271"
"Peak_Mag_90","641.25","3697.6","5955.4","774.7","768.7",NA,"2367.53"
"Peak_Mag_80","536.3","251.2","294","316.6","403.4","238.55","340.008"
"Peak_Dur_95",NA,NA,"112",NA,NA,NA,"112"
"Peak_Dur_90","11","21","175","7","6",NA,"44"
"Peak_Dur_80","27","106","197","46","62","19","76.167"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","2","1","1","1","1",NA,"1.2"
"Peak_Fre_80","3","9","5","9","8","4","6.333"
"Peak_Tim_95",NA,NA,"59",NA,NA,NA,"59"
"Peak_Tim_90","136","73","16","162","346",NA,"146.6"
"Peak_Tim_80","142","209","219","184","221.5","57","172.083"
"Rec_Mag","536.3","3697.6","5955.4","185.6","313","133.4","1803.55"
"Rec_Tim","201","84","133","283","229","256","197.667"
"Rec_Dur","108","202","67","53","90","86","101"
"Rec_ROC","0.084","0.164","0.025","0.11","0.086","0.144","0.102"
"Dry_Mag_90","405.94","180.15","3.4","22.3","94.25","74.32","130.06"
"Dry_Mag_50","69.1","103.1","3.4","22.3","55.7","42.7","49.383"
"Dry_Mag_10","33.2","45.34","3.4","22.3","45.75","9.38","26.562"
"Dry_Tim","309","286","200","336","319","342","298.667"
"Dry_Dur","125","92","1","1","16","25","43.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"2",NA,NA,NA,"2"
"No_Peaks_Max",NA,NA,"4",NA,NA,NA,"4"
"Frac_V_Cent_Avg",NA,NA,"0.575",NA,NA,NA,"0.575"
"Frac_V_Cent_Max",NA,NA,"0.531",NA,NA,NA,"0.531"
