"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","129.687","382.308","2116.409","203.744","169.496","129.67","521.643"
"SD_Ann","108.967","647.134","2278.724","183.829","140.916","139.629","1209.234"
"CV_Ann","0.84","1.693","1.077","0.902","0.831","1.077","2.318"
"Q10_Mag","38.24","58","59.74","50.34","50.46","35.1","45.03"
"Q25_Mag","61.9","101.75","96.8","93","81.5","60.725","79.5"
"Q50_Mag","118.4","161.65","338.8","152.3","126.6","96.5","137.15"
"Q75_Mag","155.3","308.925","4489.8","227.1","199.7","147.75","227.925"
"Q90_Mag","189.84","791.1","5404.84","464.38","372.46","226.1","794.77"
"Q10_Tim","24","104","14","22","137","78","63"
"Q25_Tim","112","139","15","148","149","107","111"
"Q50_Tim","123","148","38","170","183","105","127"
"Q75_Tim","143","79","47","172","208","128","129"
"Q90_Tim",NA,"78","18","154",NA,"108","89"
"Q10_Fre","4","3","2","2","5","5","3"
"Q25_Fre","7","6","4","10","8","11","7"
"Q50_Fre","12","9","4","16","15","9","10"
"Q75_Fre","3","9","4","10","9","5","6"
"Q90_Fre",NA,"4","1","1",NA,"1","1"
"Q10_Dur","323","346","357","355","342","326","341"
"Q25_Dur","261","312","309","310","291","244","287"
"Q50_Dur","144","247","257","223","188","112","195"
"Q75_Dur","26","114","216","96","74","36","93"
"Q90_Dur",NA,"34","174","6",NA,"6","55"
"Q10_Mag_Lng_Evt","746.2","3697.6","5955.4","914.9","433.8","965.2","2118"
"Q25_Mag_Lng_Evt","536.3","3697.6","5955.4","914.9","433.8","241.7","1963"
"Q50_Mag_Lng_Evt","536.3","3697.6","5955.4","914.9","401.2","241.7","1957"
"Q75_Mag_Lng_Evt","536.3","3697.6","5955.4","914.9","433.8","965.2","2083"
"Q90_Mag_Lng_Evt",NA,"3697.6","5955.4","914.9",NA,"965.2","2883"
"Q10_Strt_Tim_Lng_Evt","1","8","1","1","182","1","32"
"Q25_Strt_Tim_Lng_Evt","177","9","6","79","184","1","76"
"Q50_Strt_Tim_Lng_Evt","187","23","15","115","215","31","97"
"Q75_Strt_Tim_Lng_Evt","193","32","15","122","188","106","109"
"Q90_Strt_Tim_Lng_Evt",NA,"73","18","154",NA,"108","88"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","sum","win","win"
"Q25_Strt_Sea_Lng_Evt","sum","win","win","spr","sum","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","spr","sum","win","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","spr","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","sum",NA,"spr","spr"
"Q10_Dur_Lng_Evt","301","218","344","333","151","238","264"
"Q25_Dur_Lng_Evt","118","126","301","121","126","98","148"
"Q50_Dur_Lng_Evt","33","86","233","76","50","42","86"
"Q75_Dur_Lng_Evt","14","74","182","51","17","22","60"
"Q90_Dur_Lng_Evt",NA,"21","174","6",NA,"6","51"
"Init_Mag","644.4","788.352","168.236","147.983","277.602","628.315","442.481"
"Init_Tim","76","50","-45","22","-12","-16","12.5"
"Init_Dur","9","32","17","9","17","16","16.667"
"Wet_BFL_Mag_10","39.9","456.74","2472.76","187.4","42.98","82.64","547.07"
"Wet_BFL_Mag_50","123.9","788.5","4489","466.3","125.2","152","1024.15"
"Wet_Tim","51","28","11","112","-27","-31","24"
"Wet_BFL_Dur","151","57","123","45","257","143","129.333"
"Peak_Mag_Ann","746.2","3697.6","5955.4","914.9","768.7","965.2","2174.667"
"Peak_Mag_Tim","75","84","133","156","349","111","151.333"
"Peak_Mag_95",NA,NA,"5271",NA,NA,NA,"5271"
"Peak_Mag_90",NA,"866.5","5955.4","914.9",NA,"965.2","2175.5"
"Peak_Mag_80","641.25","627.9","374.7","402.25","418.95","965.2","571.708"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90",NA,"34","174","6",NA,"6","55"
"Peak_Dur_80","18","95","192","63","58","21","74.5"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90",NA,"4","1","1",NA,"1","1.75"
"Peak_Fre_80","2","4","3","6","8","1","4"
"Peak_Tim_95",NA,NA,"61.5",NA,NA,NA,"61.5"
"Peak_Tim_90",NA,"64.5","18","154",NA,"108","86.125"
"Peak_Tim_80","134.5","134.5","206","150","203","106","155.667"
"Rec_Mag","536.3","3697.6","5955.4","914.9","313","965.2","2063.733"
"Rec_Tim","201","84","133","156","229","111","152.333"
"Rec_Dur","108","202","182","181","90","132","149.167"
"Rec_ROC","0.084","0.159","0.057","0.145","0.086","0.104","0.106"
"Dry_Mag_90","130.42","180.15","176.58","27.82","94.25","141.1","125.053"
"Dry_Mag_50","45.8","103.1","86.1","27.5","55.7","55.3","62.25"
"Dry_Mag_10","29.84","45.34","41.58","27.18","45.75","16.71","34.4"
"Dry_Tim","309","286","315","337","319","243","301.5"
"Dry_Dur","85","92","163","2","16","124","80.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"2.333",NA,NA,NA,"2.333"
"No_Peaks_Max",NA,NA,"4",NA,NA,NA,"4"
"Frac_V_Cent_Avg",NA,NA,"0.531",NA,NA,NA,"0.531"
"Frac_V_Cent_Max",NA,NA,"0.514",NA,NA,NA,"0.514"
