"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","288.869","526.649","5174.592","465.274","349.075","146.913","1157.812"
"SD_Ann","149.765","850.895","7159.783","287.945","223.989","74.075","3450.156"
"CV_Ann","0.518","1.616","1.384","0.619","0.642","0.504","2.98"
"Q10_Mag","119.44","113.85","118.54","153.36","99.68","45.25","96.22"
"Q25_Mag","158.9","170.225","422.4","232.4","171.5","90.55","157.375"
"Q50_Mag","258.5","382.4","922.3","382.4","301.3","131.65","306.7"
"Q75_Mag","401.6","508.775","7662.3","701","472.4","206.475","523.4"
"Q90_Mag","506.78","624.2","18253.04","893.18","708.96","248.05","969.69"
"Q10_Tim","52","121","41","102","76","87","79"
"Q25_Tim","84","126","50","103","135","82","96"
"Q50_Tim","134","130","52","138","172","124","124"
"Q75_Tim","193","147","61","149","217",NA,"153"
"Q90_Tim",NA,"69","20","173","343",NA,"151"
"Q10_Fre","2","3","2","3","3","6","3"
"Q25_Fre","4","4","3","6","6","7","5"
"Q50_Fre","7","3","2","7","12","4","5"
"Q75_Fre","4","5","4","6","8",NA,"5"
"Q90_Fre",NA,"1","3","6","1",NA,"2"
"Q10_Dur","343","358","339","354","341","289","337"
"Q25_Dur","288","288","313","328","310","168","282"
"Q50_Dur","153","251","294","240","184","4","187"
"Q75_Dur","40","102","237","129","70",NA,"115"
"Q90_Dur",NA,"15","179","35","3",NA,"58"
"Q10_Mag_Lng_Evt","775.1","785.9","25706.7","1277.1","967.6","347.1","4976"
"Q25_Mag_Lng_Evt","775.1","785.9","25706.7","1277.1","967.6","325.8","4973"
"Q50_Mag_Lng_Evt","775.1","785.9","25706.7","1249.4","967.6","325.8","4968"
"Q75_Mag_Lng_Evt","583.6","785.9","25706.7","1249.4","967.6",NA,"5858"
"Q90_Mag_Lng_Evt",NA,"5137.1","25706.7","1249.4","1233.4",NA,"8331"
"Q10_Strt_Tim_Lng_Evt","1","133","1","47","41","113","56"
"Q25_Strt_Tim_Lng_Evt","57","134","8","50","120","1","61"
"Q50_Strt_Tim_Lng_Evt","163","142","9","150","162","45","111"
"Q75_Strt_Tim_Lng_Evt","208","149","10","158","177",NA,"140"
"Q90_Strt_Tim_Lng_Evt",NA,"69","13","205","343",NA,"157"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","spr","sum","win","spr"
"Q75_Strt_Sea_Lng_Evt","sum","spr","win","sum","sum",NA,"sum"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","sum","win",NA,"win"
"Q10_Dur_Lng_Evt","285","145","297","217","260","169","228"
"Q25_Dur_Lng_Evt","217","140","271","212","154","88","180"
"Q50_Dur_Lng_Evt","77","119","254","111","91","1","108"
"Q75_Dur_Lng_Evt","21","62","178","85","42",NA,"77"
"Q90_Dur_Lng_Evt",NA,"15","173","15","3",NA,"51"
"Init_Mag","235.368","467.197","419.222","138.203","268.77","964.374","415.522"
"Init_Tim","20","29","-36","-79","-70","-21","-26.167"
"Init_Dur","9","9","12","5","8","21","10.667"
"Wet_BFL_Mag_10","181.14","152.27","3374.72","212.96","120.76","94.9","689.458"
"Wet_BFL_Mag_50","339.2","326.65","7648","462.5","301.8","209.2","1547.892"
"Wet_Tim","25","63","6","-47","-44","-43","-6.667"
"Wet_BFL_Dur","187","10","115","287","257","238","182.333"
"Peak_Mag_Ann","775.1","5137.1","25706.7","1277.1","1233.4","347.1","5746.083"
"Peak_Mag_Tim","187","72","120","90","344","175","164.667"
"Peak_Mag_95",NA,NA,"16793.1",NA,NA,NA,"16793.1"
"Peak_Mag_90",NA,"5137.1","1036.7","1034.25","1233.4",NA,"2110.363"
"Peak_Mag_80","775.1","652.8","1036.7","1249.4","967.6",NA,"936.32"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90",NA,"15","179","35","3",NA,"58"
"Peak_Dur_80","11","56","225","111","52",NA,"91"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90",NA,"1","3","6","1",NA,"2.75"
"Peak_Fre_80","1","8","3","3","3",NA,"3.6"
"Peak_Tim_95",NA,NA,"54",NA,NA,NA,"54"
"Peak_Tim_90",NA,"69","204","190","343",NA,"201.5"
"Peak_Tim_80","186","184.5","193","144","224",NA,"186.3"
"Rec_Mag","574.2","5137.1","25706.7","995.7","865.1","257.4","5589.367"
"Rec_Tim","211","72","120","239","212","194","174.667"
"Rec_Dur","82","206","161","29","98",NA,"115.2"
"Rec_ROC","0.076","0.071","0.059","0.121","0.113",NA,"0.088"
"Dry_Mag_90","432.3","401.28","129.73","251.39","249.14",NA,"292.768"
"Dry_Mag_50","181.1","165.7","91.05","166.45","77.8",NA,"136.42"
"Dry_Mag_10","72.4","98.74","59.15","71.24","71.46",NA,"74.598"
"Dry_Tim","293","278","281","268","310",NA,"286"
"Dry_Dur","136","95","38","54","13",NA,"67.2"
"Dry_NoFL_Days","0","0","0","0","0",NA,"0"
"No_Peaks_Avg",NA,NA,"2",NA,NA,NA,"2"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.53",NA,NA,NA,"0.53"
"Frac_V_Cent_Max",NA,NA,"0.469",NA,NA,NA,"0.469"
