"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","302.583","625.054","5250.82","550.109","379.589","191.719","1215.908"
"SD_Ann","172.614","879.958","7142.149","316.612","238.534","161.056","3451.663"
"CV_Ann","0.57","1.408","1.36","0.576","0.628","0.84","2.839"
"Q10_Mag","119.44","115.75","118.54","191.7","111.4","50.45","106.63"
"Q25_Mag","158.9","197.025","434.2","254.3","197.7","108.475","176.3"
"Q50_Mag","259.8","424.8","972.2","482.7","330.1","170.4","339"
"Q75_Mag","418.1","634.975","7692.4","827.6","512.5","229.325","635.125"
"Q90_Mag","529.68","818.95","18253.04","1011.48","756.96","280.65","1076.67"
"Q10_Tim","53","124","41","44","84","24","61"
"Q25_Tim","87","124","50","94","140","97","98"
"Q50_Tim","135","124","55","105","169","103","115"
"Q75_Tim","103","80","10","109","197","101","99"
"Q90_Tim",NA,"95","14","154","210","104","115"
"Q10_Fre","2","4","2","2","4","7","3"
"Q25_Fre","5","4","2","4","7","11","5"
"Q50_Fre","7","4","3","6","11","2","5"
"Q75_Fre","2","7","1","2","4","1","2"
"Q90_Fre",NA,"2","1","6","2","1","2"
"Q10_Dur","340","346","339","358","333","289","334"
"Q25_Dur","264","280","310","339","299","193","280"
"Q50_Dur","143","256","289","233","185","22","188"
"Q75_Dur","10","95","229","153","60","10","92"
"Q90_Dur",NA,"28","173","18","4","3","45"
"Q10_Mag_Lng_Evt","943","1613.2","25706.7","1277.1","1094.6","1099.4","5289"
"Q25_Mag_Lng_Evt","943","1613.2","25706.7","1277.1","967.6","325.8","5138"
"Q50_Mag_Lng_Evt","775.1","1613.2","25706.7","1277.1","967.6","1099.4","5239"
"Q75_Mag_Lng_Evt","943","5137.1","25706.7","1249.4","967.6","1099.4","5850"
"Q90_Mag_Lng_Evt",NA,"5137.1","25706.7","1114.5","1094.6","1099.4","6830"
"Q10_Strt_Tim_Lng_Evt","1","133","1","49","51","1","39"
"Q25_Strt_Tim_Lng_Evt","66","134","8","50","147","1","67"
"Q50_Strt_Tim_Lng_Evt","163","135","9","66","163","100","106"
"Q75_Strt_Tim_Lng_Evt","67","36","10","114","180","101","84"
"Q90_Strt_Tim_Lng_Evt",NA,"69","14","138","77","104","80"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","spr","win","spr"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","spr","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","win","win","spr","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","282","145","297","317","249","267","259"
"Q25_Dur_Lng_Evt","197","134","269","234","127","88","174"
"Q50_Dur_Lng_Evt","76","125","247","195","90","21","125"
"Q75_Dur_Lng_Evt","7","62","229","128","37","10","78"
"Q90_Dur_Lng_Evt",NA,"19","173","5","2","3","40"
"Init_Mag","329.896","4922.325","419.222","138.203","268.791","964.374","1173.802"
"Init_Tim","35","75","-36","-79","-70","-21","-16"
"Init_Dur","10","14","12","5","7","21","11.5"
"Wet_BFL_Mag_10","233.1","611","3374.72","199.4","130.12","178.53","787.812"
"Wet_BFL_Mag_50","391.95","812.4","7648","552.4","336.5","239.15","1663.4"
"Wet_Tim","60","62","6","-47","-60","-42","-3.5"
"Wet_BFL_Dur","152","11","115","255","273","148","159"
"Peak_Mag_Ann","943","5137.1","25706.7","1277.1","1233.4","1099.4","5899.45"
"Peak_Mag_Tim","69","72","120","90","344","105","133.333"
"Peak_Mag_95",NA,NA,"16793.1",NA,NA,NA,"16793.1"
"Peak_Mag_90",NA,"3375.15","25706.7","1120.15","1164","1099.4","6493.08"
"Peak_Mag_80","943","3375.15","25706.7","1122.55","967.6","1099.4","5535.733"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90",NA,"28","173","18","4","3","45.2"
"Peak_Dur_80","7","69","220","123","39","9","77.833"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90",NA,"2","1","6","2","1","2.4"
"Peak_Fre_80","1","2","1","4","5","1","2.333"
"Peak_Tim_95",NA,NA,"55",NA,NA,NA,"55"
"Peak_Tim_90",NA,"109.5","14","163","210.5","104","120.2"
"Peak_Tim_80","67","94.5","10","176","183","101","105.25"
"Rec_Mag","574.2","5137.1","25706.7","1080.8","865.1","1099.4","5743.883"
"Rec_Tim","211","72","120","207","212","105","154.5"
"Rec_Dur","82","206","161","79","98","228","142.333"
"Rec_ROC","0.076","0.077","0.049","0.057","0.113","0.074","0.074"
"Dry_Mag_90","802.58","401.28","129.73","283.86","248.81","115.33","330.265"
"Dry_Mag_50","180.7","165.7","91.05","168.15","79","44.35","121.492"
"Dry_Mag_10","71.9","98.74","59.15","126.89","71.49","37.18","77.558"
"Dry_Tim","293","278","281","286","310","333","296.833"
"Dry_Dur","135","95","38","20","14","34","56"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.667",NA,NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.525",NA,NA,NA,"0.525"
"Frac_V_Cent_Max",NA,NA,"0.455",NA,NA,NA,"0.455"
