"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","73.66","55.907","587.192","82.665","69.178","96.275","160.735"
"SD_Ann","71.546","67.781","1956.971","75.618","69.922","100.214","823.288"
"CV_Ann","0.971","1.212","3.333","0.915","1.011","1.041","5.122"
"Q10_Mag","14.18","14","11","22.88","14.9","24.05","16"
"Q25_Mag","19","18","48","36.5","31.3","39.75","27.975"
"Q50_Mag","61.3","25.5","70","62.9","46","72.55","59"
"Q75_Mag","104.9","75.75","133","102.1","93","103.45","96.6"
"Q90_Mag","119.94","96","1225.8","111.98","98.3","190.2","156.59"
"Q10_Tim","120","116","43","1","61","82","70"
"Q25_Tim","114","57","112","60","55","81","79"
"Q50_Tim","89","29","168","90","32","99","84"
"Q75_Tim","29","100","181","70","88","164","105"
"Q90_Tim","80","108","168","108","107","165","122"
"Q10_Fre","5","3","1","1","3","2","2"
"Q25_Fre","4","7","3","3","2","2","3"
"Q50_Fre","5","3","6","6","3","4","4"
"Q75_Fre","3","5","4","4","4","5","4"
"Q90_Fre","2","2","3","2","1","5","2"
"Q10_Dur","300","318","323","365","316","360","330"
"Q25_Dur","228","174","304","319","296","328","274"
"Q50_Dur","184","145","212","202","151","206","183"
"Q75_Dur","118","36","107","128","52","121","93"
"Q90_Dur","22","18","87","24","22","47","36"
"Q10_Mag_Lng_Evt","419.7","429","16726","408","384.9","600.1","3161"
"Q25_Mag_Lng_Evt","419.7","429","16726","408","384.9","600.1","3161"
"Q50_Mag_Lng_Evt","419.7","429","16726","408","384.9","600.1","3161"
"Q75_Mag_Lng_Evt","419.7","429","16726","122.7","384.9","600.1","3113"
"Q90_Mag_Lng_Evt","419.7","429","16726","408","384.9","403.2","3128"
"Q10_Strt_Tim_Lng_Evt","1","1","43","1","1","1","8"
"Q25_Strt_Tim_Lng_Evt","1","1","44","1","1","1","8"
"Q50_Strt_Tim_Lng_Evt","1","1","49","1","1","10","10"
"Q75_Strt_Tim_Lng_Evt","1","60","75","10","106","15","44"
"Q90_Strt_Tim_Lng_Evt","88","61","76","99","107","134","94"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","spr","win","spr","win","win"
"Q90_Strt_Sea_Lng_Evt","spr","win","spr","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","155","145","323","365","254","242","247"
"Q25_Dur_Lng_Evt","136","139","216","259","245","231","204"
"Q50_Dur_Lng_Evt","132","133","85","132","132","146","126"
"Q75_Dur_Lng_Evt","108","19","56","82","25","49","56"
"Q90_Dur_Lng_Evt","16","15","52","23","22","17","24"
"Init_Mag","175.053","47.02","47.685","353.806","373.187","91.512","181.377"
"Init_Tim","61","-135","-38","-71","116","-32","-16.5"
"Init_Dur","14","11","34","12","21","34","21"
"Wet_BFL_Mag_10","98.2","84.1","93.8","71","79.89","69.65","82.773"
"Wet_BFL_Mag_50","206.45","91.5","2090","103.1","237.9","87.15","469.35"
"Wet_Tim","82","-13","68","-95","98","5","24.167"
"Wet_BFL_Dur","14","82","37","206","20","136","82.5"
"Peak_Mag_Ann","419.7","429","16726","408","384.9","641.2","3168.133"
"Peak_Mag_Tim","95","67","104","110","117","286","129.833"
"Peak_Mag_95","419.7","429","8565.5","408","384.9","600.1","1801.2"
"Peak_Mag_90","304.25","314.5","405","283.3","384.9","403.2","349.192"
"Peak_Mag_80","155.85","200","332.5","115.4","152.6","326.9","213.875"
"Peak_Dur_95","9","7","56","13","9","16","18.333"
"Peak_Dur_90","22","18","87","24","22","47","36.667"
"Peak_Dur_80","99","25","102","93","30","93","73.667"
"Peak_Fre_95","1","1","2","1","1","3","1.5"
"Peak_Fre_90","2","2","3","2","1","5","2.5"
"Peak_Fre_80","4","3","4","6","3","7","4.5"
"Peak_Tim_95","91","64","183","103","111","137","114.833"
"Peak_Tim_90","73.5","203.5","286","213","107","134","169.5"
"Peak_Tim_80","192.5","60","245","76","173","283","171.583"
"Rec_Mag","419.7","429","16726","408","384.9","403.2","3128.467"
"Rec_Tim","95","68","104","110","117","140","105.667"
"Rec_Dur","62","125","33","160","141","103","104"
"Rec_ROC","0.046","0.067","0.137","0.043","0.029","0.026","0.058"
"Dry_Mag_90","84.45","78.9","78.7","98.3","53.14","190.77","97.377"
"Dry_Mag_50","21.7","18","53.5","88","24.2","56.4","43.633"
"Dry_Mag_10","13.3","7","31.3","20.5","14.32","17","17.237"
"Dry_Tim","157","193","137","270","258","243","209.667"
"Dry_Dur","196","242","134","194","113","124","167.167"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.667","2","2","1","1.445"
"No_Peaks_Max","1","1","2","2","2","1","1.5"
"Frac_V_Cent_Avg","0.786","0.571","0.524","0.538","0.556","0.64","0.603"
"Frac_V_Cent_Max","0.571","0.571","0.406","0.538","0.556","0.75","0.565"
