"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","104.661","81.448","330.334","114.864","99.482","58.135","131.431"
"SD_Ann","65.283","59.606","1496.062","82.61","64.635","45.798","619.322"
"CV_Ann","0.624","0.732","4.529","0.719","0.65","0.788","4.712"
"Q10_Mag","50.92","21","24","44.9","38.68","30","30"
"Q25_Mag","63.1","47.25","33","57.1","55.4","38.1","46.3"
"Q50_Mag","83.1","68","52","93.1","83.2","45.5","73"
"Q75_Mag","119.5","94.75","176","126.8","110.2","61.775","110.025"
"Q90_Mag","174.98","183.5","353.2","243.86","191.5","95.6","204"
"Q10_Tim","1","78","157","91","26","34","64"
"Q25_Tim","93","103","198","117","113","144","128"
"Q50_Tim","160","128","219","199","94","156","159"
"Q75_Tim","176","183","201","195","126","137","169"
"Q90_Tim","116","246","180","198","119","124","163"
"Q10_Fre","1","2","4","2","2","3","2"
"Q25_Fre","2","5","5","4","5","7","4"
"Q50_Fre","10","10","9","8","7","5","8"
"Q75_Fre","12","9","8","10","6","2","7"
"Q90_Fre","4","5","6","5","5","1","4"
"Q10_Dur","365","301","283","361","352","336","333"
"Q25_Dur","355","280","223","333","326","173","281"
"Q50_Dur","279","179","154","227","243","65","191"
"Q75_Dur","121","79","123","137","99","21","96"
"Q90_Dur","20","27","86","59","33","11","39"
"Q10_Mag_Lng_Evt","463.5","356","468","417.4","442.7","305.4","408"
"Q25_Mag_Lng_Evt","463.5","323","468","417.4","442.7","173","381"
"Q50_Mag_Lng_Evt","463.5","197","468","325.4","442.7","173","344"
"Q75_Mag_Lng_Evt","463.5","214","468","325.4","442.7","305.4","369"
"Q90_Mag_Lng_Evt","463.5","214","468","499.7","442.7","305.4","398"
"Q10_Strt_Tim_Lng_Evt","1","135","158","158","1","1","75"
"Q25_Strt_Tim_Lng_Evt","1","1","230","168","1","160","93"
"Q50_Strt_Tim_Lng_Evt","56","64","232","235","1","165","125"
"Q75_Strt_Tim_Lng_Evt","57","280","232","248","65","123","167"
"Q90_Strt_Tim_Lng_Evt","57","290","249","88","102","124","151"
"Q10_Strt_Sea_Lng_Evt","win","spr","sum","sum","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","sum","sum","win","sum","sum"
"Q50_Strt_Sea_Lng_Evt","win","spr","sum","sum","win","sum","sum"
"Q75_Strt_Sea_Lng_Evt","win","aut","sum","aut","spr","spr","aut"
"Q90_Strt_Sea_Lng_Evt","win","aut","aut","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","365","172","137","208","326","303","251"
"Q25_Dur_Lng_Evt","196","127","64","198","167","69","136"
"Q50_Dur_Lng_Evt","64","56","62","56","143","33","69"
"Q75_Dur_Lng_Evt","55","21","61","43","54","16","41"
"Q90_Dur_Lng_Evt","11","11","38","21","14","11","17"
"Init_Mag","414.188","88.083","2946.75","78.584","240.436","108.407","646.075"
"Init_Tim","61","-146","78","-196","72","-101","-38.667"
"Init_Dur","10","17","10","26","17","21","16.833"
"Wet_BFL_Mag_10","50.4","49","42","40.9","99.58","35.68","52.927"
"Wet_BFL_Mag_50","105.9","80","496.5","96.85","176.8","46.8","167.142"
"Wet_Tim","51","-162","70","-140","58","-123","-41"
"Wet_BFL_Dur","11","454","26","426","49","255","203.5"
"Peak_Mag_Ann","463.5","356","21754","499.7","442.7","305.4","3970.217"
"Peak_Mag_Tim","60","266","95","106","106","131","127.333"
"Peak_Mag_95","463.5","323","537","394.7","362.9","305.4","397.75"
"Peak_Mag_90","258.65","322","386","325.4","263.7","305.4","310.192"
"Peak_Mag_80","160.75","214","386","198.1","232.3","239.2","238.392"
"Peak_Dur_95","9","4","68","22","9","4","19.333"
"Peak_Dur_90","20","27","86","59","33","11","39.333"
"Peak_Dur_80","92","56","111","111","78","20","78"
"Peak_Fre_95","1","3","5","5","2","1","2.833"
"Peak_Fre_90","4","5","6","5","5","1","4.333"
"Peak_Fre_80","10","7","6","8","5","2","6.333"
"Peak_Tim_95","58","172","107","105","153","128","120.5"
"Peak_Tim_90","85.5","265","214.5","251","102","124","173.667"
"Peak_Tim_80","229","183","181.5","229.5","159","152.5","189.083"
"Rec_Mag","463","214","21754","325.4","442.7","305.4","3917.417"
"Rec_Tim","61","291","95","285","106","131","161.5"
"Rec_Dur","142","30","32","44","123","188","93.167"
"Rec_ROC","0.059","0.048","0.229","0.065","0.132","0.091","0.104"
"Dry_Mag_90","42.5","43","84.4","105.9","115.61","38.1","71.585"
"Dry_Mag_50","42.5","24","48","87.6","63.25","32.25","49.6"
"Dry_Mag_10","42.5","18","22","81.9","48.44","15.92","38.127"
"Dry_Tim","203","321","127","329","229","319","254.667"
"Dry_Dur","1","116","99","95","14","48","62.167"
"Dry_NoFL_Days","0","0","0","0","0","1","0.167"
"No_Peaks_Avg","2","1","1.5","1.2","1.5","1","1.367"
"No_Peaks_Max","2","1","1","1","2","1","1.333"
"Frac_V_Cent_Avg","0.556","0.833","0.592","0.75","0.75","0.75","0.705"
"Frac_V_Cent_Max","0.556","0.5","0.4","0.5","0.5","0.75","0.534"
