"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","112.524","83.639","332.836","121.115","105.915","59.362","135.84"
"SD_Ann","80.307","62.805","1495.797","100.355","83.505","46.069","620.32"
"CV_Ann","0.714","0.751","4.494","0.829","0.788","0.776","4.567"
"Q10_Mag","51.24","21","24","44.9","38.68","30","30"
"Q25_Mag","69.4","48","33","57.1","55.4","38.1","46.775"
"Q50_Mag","83.7","69.5","52","93.1","83.2","45.5","73.9"
"Q75_Mag","122.1","99.75","181","126.8","110.4","65.5","111.3"
"Q90_Mag","178.88","185","353.2","267.4","210.12","98.3","212.93"
"Q10_Tim","1","78","126","91","26","34","59"
"Q25_Tim","93","103","198","135","113","146","131"
"Q50_Tim","163","122","219","199","98","164","160"
"Q75_Tim","177","176","194","200","125","138","168"
"Q90_Tim","105","213","181","195","110","125","154"
"Q10_Fre","1","2","3","2","2","3","2"
"Q25_Fre","2","5","5","6","5","5","4"
"Q50_Fre","12","9","9","8","8","6","8"
"Q75_Fre","12","9","8","9","6","2","7"
"Q90_Fre","3","4","6","5","5","1","4"
"Q10_Dur","365","301","291","361","352","336","334"
"Q25_Dur","355","280","223","320","325","174","279"
"Q50_Dur","261","175","155","227","233","72","187"
"Q75_Dur","120","83","117","132","96","20","94"
"Q90_Dur","28","17","86","57","34","10","38"
"Q10_Mag_Lng_Evt","506.4","356","468","417.4","536.3","305.4","431"
"Q25_Mag_Lng_Evt","506.4","403","468","417.4","536.3","173","417"
"Q50_Mag_Lng_Evt","506.4","403","468","325.4","536.3","173","402"
"Q75_Mag_Lng_Evt","506.4","214","468","325.4","536.3","305.4","392"
"Q90_Mag_Lng_Evt","506.4","356","468","598.8","536.3","305.4","461"
"Q10_Strt_Tim_Lng_Evt","1","135","158","158","1","1","75"
"Q25_Strt_Tim_Lng_Evt","1","1","230","202","1","160","99"
"Q50_Strt_Tim_Lng_Evt","56","53","232","235","1","166","123"
"Q75_Strt_Tim_Lng_Evt","57","280","232","248","65","124","167"
"Q90_Strt_Tim_Lng_Evt","80","265","249","88","97","125","150"
"Q10_Strt_Sea_Lng_Evt","win","spr","sum","sum","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","sum","sum","win","sum","sum"
"Q50_Strt_Sea_Lng_Evt","win","win","sum","sum","win","sum","sum"
"Q75_Strt_Sea_Lng_Evt","win","aut","sum","aut","spr","spr","aut"
"Q90_Strt_Sea_Lng_Evt","spr","aut","aut","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","365","172","208","208","326","303","263"
"Q25_Dur_Lng_Evt","196","127","64","164","166","69","131"
"Q50_Dur_Lng_Evt","64","67","62","56","128","32","68"
"Q75_Dur_Lng_Evt","54","21","61","43","54","15","41"
"Q90_Dur_Lng_Evt","12","10","37","21","19","10","18"
"Init_Mag","414.188","88.083","2946.75","78.584","240.436","109.432","646.246"
"Init_Tim","61","-146","78","-196","72","-102","-38.833"
"Init_Dur","10","17","10","26","17","25","17.5"
"Wet_BFL_Mag_10","51.32","49","42","41.05","98.2","35.58","52.858"
"Wet_BFL_Mag_50","193.3","80","496.5","96.85","184.95","47.3","183.15"
"Wet_Tim","51","-162","70","-140","58","-137","-43.333"
"Wet_BFL_Dur","33","454","26","426","46","269","209"
"Peak_Mag_Ann","506.4","403","21754","598.8","536.3","305.4","4017.317"
"Peak_Mag_Tim","83","56","95","100","103","131","94.667"
"Peak_Mag_95","484.95","356","502.5","458.55","536.3",NA,"467.66"
"Peak_Mag_90","463.5","339","391.5","325.4","263.7","305.4","348.083"
"Peak_Mag_80","185.15","214","391.5","246.05","232.3","239.2","251.367"
"Peak_Dur_95","20","5","49","29","14",NA,"23.4"
"Peak_Dur_90","28","17","86","57","34","10","38.667"
"Peak_Dur_80","88","61","112","99","76","19","75.833"
"Peak_Fre_95","2","3","6","4","1",NA,"3.2"
"Peak_Fre_90","3","4","6","5","5","1","4"
"Peak_Fre_80","8","7","6","8","5","2","6"
"Peak_Tim_95","69.5","172","180","158.5","99",NA,"135.8"
"Peak_Tim_90","80","218.5","214.5","251","97","125","164.333"
"Peak_Tim_80","229","183","181.5","229.5","159","153","189.167"
"Rec_Mag","506.4","214","21754","325.4","536.3","305.4","3940.25"
"Rec_Tim","83","291","95","285","103","131","164.667"
"Rec_Dur","120","30","32","44","125","188","89.833"
"Rec_ROC","0.042","0.048","0.229","0.065","0.123","0.089","0.099"
"Dry_Mag_90","42.5","43","84.4","105.9","32.2","38.1","57.683"
"Dry_Mag_50","42.5","24","48","87.6","32.2","32.25","44.425"
"Dry_Mag_10","42.5","18","22","81.9","32.2","15.92","35.42"
"Dry_Tim","203","321","127","329","228","319","254.5"
"Dry_Dur","1","116","99","95","1","48","60"
"Dry_NoFL_Days","0","0","0","0","0","1","0.167"
"No_Peaks_Avg","1.333","1","1.143","0.833","1",NA,"1.062"
"No_Peaks_Max","1","1","1","1","1",NA,"1"
"Frac_V_Cent_Avg","0.602","0.889","0.648","0.736","0.778",NA,"0.731"
"Frac_V_Cent_Max","0.75","0.667","0.4","0.625","0.556",NA,"0.6"
