"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","116.064","90.842","835.142","139.556","103.502","125.486","234.983"
"SD_Ann","66.989","64.474","3655.69","98.503","76.459","122.738","1516.242"
"CV_Ann","0.577","0.71","4.377","0.706","0.739","0.978","6.453"
"Q10_Mag","58.12","23","22","53.4","44.46","53.1","43.61"
"Q25_Mag","72.4","46","74","81","57.9","72.775","66.825"
"Q50_Mag","101.5","86","106","108","78.5","98.2","97.95"
"Q75_Mag","133.5","112","294","150","124.4","125.325","131.55"
"Q90_Mag","187.14","168.5","1276.2","303.6","176.36","184.05","263.52"
"Q10_Tim","115","83","108","96","100","64","94"
"Q25_Tim","127","105","144","132","99","66","112"
"Q50_Tim","149","120","203","169","24","134","133"
"Q75_Tim","160","188","181","164","58","88","140"
"Q90_Tim","174","221","166","198","94","95","157"
"Q10_Fre","3","2","2","2","3","2","2"
"Q25_Fre","6","8","3","6","8","7","6"
"Q50_Fre","11","6","10","10","7","9","8"
"Q75_Fre","5","7","6","7","2","8","5"
"Q90_Fre","3","2","3","4","2","3","2"
"Q10_Dur","353","290","320","348","338","359","334"
"Q25_Dur","323","233","310","318","254","296","289"
"Q50_Dur","203","149","225","243","132","202","192"
"Q75_Dur","104","70","131","112","71","79","94"
"Q90_Dur","19","14","104","48","15","24","37"
"Q10_Mag_Lng_Evt","332","344","907","396","592.2","1157","621"
"Q25_Mag_Lng_Evt","399.4","277","907","545","592.2","1157","646"
"Q50_Mag_Lng_Evt","399.4","277","907","396","592.2","553.7","520"
"Q75_Mag_Lng_Evt","399.4","246","907","396","592.2","553.7","515"
"Q90_Mag_Lng_Evt","399.4","344","907","545","592.2","553.7","556"
"Q10_Strt_Tim_Lng_Evt","204","144","134","168","1","1","108"
"Q25_Strt_Tim_Lng_Evt","1","1","134","1","1","1","23"
"Q50_Strt_Tim_Lng_Evt","50","52","226","236","1","80","107"
"Q75_Strt_Tim_Lng_Evt","56","281","232","249","52","115","164"
"Q90_Strt_Tim_Lng_Evt","59","264","236","96","106","125","147"
"Q10_Strt_Sea_Lng_Evt","sum","spr","spr","sum","win","win","spr"
"Q25_Strt_Sea_Lng_Evt","win","win","spr","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","sum","sum","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","aut","sum","aut","win","spr","aut"
"Q90_Strt_Sea_Lng_Evt","win","aut","sum","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","162","166","232","198","167","281","201"
"Q25_Dur_Lng_Evt","139","119","161","125","149","233","154"
"Q50_Dur_Lng_Evt","71","67","69","55","119","74","75"
"Q75_Dur_Lng_Evt","54","26","63","42","67","29","46"
"Q90_Dur_Lng_Evt","9","11","58","17","10","16","20"
"Init_Mag","374.327","114.556","15610.013","211.509","272.264","154.278","2789.491"
"Init_Tim","62","-14","77","-33","72","4","28"
"Init_Dur","16","9","18","5","19","10","12.833"
"Wet_BFL_Mag_10","49.9","46","92.2","52.5","124.44","88.15","75.532"
"Wet_BFL_Mag_50","85.75","95","1668","111","159.25","122.65","373.608"
"Wet_Tim","42","-22","68","-47","36","-4","12.167"
"Wet_BFL_Dur","242","323","29","336","72","136","189.667"
"Peak_Mag_Ann","399.4","344","37751","545","592.2","1157","6798.1"
"Peak_Mag_Tim","62","268","76","102","107","41","109.333"
"Peak_Mag_95","399.4",NA,"907","470.5","592.2","855.35","644.89"
"Peak_Mag_90","332","310.5","907","367.5","461.3","553.7","488.667"
"Peak_Mag_80","331.8","261.5","594.5","191","387.05","262.6","338.075"
"Peak_Dur_95","2",NA,"77","12","7","17","23"
"Peak_Dur_90","19","14","104","48","15","24","37.333"
"Peak_Dur_80","82","46","124","93","55","56","76"
"Peak_Fre_95","1",NA,"3","2","1","2","1.8"
"Peak_Fre_90","3","2","3","4","2","3","2.833"
"Peak_Fre_80","5","4","4","7","2","6","4.667"
"Peak_Tim_95","61",NA,"254","182","107","84","137.6"
"Peak_Tim_90","270","163","236","176","88","41","162.333"
"Peak_Tim_80","266","177","200.5","237","113.5","67","176.833"
"Rec_Mag","332","222","33025","339","592.2","553.7","5843.983"
"Rec_Tim","283","300","96","288","107","131","200.833"
"Rec_Dur","59","56","204","40","222","155","122.667"
"Rec_ROC","0.058","0.167","0.066","0.085","0.077","0.085","0.09"
"Dry_Mag_90","68.93","71","114.6","125.47","69.86","124.5","95.727"
"Dry_Mag_50","68.65","14","100","117.55","56.2","70.1","71.083"
"Dry_Mag_10","68.37","8","94.8","107","36.82","46.3","60.215"
"Dry_Tim","342","356","300","328","329","286","323.5"
"Dry_Dur","2","79","19","74","33","81","48"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1",NA,"1.667","1.333","2","1","1.4"
"No_Peaks_Max","1",NA,"2","2","2","1","1.6"
"Frac_V_Cent_Avg","1",NA,"0.479","0.833","0.571","0.667","0.71"
"Frac_V_Cent_Max","1",NA,"0.263","0.5","0.571","0.5","0.567"
