"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","123.927","94.65","839.468","147.929","110.723","128.012","240.667"
"SD_Ann","81.68","72.099","3654.98","121.767","95.896","122.488","1516.497"
"CV_Ann","0.659","0.762","4.354","0.823","0.866","0.957","6.301"
"Q10_Mag","58.3","23","22","53.4","44.46","54.2","45"
"Q25_Mag","72.4","46","74","81","57.9","74.8","67"
"Q50_Mag","101.9","86","107","108","78.5","100.6","98"
"Q75_Mag","137.6","112","305","150","124.4","128.275","135"
"Q90_Mag","207.02","202.5","1276.2","331","195.62","190.85","293.35"
"Q10_Tim","115","83","108","96","100","64","94"
"Q25_Tim","127","105","109","132","98","68","106"
"Q50_Tim","149","119","203","169","24","137","133"
"Q75_Tim","161","181","182","166","58","95","140"
"Q90_Tim","132","184","170","186","95","97","144"
"Q10_Fre","3","2","2","2","3","2","2"
"Q25_Fre","6","8","2","6","8","5","5"
"Q50_Fre","11","6","10","10","7","8","8"
"Q75_Fre","5","6","7","7","2","8","5"
"Q90_Fre","4","2","4","3","2","3","3"
"Q10_Dur","352","290","320","348","338","359","334"
"Q25_Dur","323","233","316","318","253","298","290"
"Q50_Dur","203","150","226","243","132","208","193"
"Q75_Dur","98","63","131","111","71","84","93"
"Q90_Dur","27","10","97","48","20","22","37"
"Q10_Mag_Lng_Evt","332","344","907","396","606.2","1157","623"
"Q25_Mag_Lng_Evt","458.4","417","907","766","606.2","1157","718"
"Q50_Mag_Lng_Evt","458.4","417","907","396","606.2","553.7","556"
"Q75_Mag_Lng_Evt","458.4","246","907","396","606.2","553.7","527"
"Q90_Mag_Lng_Evt","458.4","344","37751","766","606.2","553.7","6746"
"Q10_Strt_Tim_Lng_Evt","205","144","134","168","1","1","108"
"Q25_Strt_Tim_Lng_Evt","1","1","134","1","1","1","23"
"Q50_Strt_Tim_Lng_Evt","50","51","226","236","1","80","107"
"Q75_Strt_Tim_Lng_Evt","56","281","232","249","52","115","164"
"Q90_Strt_Tim_Lng_Evt","82","268","73","90","98","125","122"
"Q10_Strt_Sea_Lng_Evt","sum","spr","spr","sum","win","win","spr"
"Q25_Strt_Sea_Lng_Evt","win","win","spr","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","sum","sum","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","aut","sum","aut","win","spr","aut"
"Q90_Strt_Sea_Lng_Evt","spr","aut","spr","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","161","166","232","198","167","281","200"
"Q25_Dur_Lng_Evt","139","119","232","125","149","232","166"
"Q50_Dur_Lng_Evt","71","68","69","55","119","74","76"
"Q75_Dur_Lng_Evt","51","21","63","42","67","29","45"
"Q90_Dur_Lng_Evt","10","6","45","22","18","15","19"
"Init_Mag","374.327","338.413","15610.013","291.268","272.264","154.278","2840.094"
"Init_Tim","62","61","77","-38","72","4","39.667"
"Init_Dur","16","26","18","9","19","10","16.333"
"Wet_BFL_Mag_10","50.14","43","92.2","52.5","143.44","88.15","78.238"
"Wet_BFL_Mag_50","87.1","91","1668","111","199.2","122.65","379.825"
"Wet_Tim","42","46","68","-47","60","-4","27.5"
"Wet_BFL_Dur","242","255","29","336","47","136","174.167"
"Peak_Mag_Ann","458.4","417","37751","766","606.2","1157","6859.267"
"Peak_Mag_Tim","83","60","76","100","106","41","77.667"
"Peak_Mag_95","458.4","417","19329","766","606.2","855.35","3738.658"
"Peak_Mag_90","365.7","380.5","608.5","396","468.3","553.7","462.117"
"Peak_Mag_80","331.8","295","608.5","217","394.05","221.7","344.675"
"Peak_Dur_95","2","1","67","16","12","15","18.833"
"Peak_Dur_90","27","10","97","48","20","22","37.333"
"Peak_Dur_80","68","53","123","88","54","58","74"
"Peak_Fre_95","1","1","2","1","1","2","1.333"
"Peak_Fre_90","4","2","4","3","2","3","3"
"Peak_Fre_80","5","4","4","5","2","7","4.5"
"Peak_Tim_95","83","60","171.5","93","100","84.5","98.667"
"Peak_Tim_90","176","163.5","244","257","85","41","161.083"
"Peak_Tim_80","282","177","200.5","237","114","95","184.25"
"Rec_Mag","332","222","33025","339","606.2","553.7","5846.317"
"Rec_Tim","283","300","96","288","106","131","200.667"
"Rec_Dur","59","56","204","40","221","155","122.5"
"Rec_ROC","0.058","0.167","0.066","0.085","0.077","0.085","0.09"
"Dry_Mag_90","112.12","71","129","129.45","68.82","124.5","105.815"
"Dry_Mag_50","98","14","100","120.9","55.7","70.1","76.45"
"Dry_Mag_10","90","8","99.8","112","36.84","46.3","65.49"
"Dry_Tim","342","356","300","328","327","286","323.167"
"Dry_Dur","70","79","19","98","35","81","63.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.75","2","1","1","1.292"
"No_Peaks_Max","1","1","2","2","1","1","1.333"
"Frac_V_Cent_Avg","0.5","1","0.482","0.5","0.583","0.667","0.622"
"Frac_V_Cent_Max","0.5","1","0.263","0.5","0.583","0.5","0.558"
