"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","89.357","68.546","676.145","111.905","72.455","108.479","187.724"
"SD_Ann","83.493","69.834","2460.454","103.177","86.433","155.965","1030.887"
"CV_Ann","0.934","1.019","3.639","0.922","1.193","1.438","5.492"
"Q10_Mag","15.38","11","37.8","25.48","16.9","29.7","17.7"
"Q25_Mag","30.1","19","64","41.6","23.7","47.575","31.775"
"Q50_Mag","78.8","39","93","90.6","38.4","77.25","77"
"Q75_Mag","108.9","97","252","123.3","101.3","105.05","108.025"
"Q90_Mag","165.7","146.5","1257.2","241.18","127.26","154.9","239"
"Q10_Tim","128","123","24","107","114","84","96"
"Q25_Tim","129","100","25","134","112","90","98"
"Q50_Tim","115","71","174","137","13","118","104"
"Q75_Tim","159","163","194","171","58","133","146"
"Q90_Tim","108","127","170","180","100","118","133"
"Q10_Fre","6","9","2","3","3","2","4"
"Q25_Fre","10","10","1","9","15","7","8"
"Q50_Fre","6","4","8","7","3","9","6"
"Q75_Fre","8","5","6","7","5","11","7"
"Q90_Fre","3","2","3","3","2","4","2"
"Q10_Dur","328","297","350","356","351","356","339"
"Q25_Dur","274","204","341","314","228","331","282"
"Q50_Dur","196","162","226","237","129","194","190"
"Q75_Dur","98","67","149","108","70","83","95"
"Q90_Dur","25","18","97","40","18","26","37"
"Q10_Mag_Lng_Evt","451.2","434","20029","613.9","494.4","1100.6","3853"
"Q25_Mag_Lng_Evt","451.2","434","20029","613.9","494.4","1100.6","3853"
"Q50_Mag_Lng_Evt","451.2","434","724","613.9","494.4","495.3","535"
"Q75_Mag_Lng_Evt","451.2","434","724","335.7","494.4","495.3","489"
"Q90_Mag_Lng_Evt","451.2","434","20029","613.9","494.4","495.3","3752"
"Q10_Strt_Tim_Lng_Evt","1","1","24","1","1","1","4"
"Q25_Strt_Tim_Lng_Evt","1","1","25","1","1","1","5"
"Q50_Strt_Tim_Lng_Evt","1","1","235","1","1","77","52"
"Q75_Strt_Tim_Lng_Evt","58","41","236","252","62","126","129"
"Q90_Strt_Tim_Lng_Evt","83","56","72","93","101","128","88"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","sum","win","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","win","sum","aut","win","spr","win"
"Q90_Strt_Sea_Lng_Evt","spr","win","spr","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","148","137","342","168","182","237","202"
"Q25_Dur_Lng_Evt","127","123","341","129","131","228","179"
"Q50_Dur_Lng_Evt","122","121","131","121","121","71","114"
"Q75_Dur_Lng_Evt","39","31","62","42","60","21","42"
"Q90_Dur_Lng_Evt","12","12","48","21","17","15","20"
"Init_Mag","362.39","359.686","11143.643","248.815","206.415","44.184","2060.856"
"Init_Tim","65","63","78","-35","75","-54","32"
"Init_Dur","15","21","13","28","8","23","18"
"Wet_BFL_Mag_10","13.98","10","95.7","25.2","120.28","30.21","49.228"
"Wet_BFL_Mag_50","44.7","45","1600","93.1","183.5","76.2","340.417"
"Wet_Tim","44","30","68","-45","91","-12","29.333"
"Wet_BFL_Dur","269","273","30","337","18","292","203.167"
"Peak_Mag_Ann","451.2","434","20029","613.9","494.4","1643.9","3944.4"
"Peak_Mag_Tim","85","63","77","101","108","279","118.833"
"Peak_Mag_95","400","434","10376.5","613.9","494.4","1100.6","2236.567"
"Peak_Mag_90","392.6","345.5","724","335.7","385.7","797.95","496.908"
"Peak_Mag_80","181","212.5","259","169.5","385.7","151.4","226.517"
"Peak_Dur_95","6","2","62","16","9","15","18.333"
"Peak_Dur_90","25","18","97","40","18","26","37.333"
"Peak_Dur_80","77","60","126","94","44","54","75.833"
"Peak_Fre_95","3","1","2","1","1","3","1.833"
"Peak_Fre_90","3","2","3","3","2","4","2.833"
"Peak_Fre_80","8","4","5","5","2","9","5.5"
"Peak_Tim_95","84","62","175.5","95","103","131","108.417"
"Peak_Tim_90","83","163","255","266","88","85","156.667"
"Peak_Tim_80","195","182.5","174","252","78","126","167.917"
"Rec_Mag","157","168","19733","283.6","494.4","1643.9","3746.65"
"Rec_Tim","312","302","97","291","108","279","231.5"
"Rec_Dur","30","61","206","20","77","17","68.5"
"Rec_ROC","0.1","0.112","0.059","0.124","0.191","0.194","0.13"
"Dry_Mag_90","104.77","81.8","119","123.9","45.14","111.8","97.735"
"Dry_Mag_50","91.85","36.5","92.5","101.95","26.3","91.7","73.467"
"Dry_Mag_10","54.95","11","89.2","90","14","51.8","51.825"
"Dry_Tim","342","363","303","311","185","296","300"
"Dry_Dur","54","72","18","146","169","71","88.333"
"Dry_NoFL_Days","0","0","0","0","1","0","0.167"
"No_Peaks_Avg","1","1","2.333","3","2","1","1.722"
"No_Peaks_Max","1","1","2","3","2","1","1.667"
"Frac_V_Cent_Avg","0.833","1","0.349","0.5","0.556","0.533","0.629"
"Frac_V_Cent_Max","0.667","1","0.35","0.5","0.556","0.5","0.596"
