"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","33.302","22.579","285.186","285.186","32.303","39.53","116.27"
"SD_Ann","26.809","28.411","1512.667","1512.667","13.369","31.91","880.349"
"CV_Ann","0.805","1.258","5.304","5.304","0.414","0.807","7.572"
"Q10_Mag","12.4","10","13","13","13.3","12.6","12"
"Q25_Mag","20.9","12","20","20","24","13.3","16"
"Q50_Mag","25.3","17","28","28","34.2","35.6","26.7"
"Q75_Mag","32.2","22","110","110","35.6","46.575","41.7"
"Q90_Mag","56.46","31","406.6","406.6","41.76","92.65","121.4"
"Q10_Tim","13","80","119","119","14","73","69"
"Q25_Tim","1","153","137","137","1","135","93"
"Q50_Tim","204","147","178","178","72","159","156"
"Q75_Tim","268","167","151","151","169","221","187"
"Q90_Tim","278","185","156","156",NA,"172","189"
"Q10_Fre","3","2","3","3","2","3","2"
"Q25_Fre","1","5","3","3","1","2","2"
"Q50_Fre","8","7","5","5","2","3","5"
"Q75_Fre","5","2","3","3","3","8","4"
"Q90_Fre","2","2","2","2",NA,"2","2"
"Q10_Dur","334","300","332","332","350","347","332"
"Q25_Dur","323","226","284","284","326","231","279"
"Q50_Dur","173","49","212","212","273","198","186"
"Q75_Dur","56","24","153","153","49","131","94"
"Q90_Dur","11","8","90","90",NA,"22","44"
"Q10_Mag_Lng_Evt","160.5","242","407","407","101.1","125","240"
"Q25_Mag_Lng_Evt","160.5","242","407","407","101.1","125","240"
"Q50_Mag_Lng_Evt","32.2","242","407","407","42.3","125","209"
"Q75_Mag_Lng_Evt","160.5","242","407","407","42.3","125","230"
"Q90_Mag_Lng_Evt","159.6","242","20439","20439",NA,"125","8280"
"Q10_Strt_Tim_Lng_Evt","1","141","160","160","1","18","80"
"Q25_Strt_Tim_Lng_Evt","1","224","160","160","1","93","106"
"Q50_Strt_Tim_Lng_Evt","147","262","211","211","126","120","179"
"Q75_Strt_Tim_Lng_Evt","252","262","213","213","187","120","207"
"Q90_Strt_Tim_Lng_Evt","283","263","78","78",NA,"124","165"
"Q10_Strt_Sea_Lng_Evt","win","spr","sum","sum","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","sum","sum","win","spr","sum"
"Q50_Strt_Sea_Lng_Evt","spr","aut","sum","sum","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","aut","aut","sum","sum","sum","spr","sum"
"Q90_Strt_Sea_Lng_Evt","aut","aut","spr","spr",NA,"spr","spr"
"Q10_Dur_Lng_Evt","323","170","206","206","337","273","252"
"Q25_Dur_Lng_Evt","323","86","206","206","326","189","222"
"Q50_Dur_Lng_Evt","52","14","84","84","156","162","92"
"Q75_Dur_Lng_Evt","22","13","81","81","27","35","43"
"Q90_Dur_Lng_Evt","7","5","50","50",NA,"17","25"
"Init_Mag","32.1","31.765","10122.606","43.233","366.937","124.902","1786.924"
"Init_Tim","213","31","96","-152","-84","129","38.833"
"Init_Dur","12","12","9","36","6","17","15.333"
"Wet_BFL_Mag_10","23.65","12","11","420","26","34.96","87.935"
"Wet_BFL_Mag_50","43.45","18","539","600","34.7","44.3","213.242"
"Wet_Tim","213","48","73","85","-141","114","65.333"
"Wet_BFL_Dur","76","219","23","11","383","167","146.5"
"Peak_Mag_Ann","160.5","242","20439","20439","101.1","125","6917.767"
"Peak_Mag_Tim","270","266","95","95","106","124","159.333"
"Peak_Mag_95",NA,NA,"10423","10423",NA,NA,"10423"
"Peak_Mag_90","160.05","203","10423","10423",NA,"123.2","4266.45"
"Peak_Mag_80","68.7","203","407","407","101.1","56.5","207.217"
"Peak_Dur_95",NA,NA,"55","55",NA,NA,"55"
"Peak_Dur_90","11","8","90","90",NA,"22","44.2"
"Peak_Dur_80","45","24","132","132","13","103","74.833"
"Peak_Fre_95",NA,NA,"2","2",NA,NA,"2"
"Peak_Fre_90","2","2","2","2",NA,"2","2"
"Peak_Fre_80","6","2","3","3","1","9","4"
"Peak_Tim_95",NA,NA,"178","178",NA,NA,"178"
"Peak_Tim_90","276","159.5","165.5","165.5",NA,"229.5","199.2"
"Peak_Tim_80","269","158.5","214","214","104","227","197.75"
"Rec_Mag","159.6","242","20439","20439","37.9","95.4","6902.15"
"Rec_Tim","288","266","95","95","241","280","210.833"
"Rec_Dur","48","54","55","55","98","15","54.167"
"Rec_ROC","0.171","0.091","0.101","0.101","0.014","0.017","0.082"
"Dry_Mag_90","21.5","13","141","42","17.3","92.69","54.582"
"Dry_Mag_50","12","11","26","30","13","27.95","19.992"
"Dry_Mag_10","10.37","10","11","16.4","11.6","13.31","12.113"
"Dry_Tim","336","320","150","150","339","295","265"
"Dry_Dur","78","120","301","75","141","72","131.167"
"Dry_NoFL_Days","2","0","0","0","0","0","0.333"
"No_Peaks_Avg",NA,NA,"1.667","1.667",NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"2","2",NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.337","0.337",NA,NA,"0.337"
"Frac_V_Cent_Max",NA,NA,"0.154","0.154",NA,NA,"0.154"
