"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","33.302","24.202","285.408","285.408","33.273","40.346","116.913"
"SD_Ann","26.809","31.888","1512.666","1512.666","15.459","32.354","880.335"
"CV_Ann","0.805","1.318","5.3","5.3","0.465","0.802","7.53"
"Q10_Mag","12.4","10","13","13","13.3","12.6","12"
"Q25_Mag","20.9","12","20","20","25.6","13.3","16"
"Q50_Mag","25.3","17","28","28","34.2","36.05","27"
"Q75_Mag","32.2","22","110","110","35.6","49.4","42"
"Q90_Mag","56.46","32.5","406.6","406.6","42.1","93.4","121.4"
"Q10_Tim","13","80","119","119","14","73","69"
"Q25_Tim","1","152","137","137","1","135","93"
"Q50_Tim","206","143","178","178","72","159","156"
"Q75_Tim","268","162","151","151","156","221","184"
"Q90_Tim","278","171","156","156",NA,"172","186"
"Q10_Fre","3","2","3","3","2","3","2"
"Q25_Fre","1","5","3","3","1","2","2"
"Q50_Fre","6","7","5","5","2","3","4"
"Q75_Fre","5","2","3","3","3","8","4"
"Q90_Fre","2","2","2","2",NA,"2","2"
"Q10_Dur","334","300","332","332","350","347","332"
"Q25_Dur","323","227","284","284","326","231","279"
"Q50_Dur","169","51","212","212","273","198","185"
"Q75_Dur","56","25","153","153","44","139","95"
"Q90_Dur","11","9","90","90",NA,"22","44"
"Q10_Mag_Lng_Evt","160.5","242","407","407","101.6","125","240"
"Q25_Mag_Lng_Evt","160.5","242","407","407","101.6","125","240"
"Q50_Mag_Lng_Evt","32.2","207","407","407","42.3","125","203"
"Q75_Mag_Lng_Evt","160.5","242","407","407","42.3","125","230"
"Q90_Mag_Lng_Evt","159.6","242","20439","20439",NA,"125","8280"
"Q10_Strt_Tim_Lng_Evt","1","141","160","160","1","18","80"
"Q25_Strt_Tim_Lng_Evt","1","224","160","160","1","93","106"
"Q50_Strt_Tim_Lng_Evt","147","53","211","211","126","120","144"
"Q75_Strt_Tim_Lng_Evt","252","262","213","213","187","120","207"
"Q90_Strt_Tim_Lng_Evt","283","263","78","78",NA,"124","165"
"Q10_Strt_Sea_Lng_Evt","win","spr","sum","sum","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","sum","sum","win","spr","sum"
"Q50_Strt_Sea_Lng_Evt","spr","win","sum","sum","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","aut","aut","sum","sum","sum","spr","sum"
"Q90_Strt_Sea_Lng_Evt","aut","aut","spr","spr",NA,"spr","spr"
"Q10_Dur_Lng_Evt","323","170","206","206","337","273","252"
"Q25_Dur_Lng_Evt","323","86","206","206","326","189","222"
"Q50_Dur_Lng_Evt","52","14","84","84","156","162","92"
"Q75_Dur_Lng_Evt","22","13","81","81","20","35","42"
"Q90_Dur_Lng_Evt","7","5","50","50",NA,"17","25"
"Init_Mag","32.1","31.765","10122.606","43.233","367.043","124.902","1786.941"
"Init_Tim","213","31","96","-152","-84","129","38.833"
"Init_Dur","12","12","9","36","13","17","16.5"
"Wet_BFL_Mag_10","23.65","12","11","420","26","35.52","88.028"
"Wet_BFL_Mag_50","43.45","18","539","600","34.2","44.9","213.258"
"Wet_Tim","213","47","73","85","-141","114","65.167"
"Wet_BFL_Dur","76","220","23","11","247","167","124"
"Peak_Mag_Ann","160.5","242","20439","20439","101.6","125","6917.85"
"Peak_Mag_Tim","270","266","95","95","105","124","159.167"
"Peak_Mag_95",NA,NA,"10423","10423",NA,NA,"10423"
"Peak_Mag_90","160.05","224.5","10423","10423",NA,"123.2","4270.75"
"Peak_Mag_80","68.7","224.5","407","407","101.6","98.85","217.942"
"Peak_Dur_95",NA,NA,"55","55",NA,NA,"55"
"Peak_Dur_90","11","9","90","90",NA,"22","44.4"
"Peak_Dur_80","43","25","131","131","17","95","73.667"
"Peak_Fre_95",NA,NA,"2","2",NA,NA,"2"
"Peak_Fre_90","2","2","2","2",NA,"2","2"
"Peak_Fre_80","6","2","3","3","1","6","3.5"
"Peak_Tim_95",NA,NA,"178","178",NA,NA,"178"
"Peak_Tim_90","276","159.5","165.5","165.5",NA,"229.5","199.2"
"Peak_Tim_80","269","158","216","216","100","232.5","198.583"
"Rec_Mag","159.6","242","20439","20439","101.6","95.4","6912.767"
"Rec_Tim","288","266","95","95","105","280","188.167"
"Rec_Dur","48","54","55","55","233","15","76.667"
"Rec_ROC","0.171","0.091","0.101","0.101","0.009","0.017","0.082"
"Dry_Mag_90","22","13","141","42","17.24","92.69","54.655"
"Dry_Mag_50","12","11","26","30","13","27.95","19.992"
"Dry_Mag_10","10.36","10","11","16.4","11.61","13.31","12.113"
"Dry_Tim","336","320","150","150","338","295","264.833"
"Dry_Dur","77","120","301","75","142","72","131.167"
"Dry_NoFL_Days","2","0","0","0","0","0","0.333"
"No_Peaks_Avg",NA,NA,"1.667","1.667",NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"2","2",NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.337","0.337",NA,NA,"0.337"
"Frac_V_Cent_Max",NA,NA,"0.154","0.154",NA,NA,"0.154"
