"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","70.856","1.051","1057.331","243.223","13.119","100.598","247.517"
"SD_Ann","71.37","2.399","1233.303","266.966","23.249","342.024","649.861"
"CV_Ann","1.007","2.282","1.166","1.098","1.772","3.4","2.626"
"Q10_Mag","0","0","0","45.22","0","0","0"
"Q25_Mag","0","0","183.4","58.7","0","0","0"
"Q50_Mag","51.2","0","783.7","128.5","5.2","0","8.6"
"Q75_Mag","131.9","0.6","1270.6","315","9.9","0","175.675"
"Q90_Mag","182.48","3.85","3436.4","564.54","55.96","152.05","786.76"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","26","218","133","1","69","286","122"
"Q75_Tim","20",NA,"136","1",NA,"286","110"
"Q90_Tim",NA,NA,"147","111",NA,"287","181"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","4","2","3","1","7","1","3"
"Q75_Fre","3",NA,"3","1",NA,"1","2"
"Q90_Fre",NA,NA,"6","1",NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","248","8","292","365","116","81","185"
"Q75_Dur","55",NA,"287","180",NA,"33","138"
"Q90_Dur",NA,NA,"183","24",NA,"14","73"
"Q10_Mag_Lng_Evt","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379"
"Q25_Mag_Lng_Evt","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379"
"Q50_Mag_Lng_Evt","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379"
"Q75_Mag_Lng_Evt","198.3",NA,"4486.7","1318.1",NA,"2137.4","2035"
"Q90_Mag_Lng_Evt",NA,NA,"4486.7","1318.1",NA,"2137.4","2647"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","206","199","1","18","286","118"
"Q75_Strt_Tim_Lng_Evt","1",NA,"199","1",NA,"286","121"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"201","111",NA,"287","199"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","sum","sum","win","win","aut","win"
"Q75_Strt_Sea_Lng_Evt","win",NA,"sum","win",NA,"aut","win"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"sum","spr",NA,"aut","aut"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","222","4","167","365","50","81","148"
"Q75_Dur_Lng_Evt","31",NA,"167","180",NA,"33","102"
"Q90_Dur_Lng_Evt",NA,NA,"103","24",NA,"14","47"
"Init_Mag","175.6","8.971","959.474","1274.823","66.852","0","414.287"
"Init_Tim","1","-82","50","117","-87","280","46.5"
"Init_Dur","15","18","16","21","23","18","18.5"
"Wet_BFL_Mag_10","36.88","0","0","241.9","3.1","0","46.98"
"Wet_BFL_Mag_50","104.45","0","4156.2","807.5","34","0","850.358"
"Wet_Tim","1","-95","194","103","-155","280","54.667"
"Wet_BFL_Dur","204","327","23","17","379","11","160.167"
"Peak_Mag_Ann","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379.667"
"Peak_Mag_Tim","57","207","207","117","41","290","153.167"
"Peak_Mag_95",NA,NA,"1402.7","1318.1",NA,"2137.4","1619.4"
"Peak_Mag_90",NA,NA,"1264.8","1318.1",NA,"2137.4","1573.433"
"Peak_Mag_80","218.2",NA,"1264.8","1318.1",NA,"2137.4","1234.625"
"Peak_Dur_95",NA,NA,"94","5",NA,"11","36.667"
"Peak_Dur_90",NA,NA,"183","24",NA,"14","73.667"
"Peak_Dur_80","1",NA,"231","179",NA,"31","110.5"
"Peak_Fre_95",NA,NA,"3","1",NA,"1","1.667"
"Peak_Fre_90",NA,NA,"6","1",NA,"1","2.667"
"Peak_Fre_80","1",NA,"6","1",NA,"1","2.25"
"Peak_Tim_95",NA,NA,"186","115",NA,"287","196"
"Peak_Tim_90",NA,NA,"153.5","111",NA,"287","183.833"
"Peak_Tim_80","57",NA,"193","1",NA,"286","134.25"
"Rec_Mag","171.8","9.2","4156.2","1282.3","10","2137.4","1294.483"
"Rec_Tim","204","231","216","119","223","290","213.833"
"Rec_Dur","60","24","120","91","42","38","62.5"
"Rec_ROC","0.12","0.43","0.022","0.046","0.128","0.067","0.136"
"Dry_Mag_90","0","1015.35","330.7","38.2","0","150.9","255.858"
"Dry_Mag_50","0","0.7","258.6","38.2","0","126.9","70.733"
"Dry_Mag_10","0","0","186.9","38.2","0","109.58","55.78"
"Dry_Tim","264","255","336","210","265","328","276.333"
"Dry_Dur","7","306","133","1","381","39","144.5"
"Dry_NoFL_Days","7","137","0","0","381","0","87.5"
"No_Peaks_Avg",NA,NA,"3.333","1",NA,"1","1.778"
"No_Peaks_Max",NA,NA,"7","1",NA,"1","3"
"Frac_V_Cent_Avg",NA,NA,"0.625","0.6",NA,"0.545","0.59"
"Frac_V_Cent_Max",NA,NA,"0.376","0.6",NA,"0.545","0.507"
