"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","70.856","1.051","1223.828","249.527","13.119","100.598","276.291"
"SD_Ann","71.37","2.399","1174.689","270.818","23.249","342.024","669.272"
"CV_Ann","1.007","2.282","0.96","1.085","1.772","3.4","2.422"
"Q10_Mag","0","0","0","45.22","0","0","0"
"Q25_Mag","0","0","356.6","58.7","0","0","0"
"Q50_Mag","51.2","0","914.6","128.5","5.2","0","10.95"
"Q75_Mag","131.9","0.6","1409.8","321.2","9.9","0","193.325"
"Q90_Mag","182.48","3.85","3436.4","580.68","55.96","152.05","888.15"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","22","207","43","1","45","286","100"
"Q75_Tim","31",NA,"68","1",NA,"286","96"
"Q90_Tim",NA,NA,"137","112",NA,"287","178"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","4","1","1","1","6","1","2"
"Q75_Fre","2",NA,"2","1",NA,"1","1"
"Q90_Fre",NA,NA,"3","1",NA,"1","1"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","243","3","323","365","84","81","183"
"Q75_Dur","22",NA,"315","179",NA,"32","137"
"Q90_Dur",NA,NA,"194","15",NA,"13","74"
"Q10_Mag_Lng_Evt","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379"
"Q25_Mag_Lng_Evt","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379"
"Q50_Mag_Lng_Evt","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379"
"Q75_Mag_Lng_Evt","218.2",NA,"4486.7","1318.1",NA,"2137.4","2040"
"Q90_Mag_Lng_Evt",NA,NA,"4486.7","1318.1",NA,"2137.4","2647"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","207","43","1","27","286","94"
"Q75_Strt_Tim_Lng_Evt","49",NA,"69","1",NA,"286","101"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"163","112",NA,"287","187"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","sum","win","win","win","aut","win"
"Q75_Strt_Sea_Lng_Evt","win",NA,"spr","win",NA,"aut","win"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"sum","spr",NA,"aut","aut"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","222","3","323","365","41","81","172"
"Q75_Dur_Lng_Evt","12",NA,"297","179",NA,"32","130"
"Q90_Dur_Lng_Evt",NA,NA,"140","15",NA,"13","56"
"Init_Mag","175.6","8.971","959.474","1274.823","66.852","0","414.287"
"Init_Tim","1","-82","50","117","-87","280","46.5"
"Init_Dur","15","18","16","21","23","18","18.5"
"Wet_BFL_Mag_10","36.88","0","1094","241.9","3.1","0","229.313"
"Wet_BFL_Mag_50","104.45","0","1419.4","807.5","34","0","394.225"
"Wet_Tim","1","-95","158","103","-155","280","48.667"
"Wet_BFL_Dur","204","327","57","17","379","11","165.833"
"Peak_Mag_Ann","218.2","18.5","4486.7","1318.1","99.1","2137.4","1379.667"
"Peak_Mag_Tim","57","207","207","117","41","290","153.167"
"Peak_Mag_95",NA,NA,"1677.3",NA,NA,"2137.4","1907.35"
"Peak_Mag_90",NA,NA,"1402.7","1318.1",NA,"2137.4","1619.4"
"Peak_Mag_80",NA,NA,"2810.4","353.3",NA,"2137.4","1767.033"
"Peak_Dur_95",NA,NA,"104",NA,NA,"11","57.5"
"Peak_Dur_90",NA,NA,"194","15",NA,"13","74"
"Peak_Dur_80",NA,NA,"307","116",NA,"24","149"
"Peak_Fre_95",NA,NA,"3",NA,NA,"1","2"
"Peak_Fre_90",NA,NA,"3","1",NA,"1","1.667"
"Peak_Fre_80",NA,NA,"2","3",NA,"1","2"
"Peak_Tim_95",NA,NA,"167",NA,NA,"287","227"
"Peak_Tim_90",NA,NA,"74","112",NA,"287","157.667"
"Peak_Tim_80",NA,NA,"59","77",NA,"286","140.667"
"Rec_Mag","171.8","9.2","4186.8","1282.3","10","2137.4","1299.583"
"Rec_Tim","204","231","214","119","223","290","213.5"
"Rec_Dur","60","24","129","91","42","38","64"
"Rec_ROC","0.12","0.43","0.019","0.039","0.128","0.067","0.134"
"Dry_Mag_90","0","1026.7","350.1","38.2","0","150.9","260.983"
"Dry_Mag_50","0","1.2","299.6","38.2","0","126.9","77.65"
"Dry_Mag_10","0","0","232.35","38.2","0","109.58","63.355"
"Dry_Tim","264","255","343","210","265","328","277.5"
"Dry_Dur","7","270","126","1","381","39","137.333"
"Dry_NoFL_Days","7","110","0","0","381","0","83"
"No_Peaks_Avg",NA,NA,"2",NA,NA,"1","1.5"
"No_Peaks_Max",NA,NA,"5",NA,NA,"1","3"
"Frac_V_Cent_Avg",NA,NA,"0.623",NA,NA,"0.545","0.584"
"Frac_V_Cent_Max",NA,NA,"0.416",NA,NA,"0.545","0.481"
