"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2703.723","2011.916","17967.199","2332.596","1032.528","1871.831","4650.825"
"SD_Ann","3892.584","2658.71","20802.753","2950.995","1215.551","3262.635","10712.508"
"CV_Ann","1.44","1.321","1.158","1.265","1.177","1.743","2.303"
"Q10_Mag","477.96","0","115.96","26.88","120.52","67.95","5.58"
"Q25_Mag","928.8","0","2027","369.4","411.9","150.725","359.525"
"Q50_Mag","1839.8","1438.6","7757.4","1282.5","762.6","636.45","1405.75"
"Q75_Mag","2438.4","3093.025","31428.3","2739","1197.9","2240.225","3006.55"
"Q90_Mag","4872.88","5146.85","53425.7","6793.56","1843.94","4672.3","8941.43"
"Q10_Tim","43","82","1","14","1","1","23"
"Q25_Tim","53","105","76","85","136","131","97"
"Q50_Tim","101","101","74","83","132","109","99"
"Q75_Tim","103","100","67","79","90","101","90"
"Q90_Tim","36","29","58","86","33","91","55"
"Q10_Fre","2","3","1","2","1","1","1"
"Q25_Fre","4","5","4","8","7","8","6"
"Q50_Fre","5","6","5","4","12","10","7"
"Q75_Fre","11","7","8","7","3","12","8"
"Q90_Fre","2","2","5","7","1","2","3"
"Q10_Dur","360","224","365","359","365","366","339"
"Q25_Dur","351","214","339","301","318","243","294"
"Q50_Dur","278","201","331","207","81","160","209"
"Q75_Dur","69","104","245","101","29","73","103"
"Q90_Dur","20","7","177","19","4","13","40"
"Q10_Mag_Lng_Evt","23524.4","19800.3","80592.7","14756.7","9801.3","23004.1","28579"
"Q25_Mag_Lng_Evt","23524.4","19800.3","80592.7","12498.2","9801.3","23004.1","28203"
"Q50_Mag_Lng_Evt","23524.4","19800.3","80592.7","12498.2","9801.3","23004.1","28203"
"Q75_Mag_Lng_Evt","23524.4","7968.2","80592.7","12498.2","9801.3","23004.1","26231"
"Q90_Mag_Lng_Evt","23524.4","19800.3","80592.7","12498.2","9801.3","23004.1","28203"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","14","37","15","52","23","43","30"
"Q50_Strt_Tim_Lng_Evt","14","37","15","125","23","43","42"
"Q75_Strt_Tim_Lng_Evt","35","240","28","148","23","92","94"
"Q90_Strt_Tim_Lng_Evt","39","38","54","164","33","107","72"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","sum","win","spr","win","spr","win"
"Q90_Strt_Sea_Lng_Evt","win","win","win","sum","win","spr","win"
"Q10_Dur_Lng_Evt","312","150","365","346","365","366","317"
"Q25_Dur_Lng_Evt","299","114","267","209","143","116","191"
"Q50_Dur_Lng_Evt","161","111","267","76","39","92","124"
"Q75_Dur_Lng_Evt","22","27","196","42","23","26","56"
"Q90_Dur_Lng_Evt","17","4","147","8","4","10","31"
"Init_Mag","8727.156","2389.599","5097.074","3608.207","2931.253","996.913","3958.367"
"Init_Tim","23","-45","-113","-86","26","-102","-49.5"
"Init_Dur","13","7","35","6","8","25","15.667"
"Wet_BFL_Mag_10","650.7","41.28","741.54","170.3","181.6","145.49","321.818"
"Wet_BFL_Mag_50","1962.9","2787.3","29830.1","2091.7","1039.4","3021.65","6788.842"
"Wet_Tim","1","-3","10","-65","13","3","-6.833"
"Wet_BFL_Dur","296","43","172","232","196","114","175.5"
"Peak_Mag_Ann","23524.4","19800.3","80592.7","14756.7","9801.3","23004.1","28579.917"
"Peak_Mag_Tim","47","39","106","34","35","116","62.833"
"Peak_Mag_95",NA,NA,"59770.2",NA,NA,NA,"59770.2"
"Peak_Mag_90","16748.9","14868.45","22449.8","11585.6","9801.3","21085.05","16089.85"
"Peak_Mag_80","5943.65","7909.8","14030","8827.2","6673","7426.1","8468.292"
"Peak_Dur_95",NA,NA,"130",NA,NA,NA,"130"
"Peak_Dur_90","20","7","177","19","4","13","40"
"Peak_Dur_80","45","59","239","79","13","43","79.667"
"Peak_Fre_95",NA,NA,"5",NA,NA,NA,"5"
"Peak_Fre_90","2","2","5","7","1","2","3.167"
"Peak_Fre_80","6","9","7","7","4","7","6.667"
"Peak_Tim_95",NA,NA,"58",NA,NA,NA,"58"
"Peak_Tim_90","30","28","54","33","33","71.5","41.583"
"Peak_Tim_80","166","49","267","40","38.5","66","104.417"
"Rec_Mag","6219.7","19800.3","71097.7","12498.2","1486.5","23004.1","22351.083"
"Rec_Tim","296","39","181","166","208","116","167.667"
"Rec_Dur","17","119","92","102","20","72","70.333"
"Rec_ROC","0.714","0.113","0.156","0.172","0.16","0.238","0.259"
"Dry_Mag_90","2579.59","4021.16","3912.45","535.4","1803.5","1807","2443.183"
"Dry_Mag_50","879.5","0","1598.35","329.1","646.1","331.6","630.775"
"Dry_Mag_10","22.8","0","0","0","61.7","56.86","23.56"
"Dry_Tim","313","158","273","268","228","188","238"
"Dry_Dur","50","219","28","111","141","179","121.333"
"Dry_NoFL_Days","4","137","4","17","2","4","28"
"No_Peaks_Avg",NA,NA,"2.059",NA,NA,NA,"2.059"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.668",NA,NA,NA,"0.668"
"Frac_V_Cent_Max",NA,NA,"0.667",NA,NA,NA,"0.667"
