"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","4920.051","3142.878","21156.419","3317.438","3463.252","2707.011","6447.958"
"SD_Ann","3296.381","959.529","21492.268","2082.143","1156.36","1336.275","11119.663"
"CV_Ann","0.67","0.305","1.016","0.628","0.334","0.494","1.725"
"Q10_Mag","2644.8","1927.5","2408.8","1689.6","1755.4","1380.5","1818"
"Q25_Mag","3150","2405","3643","2033","2718","1935.5","2448.75"
"Q50_Mag","3992","3100","9331","2676","3575","2512","3391.5"
"Q75_Mag","5041","3757.5","34698.8","3983","4121","3320.75","4442.25"
"Q90_Mag","7628.6","4392","51854.8","5036","4984.6","4140.5","10374.3"
"Q10_Tim","1","40","65","136","82","163","81"
"Q25_Tim","42","106","84","141","123","162","109"
"Q50_Tim","114","141","72","172","143","142","130"
"Q75_Tim","84","140","43","154","172","81","112"
"Q90_Tim","27",NA,"23","161",NA,NA,"70"
"Q10_Fre","1","3","2","8","5","10","4"
"Q25_Fre","3","7","4","10","7","11","7"
"Q50_Fre","7","12","5","9","9","9","8"
"Q75_Fre","9","8","4","11","8","3","7"
"Q90_Fre","1",NA,"1","1",NA,NA,"1"
"Q10_Dur","365","346","361","323","330","292","336"
"Q25_Dur","350","273","333","238","307","194","282"
"Q50_Dur","258","151","283","137","225","87","190"
"Q75_Dur","135","37","242","66","62","26","94"
"Q90_Dur","33",NA,"179","8",NA,NA,"73"
"Q10_Mag_Lng_Evt","17358","5885","80971","14042","6067","8101","22070"
"Q25_Mag_Lng_Evt","17358","5360","80971","14042","6067","4478","21379"
"Q50_Mag_Lng_Evt","7781","5360","80971","14042","5476","4333","19660"
"Q75_Mag_Lng_Evt","17358","5360","80971","14042","5288","8101","21853"
"Q90_Mag_Lng_Evt","17358",NA,"80971","14042",NA,NA,"37457"
"Q10_Strt_Tim_Lng_Evt","1","1","1","82","55","62","33"
"Q25_Strt_Tim_Lng_Evt","1","141","7","96","142","187","95"
"Q50_Strt_Tim_Lng_Evt","110","204","8","130","68","206","121"
"Q75_Strt_Tim_Lng_Evt","15","214","10","153","268","86","124"
"Q90_Strt_Tim_Lng_Evt","27",NA,"23","161",NA,NA,"70"
"Q10_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","sum","spr"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","win","sum","win","spr","aut","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","305","279","123","253","56","230"
"Q25_Dur_Lng_Evt","305","148","242","106","165","53","169"
"Q50_Dur_Lng_Evt","105","42","222","59","68","32","88"
"Q75_Dur_Lng_Evt","58","9","215","35","18","21","59"
"Q90_Dur_Lng_Evt","33",NA,"179","8",NA,NA,"73"
"Init_Mag","16548.056","4114.438","27256.518","5145.479","2534.41","3922.972","9920.312"
"Init_Tim","42","-92","53","-99","-128","-14","-39.667"
"Init_Dur","38","9","8","15","4","21","15.833"
"Wet_BFL_Mag_10","3515","2338.7","21847.8","2025.3","1731.4","1188.5","5441.117"
"Wet_BFL_Mag_50","5078","3219","34858","3039","3543","2756","8748.833"
"Wet_Tim","5","-101","18","-55","-132","-34","-49.833"
"Wet_BFL_Dur","161","378","159","220","415","136","244.833"
"Peak_Mag_Ann","17358","5885","80971","14042","7587","8101","22324"
"Peak_Mag_Tim","42","4","176","164","14","101","83.5"
"Peak_Mag_95",NA,NA,"80971",NA,NA,NA,"80971"
"Peak_Mag_90","17358",NA,"80971","14042",NA,NA,"37457"
"Peak_Mag_80","6392","5386.5","7527.5","5240.5","5785","6610","6156.917"
"Peak_Dur_95",NA,NA,"112",NA,NA,NA,"112"
"Peak_Dur_90","33",NA,"179","8",NA,NA,"73.333"
"Peak_Dur_80","101","22","230","46","41","20","76.667"
"Peak_Fre_95",NA,NA,"1",NA,NA,NA,"1"
"Peak_Fre_90","1",NA,"1","1",NA,NA,"1"
"Peak_Fre_80","7","4","4","8","5","2","5"
"Peak_Tim_95",NA,NA,"75",NA,NA,NA,"75"
"Peak_Tim_90","27",NA,"23","161",NA,NA,"70.333"
"Peak_Tim_80","127","115","289.5","124.5","152","56.5","144.083"
"Rec_Mag","5727","4811","80971","14042","5288","8101","19823.333"
"Rec_Tim","165","276","176","164","282","101","194"
"Rec_Dur","99","35","58","69","49","168","79.667"
"Rec_ROC","0.054","0.048","0.063","0.076","0.071","0.05","0.06"
"Dry_Mag_90","2372","5426.8","4189.4","1469","1241","3018.7","2952.817"
"Dry_Mag_50","2372","2252.5","2916","1469","1241","2255.5","2084.333"
"Dry_Mag_10","2372","1640.9","1960.2","1469","1241","1607.4","1715.083"
"Dry_Tim","264","311","234","233","331","269","273.667"
"Dry_Dur","1","74","77","1","1","98","42"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"4.5",NA,NA,NA,"4.5"
"No_Peaks_Max",NA,NA,"6",NA,NA,NA,"6"
"Frac_V_Cent_Avg",NA,NA,"0.559",NA,NA,NA,"0.559"
"Frac_V_Cent_Max",NA,NA,"0.617",NA,NA,NA,"0.617"
