"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","3727.271","3638.817","24212.934","7122.263","6501.614","6243.087","8571.016"
"SD_Ann","3164.832","2129.616","24231.83","2999.45","1955.951","2822.599","12414.837"
"CV_Ann","0.849","0.585","1.001","0.421","0.301","0.452","1.448"
"Q10_Mag","1161.6","776","4117.6","3808.8","3937.8","3360.5","1856.6"
"Q25_Mag","1469","1832","6589","5363","4903","4167.5","3482.5"
"Q50_Mag","2680","3349.5","12119","6294","6720","5631.5","5577"
"Q75_Mag","4783","4962","36544","8592","7720","7526.75","7753.5"
"Q90_Mag","6819","6599","57911","10857.6","9123","9968.5","13734.4"
"Q10_Tim","97","73","1","1","1","1","29"
"Q25_Tim","131","96","46","33","38","67","68"
"Q50_Tim","56","108","33","116","111","116","89"
"Q75_Tim","26","92","40","112","152","94","86"
"Q90_Tim","37",NA,"23","163",NA,"103","81"
"Q10_Fre","2","2","1","1","1","1","1"
"Q25_Fre","3","4","3","2","2","5","3"
"Q50_Fre","3","3","3","5","3","5","3"
"Q75_Fre","1","2","3","6","6","4","3"
"Q90_Fre","1",NA,"1","2",NA,"1","1"
"Q10_Dur","242","275","365","365","365","366","329"
"Q25_Dur","134","179","336","339","347","322","276"
"Q50_Dur","51","79","298","255","235","192","185"
"Q75_Dur","32","12","239","112","93","66","92"
"Q90_Dur","11",NA,"178","17",NA,"14","55"
"Q10_Mag_Lng_Evt","6851","8337","92175","17282","11639","15227","25251"
"Q25_Mag_Lng_Evt","5750","8337","92175","17282","11639","15227","25068"
"Q50_Mag_Lng_Evt","15344","8337","92175","17282","11639","8275","25508"
"Q75_Mag_Lng_Evt","15344","8337","92175","17282","9087","15227","26242"
"Q90_Mag_Lng_Evt","15344",NA,"92175","17282",NA,"15227","35007"
"Q10_Strt_Tim_Lng_Evt","125","1","1","1","1","1","21"
"Q25_Strt_Tim_Lng_Evt","205","63","6","1","1","58","55"
"Q50_Strt_Tim_Lng_Evt","25","79","8","118","146","152","88"
"Q75_Strt_Tim_Lng_Evt","26","94","12","131","230","85","96"
"Q90_Strt_Tim_Lng_Evt","37",NA,"23","157",NA,"103","80"
"Q10_Strt_Sea_Lng_Evt","spr","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","sum","spr","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","sum",NA,"spr","win"
"Q10_Dur_Lng_Evt","184","143","365","365","365","366","298"
"Q25_Dur_Lng_Evt","58","67","294","306","307","255","214"
"Q50_Dur_Lng_Evt","39","48","275","126","147","109","124"
"Q75_Dur_Lng_Evt","32","10","213","65","29","43","65"
"Q90_Dur_Lng_Evt","11",NA,"178","11",NA,"14","53"
"Init_Mag","14886.247","6449.579","28527.88","9087.781","10135.566","10153.033","13206.681"
"Init_Tim","42","12","50","-46","19","29","17.667"
"Init_Dur","9","25","6","18","16","21","15.833"
"Wet_BFL_Mag_10","1120.6","2318.4","21891.2","4266.8","4848","3496.7","6323.617"
"Wet_BFL_Mag_50","3868.5","4266","37161","6329","7012","6771.5","10901.333"
"Wet_Tim","4","-5","18","-59","-14","15","-6.833"
"Wet_BFL_Dur","254","245","139","237","291","98","210.667"
"Peak_Mag_Ann","15344","8337","92175","17282","11639","15227","26667.333"
"Peak_Mag_Tim","38","95","156","163","184","112","124.667"
"Peak_Mag_95",NA,NA,"92175",NA,NA,NA,"92175"
"Peak_Mag_90","15344",NA,"92175","16394.5",NA,"15227","34785.125"
"Peak_Mag_80","15344",NA,"10007","10903","10172","12952.5","11875.7"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","11",NA,"178","17",NA,"14","55"
"Peak_Dur_80","29",NA,"221","91","54","47","88.4"
"Peak_Fre_95",NA,NA,"1",NA,NA,NA,"1"
"Peak_Fre_90","1",NA,"1","2",NA,"1","1.25"
"Peak_Fre_80","1",NA,"3","4","4","2","2.8"
"Peak_Tim_95",NA,NA,"67",NA,NA,NA,"67"
"Peak_Tim_90","37",NA,"23","165.5",NA,"103","82.125"
"Peak_Tim_80","26",NA,"261","115.5","146","56.5","121"
"Rec_Mag","5750","6585","92175","15507","7795","15227","23839.833"
"Rec_Tim","257","239","156","177","276","112","202.833"
"Rec_Dur","68","78","143","140","41","206","112.667"
"Rec_ROC","0.036","0.043","0.023","0.033","0.032","0.018","0.031"
"Dry_Mag_90","1554","7080.6","3447.7","3913","4359.8","5373.4","4288.083"
"Dry_Mag_50","1230.5","772.5","3343.5","3733","4090","3376","2757.583"
"Dry_Mag_10","1146.5","690","3063.3","2892.2","3368.8","2428","2264.8"
"Dry_Tim","325","317","299","317","317","318","315.5"
"Dry_Dur","36","68","8","35","64","49","43.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"3.5",NA,NA,NA,"3.5"
"No_Peaks_Max",NA,NA,"4",NA,NA,NA,"4"
"Frac_V_Cent_Avg",NA,NA,"0.575",NA,NA,NA,"0.575"
"Frac_V_Cent_Max",NA,NA,"0.631",NA,NA,NA,"0.631"
