"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","4619","2114.429","20359.745","3242.367","2564.279","1944.623","5803.96"
"SD_Ann","4189.927","836.187","21138.828","1995.269","974.657","1205.786","11021.106"
"CV_Ann","0.907","0.395","1.038","0.615","0.38","0.62","1.899"
"Q10_Mag","2144.6","1092.5","1843.8","1777.8","1190.72","544.5","1187.02"
"Q25_Mag","2626","1401","2889","2067","1900.9","1033.5","1891.5"
"Q50_Mag","3070","2034.5","9100","2535","2618.2","1906","2635.25"
"Q75_Mag","4493","2826.75","33914","3898","3156.5","2606.75","3789.25"
"Q90_Mag","8708.8","3259.5","50162.8","4647.6","3884.52","3126","10568.1"
"Q10_Tim","75","135","77","90","131","165","112"
"Q25_Tim","97","133","81","137","152","179","129"
"Q50_Tim","99","121","76","152","155","133","122"
"Q75_Tim","67","37","54","162","150","92","93"
"Q90_Tim","35",NA,"28","166",NA,NA,"76"
"Q10_Fre","2","9","2","2","5","6","4"
"Q25_Fre","3","7","5","8","8","9","6"
"Q50_Fre","8","8","4","7","11","8","7"
"Q75_Fre","4","2","4","7","5","1","3"
"Q90_Fre","1",NA,"1","1",NA,NA,"1"
"Q10_Dur","356","316","360","359","334","259","330"
"Q25_Dur","345","216","324","306","276","187","275"
"Q50_Dur","272","109","283","174","179","87","184"
"Q75_Dur","129","7","243","108","44","21","92"
"Q90_Dur","33",NA,"178","9",NA,NA,"73"
"Q10_Mag_Lng_Evt","20386","4428","78942","13228","4241.3","3716","20823"
"Q25_Mag_Lng_Evt","20386","3607","78942","13228","3665","3326","20525"
"Q50_Mag_Lng_Evt","20386","4428","78942","13228","4225.3","6596","21300"
"Q75_Mag_Lng_Evt","20386","4428","78942","13228","4241.3","6596","21303"
"Q90_Mag_Lng_Evt","20386",NA,"78942","13228",NA,NA,"37518"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","147","280","71"
"Q25_Strt_Tim_Lng_Evt","1","213","1","87","63","1","61"
"Q50_Strt_Tim_Lng_Evt","1","1","12","133","150","90","64"
"Q75_Strt_Tim_Lng_Evt","22","9","14","137","275","92","91"
"Q90_Strt_Tim_Lng_Evt","35",NA,"28","166",NA,NA,"76"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","spr","aut","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","win","spr","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","spr","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","aut","spr","win"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","257","126","255","212","167","87","184"
"Q25_Dur_Lng_Evt","216","81","236","124","76","36","128"
"Q50_Dur_Lng_Evt","161","27","221","77","47","24","92"
"Q75_Dur_Lng_Evt","61","5","211","54","15","21","61"
"Q90_Dur_Lng_Evt","33",NA,"178","9",NA,NA,"73"
"Init_Mag","20174.988","2963.44","26707.191","3979.251","4548.051","3311.748","10280.778"
"Init_Tim","54","-78","58","-93","20","-9","-8"
"Init_Dur","37","22","9","15","10","19","18.667"
"Wet_BFL_Mag_10","2871.5","1146.8","10137.7","1889.8","1651.88","543.6","3040.213"
"Wet_BFL_Mag_50","4232.5","2415","33728","2947","2754.7","1837","7985.7"
"Wet_Tim","20","-145","10","-54","-42","-27","-39.667"
"Wet_BFL_Dur","182","428","172","225","327","255","264.833"
"Peak_Mag_Ann","20386","4428","78942","13228","5606.7","6596","21531.117"
"Peak_Mag_Tim","54","11","181","170","20","105","90.167"
"Peak_Mag_95",NA,NA,"78942",NA,NA,NA,"78942"
"Peak_Mag_90","20386",NA,"78942","13228",NA,NA,"37518.667"
"Peak_Mag_80","5178.5","4428","6475.5","4664","4260.15","6596","5267.025"
"Peak_Dur_95",NA,NA,"111",NA,NA,NA,"111"
"Peak_Dur_90","33",NA,"178","9",NA,NA,"73.333"
"Peak_Dur_80","109","3","228","71","13","19","73.833"
"Peak_Fre_95",NA,NA,"1",NA,NA,NA,"1"
"Peak_Fre_90","1",NA,"1","1",NA,NA,"1"
"Peak_Fre_80","4","1","4","6","4","1","3.333"
"Peak_Tim_95",NA,NA,"81",NA,NA,NA,"81"
"Peak_Tim_90","35",NA,"28","166",NA,NA,"76.333"
"Peak_Tim_80","63.5","10","295.5","152","96.5","93","118.417"
"Rec_Mag","4558","3607","78942","13228","4241.3","3049","17937.55"
"Rec_Tim","201","282","181","170","284","227","224.167"
"Rec_Dur","19","34","58","46","35",NA,"38.4"
"Rec_ROC","0.047","0.072","0.058","0.078","0.061",NA,"0.063"
"Dry_Mag_90","1874","2171","3436.8","2582.8","1803.77",NA,"2373.674"
"Dry_Mag_50","1874","1857","2058","1987.5","1312.45",NA,"1817.79"
"Dry_Mag_10","1874","1133","1181.4","1701.7","908.48",NA,"1359.716"
"Dry_Tim","220","316","239","216","319",NA,"262"
"Dry_Dur","1","61","73","108","20",NA,"52.6"
"Dry_NoFL_Days","0","0","0","0","0",NA,"0"
"No_Peaks_Avg",NA,NA,"1.333",NA,NA,NA,"1.333"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.554",NA,NA,NA,"0.554"
"Frac_V_Cent_Max",NA,NA,"0.617",NA,NA,NA,"0.617"
