"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","5892.156","4176.842","21867.803","5651.55","4001.638","3951.828","7587.086"
"SD_Ann","3759.313","2044.885","20728.752","2786.675","1480.897","2606.707","10889.651"
"CV_Ann","0.638","0.49","0.948","0.493","0.37","0.66","1.435"
"Q10_Mag","3317.8","1678","3765.2","2856.8","2397.72","1825","2239.8"
"Q25_Mag","4016","2233.25","5013","3919","2865.5","2369.5","3160"
"Q50_Mag","4863","4071.5","11465","4872","3843.3","3236","4448"
"Q75_Mag","6139","6025.5","34151","7140","4877.1","4142.25","6429.25"
"Q90_Mag","8708.8","6945.5","51223.2","9581.78","5870.66","8190.5","12620.6"
"Q10_Tim","1","100","1","100","144","129","79"
"Q25_Tim","62","83","22","133","149","122","95"
"Q50_Tim","131","86","71","113","152","80","105"
"Q75_Tim","51","69","53","109","71","77","71"
"Q90_Tim","37",NA,"30","163",NA,NA,"76"
"Q10_Fre","1","3","1","3","5","7","3"
"Q25_Fre","2","2","2","5","8","7","4"
"Q50_Fre","5","5","4","8","4","4","5"
"Q75_Fre","2","4","4","3","3","2","3"
"Q90_Fre","1",NA,"1","1",NA,NA,"1"
"Q10_Dur","365","271","365","350","338","291","330"
"Q25_Dur","345","217","347","321","227","189","274"
"Q50_Dur","233","162","292","212","138","71","184"
"Q75_Dur","55","74","235","105","28","53","91"
"Q90_Dur","29",NA,"179","12",NA,NA,"73"
"Q10_Mag_Lng_Evt","20387","8886","79827","15146","5263.7","12599","23684"
"Q25_Mag_Lng_Evt","20387","8886","79827","15146","5263.7","12599","23684"
"Q50_Mag_Lng_Evt","5853","7669","79827","15146","5263.7","12599","21059"
"Q75_Mag_Lng_Evt","20387","7669","79827","15146","8850.2","12599","24079"
"Q90_Mag_Lng_Evt","20387",NA,"79827","15146",NA,NA,"38453"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","214","1","36"
"Q25_Strt_Tim_Lng_Evt","1","6","13","101","228","85","72"
"Q50_Strt_Tim_Lng_Evt","190","69","15","134","243","89","123"
"Q75_Strt_Tim_Lng_Evt","29","104","18","138","19","92","66"
"Q90_Strt_Tim_Lng_Evt","37",NA,"30","163",NA,NA,"76"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","sum","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","sum","spr","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","spr","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","win","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","153","365","211","101","142","222"
"Q25_Dur_Lng_Evt","270","137","338","109","72","54","163"
"Q50_Dur_Lng_Evt","76","72","234","75","54","47","93"
"Q75_Dur_Lng_Evt","45","34","204","69","17","40","68"
"Q90_Dur_Lng_Evt","29",NA,"179","12",NA,NA,"73"
"Init_Mag","20175.19","4875.809","26886.33","9264.122","5064.398","7894.013","12359.977"
"Init_Tim","54","-72","58","-38","-94","41","-8.5"
"Init_Dur","37","19","9","14","18","21","19.667"
"Wet_BFL_Mag_10","4050.7","1811.1","10478.6","3446","2582.12","2472.5","4140.17"
"Wet_BFL_Mag_50","5469","4404.5","33883","5563","3923","4215","9576.25"
"Wet_Tim","20","-90","10","-51","-111","19","-33.833"
"Wet_BFL_Dur","232","380","173","221","304","94","234"
"Peak_Mag_Ann","20387","8886","79827","15146","8850.2","12599","24282.533"
"Peak_Mag_Tim","54","21","182","169","27","112","94.167"
"Peak_Mag_95",NA,NA,"79827",NA,NA,NA,"79827"
"Peak_Mag_90","20387",NA,"79827","15146",NA,NA,"38453.333"
"Peak_Mag_80","20387","7554.5","44814","11349","8028.6","10869","17167.017"
"Peak_Dur_95",NA,NA,"112",NA,NA,NA,"112"
"Peak_Dur_90","29",NA,"179","12",NA,NA,"73.333"
"Peak_Dur_80","42","28","212","95","16","47","73.333"
"Peak_Fre_95",NA,NA,"1",NA,NA,NA,"1"
"Peak_Fre_90","1",NA,"1","1",NA,NA,"1"
"Peak_Fre_80","1","4","2","3","2","2","2.333"
"Peak_Tim_95",NA,NA,"81",NA,NA,NA,"81"
"Peak_Tim_90","37",NA,"30","163",NA,NA,"76.667"
"Peak_Tim_80","30","99.5","170.5","105","75.5","63.5","90.667"
"Rec_Mag","5853","4858","79827","15146","6591.3","12599","20812.383"
"Rec_Tim","251","289","182","169","192","112","199.167"
"Rec_Dur","24","28","113","85","23","139","68.667"
"Rec_ROC","0.031","0.053","0.032","0.046","0.048","0.041","0.042"
"Dry_Mag_90","2533","2456.4","4039.6","2559","4965.34","3661","3369.057"
"Dry_Mag_50","2533","2228","3781.5","2559","3514.55","2527.5","2857.258"
"Dry_Mag_10","2533","1761","3505.3","2559","2367.22","1858.5","2430.67"
"Dry_Tim","275","317","295","254","215","251","267.833"
"Dry_Dur","1","60","20","1","170","116","61.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.333",NA,NA,NA,"1.333"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.611",NA,NA,NA,"0.611"
"Frac_V_Cent_Max",NA,NA,"0.621",NA,NA,NA,"0.621"
