"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","532.486","831.574","6257.023","1435.632","931.768","778.913","1793.664"
"SD_Ann","300.364","1484.098","10727.198","1361.995","730.262","2388.973","4990.234"
"CV_Ann","0.564","1.785","1.714","0.949","0.784","3.067","2.782"
"Q10_Mag","163.64","245.5","208.68","201.54","193.12","44.9","127.8"
"Q25_Mag","271.1","353.5","520.6","279.8","292.8","85.85","243.8"
"Q50_Mag","479.7","509","2928.9","1000.9","819.3","159.05","516.65"
"Q75_Mag","743.8","830.25","4948.1","2303.9","1411.5","259.45","1417.2"
"Q90_Mag","954.58","1242.5","15386.26","3659.28","2020.74","1271.9","3590.45"
"Q10_Tim","15","13","60","1","58","200","57"
"Q25_Tim","101","106","32","68","55","268","105"
"Q50_Tim","136","134","7","101","57","259","115"
"Q75_Tim",NA,"225","11","123","142","259","152"
"Q90_Tim",NA,"357","91","165",NA,"254","216"
"Q10_Fre","2","1","5","1","2","10","3"
"Q25_Fre","8","4","5","2","4","9","5"
"Q50_Fre","8","9","2","3","4","6","5"
"Q75_Fre",NA,"6","3","4","5","5","4"
"Q90_Fre",NA,"1","8","2",NA,"4","3"
"Q10_Dur","351","354","342","365","349","234","332"
"Q25_Dur","304","340","308","313","302","103","278"
"Q50_Dur","180","191","283","203","208","59","187"
"Q75_Dur",NA,"25","256","152","99","45","115"
"Q90_Dur",NA,"10","157","41",NA,"26","58"
"Q10_Mag_Lng_Evt","1382.2","15731","63178.4","4879","3222.4","17380.4","17628"
"Q25_Mag_Lng_Evt","1382.2","15731","63178.4","4879","3222.4","17380.4","17628"
"Q50_Mag_Lng_Evt","1382.2","2505","63178.4","4879","3222.4","17380.4","15424"
"Q75_Mag_Lng_Evt",NA,"15731","63178.4","4879","3222.4","17380.4","20878"
"Q90_Mag_Lng_Evt",NA,"15731","63178.4","4879",NA,"18950.2","25684"
"Q10_Strt_Tim_Lng_Evt","1","13","1","1","1","270","47"
"Q25_Strt_Tim_Lng_Evt","92","149","1","12","17","270","90"
"Q50_Strt_Tim_Lng_Evt","169","153","1","142","51","270","131"
"Q75_Strt_Tim_Lng_Evt",NA,"356","1","164","165","271","191"
"Q90_Strt_Tim_Lng_Evt",NA,"357","64","177",NA,"227","206"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","win","aut","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","spr","win","aut","spr"
"Q75_Strt_Sea_Lng_Evt",NA,"win","win","sum","sum","aut","sum"
"Q90_Strt_Sea_Lng_Evt",NA,"win","spr","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","337","354","277","365","282","97","285"
"Q25_Dur_Lng_Evt","209","218","277","249","265","30","208"
"Q50_Dur_Lng_Evt","78","64","277","113","199","25","126"
"Q75_Dur_Lng_Evt",NA,"11","246","80","62","21","84"
"Q90_Dur_Lng_Evt",NA,"10","87","35",NA,"12","36"
"Init_Mag","861.641","1491.45","656.871","603.882","506.235","325.084","740.86"
"Init_Tim","22","19","-129","-78","-71","-55","-48.667"
"Init_Dur","9","12","14","5","9","19","11.333"
"Wet_BFL_Mag_10","224.9",NA,"1539.9","488.52","798.02","68.54","623.976"
"Wet_BFL_Mag_50","640.3",NA,"4140.3","1814.9","1237.9","843.75","1735.43"
"Wet_Tim","1",NA,"-19","36","45","220","56.6"
"Wet_BFL_Dur","231",NA,"109","159","147","68","142.8"
"Peak_Mag_Ann","1382.2","15731","63178.4","4879","3222.4","18950.2","17890.533"
"Peak_Mag_Tim","231","360","67","181","191","235","210.833"
"Peak_Mag_95",NA,"15731","23296.3",NA,NA,"13482.55","17503.283"
"Peak_Mag_90",NA,"15731","14354","4688.3",NA,"13482.55","12063.962"
"Peak_Mag_80",NA,"2505","4086.3","2856.9","2194.55","9584.7","4245.49"
"Peak_Dur_95",NA,"10","87",NA,NA,"17","38"
"Peak_Dur_90",NA,"10","157","41",NA,"26","58.5"
"Peak_Dur_80",NA,"17","229","124","50","31","90.2"
"Peak_Fre_95",NA,"1","6",NA,NA,"4","3.667"
"Peak_Fre_90",NA,"1","8","2",NA,"4","3.75"
"Peak_Fre_80",NA,"5","5","5","6","5","5.2"
"Peak_Tim_95",NA,"357","50",NA,NA,"242.5","216.5"
"Peak_Tim_90",NA,"357","115.5","137.5",NA,"265.5","218.875"
"Peak_Tim_80",NA,"213","54","91","172.5","251","156.3"
"Rec_Mag","1382.2","2505","48583.6","4777.6","3222.4","17380.4","12975.2"
"Rec_Tim","231","213","89","194","191","287","200.833"
"Rec_Dur","110","9","193","77","101","56","91"
"Rec_ROC","0.09","0.25","0.079","0.09","0.081","0.116","0.118"
"Dry_Mag_90",NA,"609.5","355.32","406.37","280.66","318.07","393.984"
"Dry_Mag_50",NA,"419.5","223.6","290.35","135.3","223.1","258.37"
"Dry_Mag_10",NA,"330","61.55","151.35","42.86","139.92","145.136"
"Dry_Tim","341","222","282","271","292","343","291.833"
"Dry_Dur",NA,"126","120","140","294","24","140.8"
"Dry_NoFL_Days",NA,"0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","2.571",NA,NA,"1","1.524"
"No_Peaks_Max",NA,"1","6",NA,NA,"1","2.667"
"Frac_V_Cent_Avg",NA,"0.5","0.506",NA,NA,"0.65","0.552"
"Frac_V_Cent_Max",NA,"0.5","0.667",NA,NA,"0.5","0.556"
