"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","559.873","870.555","6424.826","1574.425","1076.451","789.554","1881.654"
"SD_Ann","331.982","1527.113","10674.675","1419.596","812.981","2416.82","4997.854"
"CV_Ann","0.593","1.754","1.661","0.902","0.755","3.061","2.656"
"Q10_Mag","163.64","245.5","264.2","201.54","193.12","44.9","135.22"
"Q25_Mag","271.1","353.5","921.9","311.3","301.7","85.85","258.45"
"Q50_Mag","479.7","516.5","3217.3","1270","976.6","159.05","545"
"Q75_Mag","824.1","926","4948.1","2715.3","1716.9","259.45","1682.8"
"Q90_Mag","1028.88","1323.5","15686.26","3659.28","2208.94","1425.25","3711.57"
"Q10_Tim","15","14","1","69","58","207","60"
"Q25_Tim","108","116","1","119","60","269","112"
"Q50_Tim","133","134","37","100","56","259","119"
"Q75_Tim",NA,"293","17","118","130","257","163"
"Q90_Tim",NA,"357","93","169",NA,"254","218"
"Q10_Fre","2","1","1","4","2","9","3"
"Q25_Fre","9","5","1","3","3","9","5"
"Q50_Fre","8","9","3","4","4","6","5"
"Q75_Fre",NA,"5","3","5","8","5","5"
"Q90_Fre",NA,"1","7","3",NA,"4","3"
"Q10_Dur","351","353","365","353","349","220","331"
"Q25_Dur","293","333","330","304","309","98","277"
"Q50_Dur","173","176","299","202","208","58","186"
"Q75_Dur",NA,"17","253","160","103","33","113"
"Q90_Dur",NA,"10","161","37",NA,"26","58"
"Q10_Mag_Lng_Evt","1463.6","16085","63178.4","4879","3222.4","17805.4","17772"
"Q25_Mag_Lng_Evt","1463.6","16085","63178.4","4879","3222.4","17805.4","17772"
"Q50_Mag_Lng_Evt","1382.2","1933","63178.4","4879","3222.4","17805.4","15400"
"Q75_Mag_Lng_Evt",NA,"16085","63178.4","4879","3222.4","18950.2","21263"
"Q90_Mag_Lng_Evt",NA,"16085","63178.4","4879",NA,"18950.2","25773"
"Q10_Strt_Tim_Lng_Evt","1","14","1","1","1","270","48"
"Q25_Strt_Tim_Lng_Evt","93","149","1","138","17","270","111"
"Q50_Strt_Tim_Lng_Evt","169","15","1","143","50","270","108"
"Q75_Strt_Tim_Lng_Evt",NA,"356","1","164","176","227","184"
"Q90_Strt_Tim_Lng_Evt",NA,"357","64","177",NA,"227","206"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","aut","spr"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","spr","win","aut","win"
"Q75_Strt_Sea_Lng_Evt",NA,"win","win","sum","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt",NA,"win","spr","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","337","353","365","269","282","97","283"
"Q25_Dur_Lng_Evt","197","218","330","123","265","30","193"
"Q50_Dur_Lng_Evt","78","51","260","110","197","25","120"
"Q75_Dur_Lng_Evt",NA,"11","238","79","36","12","75"
"Q90_Dur_Lng_Evt",NA,"10","87","25",NA,"12","33"
"Init_Mag","861.641","1491.45","656.871","3046.732","506.235","355.069","1153"
"Init_Tim","22","19","-129","60","-71","-55","-25.667"
"Init_Dur","9","12","14","25","9","19","14.667"
"Wet_BFL_Mag_10","223.48",NA,"1539.9","495.02","1005.9","68.54","666.568"
"Wet_BFL_Mag_50","739.9",NA,"4206.1","2194.1","1683.4","887.1","1942.12"
"Wet_Tim","13",NA,"-19","36","45","220","59"
"Wet_BFL_Dur","219",NA,"109","159","147","68","140.4"
"Peak_Mag_Ann","1463.6","16085","63178.4","4879","3222.4","18950.2","17963.1"
"Peak_Mag_Tim","106","360","67","181","191","235","190"
"Peak_Mag_95",NA,"16085","23296.3",NA,NA,"13695.05","17692.117"
"Peak_Mag_90",NA,"16085","20446.7","4836.9",NA,"13695.05","13765.912"
"Peak_Mag_80",NA,"2953","27380.6","4037.45","2480.05","9584.7","9287.16"
"Peak_Dur_95",NA,"10","87",NA,NA,"17","38"
"Peak_Dur_90",NA,"10","161","37",NA,"26","58.5"
"Peak_Dur_80",NA,"15","224","134","50","30","90.6"
"Peak_Fre_95",NA,"1","6",NA,NA,"4","3.667"
"Peak_Fre_90",NA,"1","7","3",NA,"4","3.75"
"Peak_Fre_80",NA,"4","4","4","6","5","4.6"
"Peak_Tim_95",NA,"357","50",NA,NA,"242.5","216.5"
"Peak_Tim_90",NA,"357","64","177",NA,"265.5","215.875"
"Peak_Tim_80",NA,"277","31","119.5","137.5","251","163.2"
"Rec_Mag","1382.2","2505","48583.6","4777.6","3222.4","17805.4","13046.033"
"Rec_Tim","231","213","89","194","191","287","200.833"
"Rec_Dur","109","9","251","77","101","56","100.5"
"Rec_ROC","0.09","0.25","0.058","0.09","0.081","0.117","0.114"
"Dry_Mag_90",NA,"609.5","378.1","501.54","289.83","318.07","419.408"
"Dry_Mag_50",NA,"419.5","217.55","294.5","135.3","223.1","257.99"
"Dry_Mag_10",NA,"330","197.4","151.35","42.86","139.92","172.306"
"Dry_Tim","340","222","340","271","292","343","301.333"
"Dry_Dur",NA,"126","62","140","294","24","129.2"
"Dry_NoFL_Days",NA,"0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","2.571",NA,NA,"1","1.524"
"No_Peaks_Max",NA,"1","6",NA,NA,"1","2.667"
"Frac_V_Cent_Avg",NA,"0.5","0.509",NA,NA,"0.65","0.553"
"Frac_V_Cent_Max",NA,"0.5","0.667",NA,NA,"0.5","0.556"
