"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","484.433","537.47","3125.408","1523.102","973.695","126.683","1127.739"
"SD_Ann","349.715","393.121","6319.676","1398.602","794.176","104.558","2846.42"
"CV_Ann","0.722","0.731","2.022","0.918","0.816","0.825","2.524"
"Q10_Mag","67.96","68","45.6","159.66","135.82","22.4","55.45"
"Q25_Mag","116.3","152","74.6","317.7","288.2","32.7","113.675"
"Q50_Mag","444.4","527","527.2","1195.1","834","89.6","375.9"
"Q75_Mag","755.9","755","3420.9","2566.2","1549.6","201.825","1155.475"
"Q90_Mag","975.8","1118","6491.6","3719.14","2100.66","305.55","2678.13"
"Q10_Tim","21","68","50","1","1","67","34"
"Q25_Tim","76","117","76","7","64","86","71"
"Q50_Tim","100","167","80","121","46",NA,"102"
"Q75_Tim","145","137","76","101","125",NA,"116"
"Q90_Tim",NA,NA,"127","149","187",NA,"154"
"Q10_Fre","3","3","2","1","1","7","2"
"Q25_Fre","4","3","7","1","3","6","4"
"Q50_Fre","4","6","4","7","4",NA,"5"
"Q75_Fre","5","6","2","3","7",NA,"4"
"Q90_Fre",NA,NA,"5","4","2",NA,"3"
"Q10_Dur","355","348","328","365","365","241","333"
"Q25_Dur","285","284","231","359","346","169","279"
"Q50_Dur","211","237","187","256","219",NA,"222"
"Q75_Dur","16","35","171","189","148",NA,"111"
"Q90_Dur",NA,NA,"129","92","8",NA,"76"
"Q10_Mag_Lng_Evt","1418.1","1614","36897.4","5043.4","3378.7","362.8","8119"
"Q25_Mag_Lng_Evt","1418.1","1565","36897.4","5043.4","3378.7","362.8","8110"
"Q50_Mag_Lng_Evt","1418.1","1284","36897.4","5043.4","3378.7",NA,"9604"
"Q75_Mag_Lng_Evt","1300.2","1614","36897.4","4594.6","3378.7",NA,"9556"
"Q90_Mag_Lng_Evt",NA,NA,"36897.4","5043.4","3378.7",NA,"15106"
"Q10_Strt_Tim_Lng_Evt","21","73","1","1","1","24","20"
"Q25_Strt_Tim_Lng_Evt","72","144","63","7","1","97","64"
"Q50_Strt_Tim_Lng_Evt","94","220","75","134","47",NA,"114"
"Q75_Strt_Tim_Lng_Evt","96","79","75","36","161",NA,"89"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"75","168","185",NA,"142"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","spr","win","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","sum","spr","spr","win",NA,"spr"
"Q75_Strt_Sea_Lng_Evt","spr","spr","spr","win","sum",NA,"spr"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"spr","sum","sum",NA,"sum"
"Q10_Dur_Lng_Evt","345","274","277","365","365","200","304"
"Q25_Dur_Lng_Evt","266","198","202","359","270","106","233"
"Q50_Dur_Lng_Evt","191","91","180","120","206",NA,"157"
"Q75_Dur_Lng_Evt","8","15","170","89","72",NA,"70"
"Q90_Dur_Lng_Evt",NA,NA,"60","69","7",NA,"45"
"Init_Mag","444.461","624.59","161.326","107.903","656.031","345.889","390.033"
"Init_Tim","60","34","21","-13","-74","-60","-5.333"
"Init_Dur","4","12","7","11","13","23","11.667"
"Wet_BFL_Mag_10","128.7","80","119.26","482.42","867.45","50.55","288.063"
"Wet_BFL_Mag_50","716.25","686","11120.9","1711.65","1535.85","201.25","2661.983"
"Wet_Tim","46","24","69","24","41","-88","19.333"
"Wet_BFL_Dur","194","231","22","164","178","286","179.167"
"Peak_Mag_Ann","1418.1","1614","36897.4","5043.4","3378.7","362.8","8119.067"
"Peak_Mag_Tim","229","88","90","179","189","197","162"
"Peak_Mag_95",NA,NA,"5009.9","4594.6",NA,NA,"4802.25"
"Peak_Mag_90",NA,NA,"5009.9","3838.75","3070.5",NA,"3973.05"
"Peak_Mag_80","1418.1","1565","36897.4","2988.25","2043.8",NA,"8982.51"
"Peak_Dur_95",NA,NA,"79","31",NA,NA,"55"
"Peak_Dur_90",NA,NA,"129","92","8",NA,"76.333"
"Peak_Dur_80","1","12","169","161","115",NA,"91.6"
"Peak_Fre_95",NA,NA,"5","3",NA,NA,"4"
"Peak_Fre_90",NA,NA,"5","4","2",NA,"3.667"
"Peak_Fre_80","1","3","1","6","5",NA,"3.2"
"Peak_Tim_95",NA,NA,"191","175",NA,NA,"183"
"Peak_Tim_90",NA,NA,"155","119.5","191.5",NA,"155.333"
"Peak_Tim_80","229","166","75","101.5","91",NA,"132.5"
"Rec_Mag","985.6","709","36897.4","4775.4","2104.3","362.8","7639.083"
"Rec_Tim","239","254","90","187","218","197","197.5"
"Rec_Dur","100","99","192","80","59","58","98"
"Rec_ROC","0.067","0.036","0.098","0.073","0.11","0.207","0.098"
"Dry_Mag_90","113.2","181.96","170.81","468.66","46.8","69.97","175.233"
"Dry_Mag_50","82.1","76","67.95","325.2","46.8","34.1","105.358"
"Dry_Mag_10","62","57.68","0","138.06","46.8","20.11","54.108"
"Dry_Tim","339","353","282","267","277","255","295.5"
"Dry_Dur","51","83","108","140","1","112","82.5"
"Dry_NoFL_Days","0","0","33","0","0","0","5.5"
"No_Peaks_Avg",NA,NA,"2.5","2.667",NA,NA,"2.583"
"No_Peaks_Max",NA,NA,"5","5",NA,NA,"5"
"Frac_V_Cent_Avg",NA,NA,"0.549","0.707",NA,NA,"0.628"
"Frac_V_Cent_Max",NA,NA,"0.765","0.52",NA,NA,"0.643"
