"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","259.421","535.82","3477.16","652.258","426.887","625.919","995.865"
"SD_Ann","151.619","1013.004","4011.422","570.404","401.009","1685.718","2156.413"
"CV_Ann","0.584","1.891","1.154","0.875","0.939","2.693","2.165"
"Q10_Mag","58.7","95.5","72.76","51.6","18.76","0","18.43"
"Q25_Mag","158.9","188","217.2","174.8","69.4","0","100.375"
"Q50_Mag","238.5","290.5","2422.2","439.1","267.9","27.85","274.25"
"Q75_Mag","334.1","550","4796.8","1081.1","734.6","276.7","808.4"
"Q90_Mag","461.9","916","9671.46","1487.98","1022.08","1577.2","2476.98"
"Q10_Tim","1","1","50","1","45","186","47"
"Q25_Tim","81","136","29","113","40","256","109"
"Q50_Tim","126","162","30","107","70","267","127"
"Q75_Tim","190","159","29","109","102","263","141"
"Q90_Tim",NA,"357","57","180",NA,"261","213"
"Q10_Fre","1","1","3","1","4","6","2"
"Q25_Fre","3","4","4","5","6","4","4"
"Q50_Fre","13","9","5","8","6","7","8"
"Q75_Fre","2","7","4","5","9","5","5"
"Q90_Fre",NA,"2","6","1",NA,"5","3"
"Q10_Dur","365","366","355","365","330","199","330"
"Q25_Dur","317","334","322","312","258","143","281"
"Q50_Dur","156","224","271","210","187","100","191"
"Q75_Dur","2","42","233","153","77","56","93"
"Q90_Dur",NA,"10","190","1",NA,"33","58"
"Q10_Mag_Lng_Evt","960.1","8866","15435.6","2733.7","1490.3","10700.4","6697"
"Q25_Mag_Lng_Evt","724.8","8866","15435.6","1982.1","1490.3","10700.4","6533"
"Q50_Mag_Lng_Evt","724.8","1414","15435.6","2733.7","1490.3","9185.2","5163"
"Q75_Mag_Lng_Evt","938.9","1203","15435.6","1982.1","1490.3","10700.4","5291"
"Q90_Mag_Lng_Evt",NA,"8866","15435.6","2733.7",NA,"10700.4","9433"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","229","39"
"Q25_Strt_Tim_Lng_Evt","97","230","1","1","21","272","103"
"Q50_Strt_Tim_Lng_Evt","102","156","1","143","54","229","114"
"Q75_Strt_Tim_Lng_Evt","24","83","1","44","55","272","79"
"Q90_Strt_Tim_Lng_Evt",NA,"358","61","180",NA,"281","220"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","spr","sum","win","win","win","aut","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","spr","win","sum","spr"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","win","win","aut","win"
"Q90_Strt_Sea_Lng_Evt",NA,"win","win","sum",NA,"aut","win"
"Q10_Dur_Lng_Evt","365","366","299","365","286","138","303"
"Q25_Dur_Lng_Evt","236","137","295","137","241","95","190"
"Q50_Dur_Lng_Evt","57","65","241","102","161","33","109"
"Q75_Dur_Lng_Evt","1","17","205","75","34","25","59"
"Q90_Dur_Lng_Evt",NA,"9","145","1",NA,"13","42"
"Init_Mag","681.164","456.291","6054.108","199.532","300.788","99.007","1298.482"
"Init_Tim","25","-8","-2","-45","-67","-51","-24.667"
"Init_Dur","9","17","12","13","9","16","12.667"
"Wet_BFL_Mag_10","89.2",NA,"1479.9","254.5","301.7","26.93","430.446"
"Wet_BFL_Mag_50","305.3",NA,"4941.3","1019.1","734","805.65","1561.07"
"Wet_Tim","5",NA,"-13","32","48","223","59"
"Wet_BFL_Dur","229",NA,"106","165","181","60","148.2"
"Peak_Mag_Ann","960.1","8866","15435.6","2733.7","1490.3","10700.4","6697.683"
"Peak_Mag_Tim","356","361","92","180","60","282","221.833"
"Peak_Mag_95",NA,"8866","9760.75",NA,NA,"9185.2","9270.65"
"Peak_Mag_90",NA,"5712","3575.75","2733.7",NA,"7789.3","4952.688"
"Peak_Mag_80",NA,"1528.5","3467.9","1717.85","1323.7","7789.3","3165.45"
"Peak_Dur_95",NA,"8","89",NA,NA,"16","37.667"
"Peak_Dur_90",NA,"10","190","1",NA,"33","58.5"
"Peak_Dur_80",NA,"35","230","102","35","52","90.8"
"Peak_Fre_95",NA,"1","6",NA,NA,"3","3.333"
"Peak_Fre_90",NA,"2","6","1",NA,"5","3.5"
"Peak_Fre_80",NA,"6","3","6","5","5","5"
"Peak_Tim_95",NA,"359","51.5",NA,NA,"253","221.167"
"Peak_Tim_90",NA,"351","137","180",NA,"273","235.25"
"Peak_Tim_80",NA,"174","213","131","179","252","189.8"
"Rec_Mag","372.1","1147","15435.6","1820.6","730.8","10700.4","5034.417"
"Rec_Tim","233","133","92","196","228","282","194"
"Rec_Dur","108","95","208","73","69","66","103.167"
"Rec_ROC","0.102","0.183","0.097","0.126","0.254","0.129","0.148"
"Dry_Mag_90",NA,"326","185.65","274.86","69.25","255.96","222.344"
"Dry_Mag_50",NA,"249.5","101.95","181.8","6.35","175.3","142.98"
"Dry_Mag_10",NA,"153","11","36.98","0","128.6","65.916"
"Dry_Tim","341","228","300","269","297","348","297.167"
"Dry_Dur",NA,"126","98","145","292","19","136"
"Dry_NoFL_Days",NA,"0","0","0","90","0","18"
"No_Peaks_Avg",NA,"2","2.125",NA,NA,"1","1.708"
"No_Peaks_Max",NA,"2","7",NA,NA,"1","3.333"
"Frac_V_Cent_Avg",NA,"0.5","0.549",NA,NA,"0.567","0.539"
"Frac_V_Cent_Max",NA,"0.5","0.375",NA,NA,"0.6","0.492"
