"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","286.383","574.691","3644.895","791.05","568.748","637.125","1083.379"
"SD_Ann","186.638","1059.629","3936.476","742.353","598.277","1719.517","2178.197"
"CV_Ann","0.652","1.844","1.08","0.938","1.052","2.699","2.011"
"Q10_Mag","58.7","95.5","113.62","51.6","18.76","0","22.13"
"Q25_Mag","158.9","188","528.4","184","69.4","0","114.775"
"Q50_Mag","242.5","291.5","2643","469.1","364.5","27.85","293.85"
"Q75_Mag","394.9","568.25","4798.4","1319.3","973.4","276.7","1058.625"
"Q90_Mag","527.7","1082.5","9758.94","1820.28","1435.9","1718.2","2725.8"
"Q10_Tim","1","1","1","72","42","187","50"
"Q25_Tim","95","143","5","116","33","256","108"
"Q50_Tim","121","140","53","95","64","269","123"
"Q75_Tim",NA,"153","26","91","79","263","122"
"Q90_Tim",NA,"358","85","79",NA,"260","195"
"Q10_Fre","1","1","1","2","4","6","2"
"Q25_Fre","4","6","2","5","5","4","4"
"Q50_Fre","11","12","3","6","5","7","7"
"Q75_Fre",NA,"8","3","4","5","5","5"
"Q90_Fre",NA,"1","6","2",NA,"4","3"
"Q10_Dur","365","366","365","361","327","197","330"
"Q25_Dur","310","325","332","307","252","143","278"
"Q50_Dur","140","191","302","209","203","83","188"
"Q75_Dur",NA,"43","249","135","84","52","112"
"Q90_Dur",NA,"9","187","7",NA,"31","58"
"Q10_Mag_Lng_Evt","1038.8","9220","15435.6","2887","2362.3","11125.4","7011"
"Q25_Mag_Lng_Evt","1038.8","9220","15435.6","2887","2362.3","11125.4","7011"
"Q50_Mag_Lng_Evt","1038.8","1414","15435.6","2733.7","2362.3","11125.4","5684"
"Q75_Mag_Lng_Evt",NA,"1254","15435.6","2887","2362.3","11125.4","6612"
"Q90_Mag_Lng_Evt",NA,"9220","15435.6","2887",NA,"9185.2","9181"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","229","39"
"Q25_Strt_Tim_Lng_Evt","97","230","1","5","21","272","104"
"Q50_Strt_Tim_Lng_Evt","102","156","1","143","53","272","121"
"Q75_Strt_Tim_Lng_Evt",NA,"84","1","44","55","272","91"
"Q90_Strt_Tim_Lng_Evt",NA,"358","66","62",NA,"229","178"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","spr","sum","win","win","win","aut","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","spr","win","aut","spr"
"Q75_Strt_Sea_Lng_Evt",NA,"spr","win","win","win","aut","win"
"Q90_Strt_Sea_Lng_Evt",NA,"win","spr","win",NA,"sum","win"
"Q10_Dur_Lng_Evt","365","366","365","267","286","138","297"
"Q25_Dur_Lng_Evt","208","137","328","133","241","95","190"
"Q50_Dur_Lng_Evt","62","64","241","102","162","32","110"
"Q75_Dur_Lng_Evt",NA,"15","227","86","59","24","82"
"Q90_Dur_Lng_Evt",NA,"9","89","6",NA,"12","29"
"Init_Mag","681.164","456.291","6264.724","2699.037","300.788","99.007","1750.168"
"Init_Tim","25","-8","-2","63","-67","-51","-6.667"
"Init_Dur","9","17","12","33","9","16","16"
"Wet_BFL_Mag_10","90.18",NA,"1479.9","340.38","770.82","26.93","541.642"
"Wet_BFL_Mag_50","321.3",NA,"5037.05","1368","1464.15","901.15","1818.33"
"Wet_Tim","1",NA,"-13","38","48","223","59.4"
"Wet_BFL_Dur","233",NA,"106","159","60","60","123.6"
"Peak_Mag_Ann","1038.8","9220","15435.6","2887","2362.3","11125.4","7011.517"
"Peak_Mag_Tim","109","361","92","66","61","282","161.833"
"Peak_Mag_95",NA,"9220","9760.75",NA,NA,"9185.2","9388.65"
"Peak_Mag_90",NA,"9220","4780.35","2810.35",NA,"8487.25","6324.488"
"Peak_Mag_80",NA,"2100.5","3467.9","1890.25","1621.1","8487.25","3513.4"
"Peak_Dur_95",NA,"8","89",NA,NA,"16","37.667"
"Peak_Dur_90",NA,"9","187","7",NA,"31","58.5"
"Peak_Dur_80",NA,"16","244","93","54","48","91"
"Peak_Fre_95",NA,"1","6",NA,NA,"3","3.333"
"Peak_Fre_90",NA,"1","6","2",NA,"4","3.25"
"Peak_Fre_80",NA,"4","3","6","4","4","4.2"
"Peak_Tim_95",NA,"359","51.5",NA,NA,"253","221.167"
"Peak_Tim_90",NA,"358","63.5","121",NA,"266.5","202.25"
"Peak_Tim_80",NA,"279.5","271","137","113.5","262","212.6"
"Rec_Mag","372.1","1147","15435.6","1820.6","1514.3","11125.4","5235.833"
"Rec_Tim","233","133","92","196","107","282","173.833"
"Rec_Dur","108","95","232","73","189","66","127.167"
"Rec_ROC","0.102","0.183","0.086","0.126","0.162","0.13","0.132"
"Dry_Mag_90",NA,"326","267.1","371.16","69.1","255.96","257.864"
"Dry_Mag_50",NA,"249.5","125.75","185.3","6.4","175.3","148.45"
"Dry_Mag_10",NA,"153","57.52","36.98","0","128.6","75.22"
"Dry_Tim","341","228","324","269","296","348","301"
"Dry_Dur",NA,"126","80","145","293","19","132.6"
"Dry_NoFL_Days",NA,"0","0","0","90","0","18"
"No_Peaks_Avg",NA,"2","2.125",NA,NA,"1","1.708"
"No_Peaks_Max",NA,"2","7",NA,NA,"1","3.333"
"Frac_V_Cent_Avg",NA,"0.5","0.615",NA,NA,"0.567","0.561"
"Frac_V_Cent_Max",NA,"0.5","0.375",NA,NA,"0.6","0.492"
