"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1193.91","1670.683","6849.598","1232.374","710.701","1095.93","2124.856"
"SD_Ann","745.833","1154.738","7711.864","1544.911","403.551","395.574","3896.798"
"CV_Ann","0.625","0.691","1.126","1.254","0.568","0.361","1.834"
"Q10_Mag","375.18","554.5","440.34","243.66","225.84","351.55","312.28"
"Q25_Mag","612.1","1064.75","801.5","297.4","361.9","934.35","524.05"
"Q50_Mag","1158.3","1440","5387.3","545.1","612.1","1211.2","1152.5"
"Q75_Mag","1454.2","1907.75","8867.2","1341.1","1024.7","1376.525","1538.15"
"Q90_Mag","1815.76","2859","17163.28","3118.86","1321.64","1456.6","5012.57"
"Q10_Tim","83","1","92","91","111","57","72"
"Q25_Tim","65","82","100","29","90","43","68"
"Q50_Tim","106","125","59","77","122","85","95"
"Q75_Tim","96","139","45","97","102","69","91"
"Q90_Tim","35","114","1","43",NA,NA,"48"
"Q10_Fre","3","1","2","7","4","3","3"
"Q25_Fre","5","3","7","3","7","2","4"
"Q50_Fre","6","5","4","5","3","6","4"
"Q75_Fre","5","10","4","4","1","4","4"
"Q90_Fre","1","2","1","1",NA,NA,"1"
"Q10_Dur","350","366","361","264","304","340","330"
"Q25_Dur","288","335","315","186","213","314","275"
"Q50_Dur","185","268","255","123","67","222","186"
"Q75_Dur","78","157","236","64","4","15","92"
"Q90_Dur","1","14","187","18",NA,NA,"55"
"Q10_Mag_Lng_Evt","5100.9","6320","31222.5","7121.7","1872.3","2093.7","8955"
"Q25_Mag_Lng_Evt","5100.9","6320","31222.5","7121.7","1872.3","2093.7","8955"
"Q50_Mag_Lng_Evt","2078.4","6320","31222.5","7121.7","1872.3","1549.4","8360"
"Q75_Mag_Lng_Evt","5100.9","6320","31222.5","7121.7","1872.3","2093.7","8955"
"Q90_Mag_Lng_Evt","5100.9","6320","31222.5","7121.7",NA,NA,"12441"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","142","21","1","40","57","106","61"
"Q75_Strt_Tim_Lng_Evt","13","26","1","41","102","33","36"
"Q90_Strt_Tim_Lng_Evt","35","72","1","43",NA,NA,"37"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","win","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","spr","win","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","251","366","196","180","172","278","240"
"Q25_Dur_Lng_Evt","221","238","195","156","144","274","204"
"Q50_Dur_Lng_Evt","73","123","193","54","50","142","105"
"Q75_Dur_Lng_Evt","38","63","192","25","4","9","55"
"Q90_Dur_Lng_Evt","1","12","187","18",NA,NA,"54"
"Init_Mag","2845.902","1270.176","2232.795","1299.605","884.055","667.593","1533.354"
"Init_Tim","18","-86","-29","-53","8","-30","-28.667"
"Init_Dur","18","23","34","9","31","10","20.833"
"Wet_BFL_Mag_10","752.02","1245.8","7379.28","757.4","550.66","896","1930.193"
"Wet_BFL_Mag_50","1347","2514","8382","1352.2","1002.5","1278.2","2645.983"
"Wet_Tim","1","18","2","32","-10","-40","0.5"
"Wet_BFL_Dur","243","59","132","141","114","281","161.667"
"Peak_Mag_Ann","5100.9","6320","31222.5","7121.7","1872.3","2093.7","8955.183"
"Peak_Mag_Tim","35","76","133","54","103","35","72.667"
"Peak_Mag_95",NA,NA,"19815.3",NA,NA,NA,"19815.3"
"Peak_Mag_90","5100.9","5710","31222.5","7121.7",NA,NA,"12288.775"
"Peak_Mag_80","2078.4","2819","3870.5","3877.8","1872.3","2093.7","2768.617"
"Peak_Dur_95",NA,NA,"113",NA,NA,NA,"113"
"Peak_Dur_90","1","14","187","18",NA,NA,"55"
"Peak_Dur_80","40","100","229","61","2","7","73.167"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1","2","1","1",NA,NA,"1.25"
"Peak_Fre_80","3","6","3","4","1","1","3"
"Peak_Tim_95",NA,NA,"55.5",NA,NA,NA,"55.5"
"Peak_Tim_90","35","218.5","1","43",NA,NA,"74.375"
"Peak_Tim_80","48","174","214","123.5","103","33","115.917"
"Rec_Mag","1458.1","6320","31222.5","3238.4","1872.3","1499.9","7601.867"
"Rec_Tim","243","76","133","172","103","240","161.167"
"Rec_Dur","13","218","169","40","191","45","112.667"
"Rec_ROC","0.13","0.054","0.046","0.106","0.056","0.059","0.075"
"Dry_Mag_90","1245.96","3179.2","1354.35","417.92","363.58","1044.59","1267.6"
"Dry_Mag_50","578.2","1341","663.3","291.7","313.15","479.35","611.117"
"Dry_Mag_10","323.04","358.6","363.65","227.44","201.23","246.26","286.703"
"Dry_Tim","256","294","302","212","294","285","273.833"
"Dry_Dur","128","75","96","144","32","82","92.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.25",NA,NA,NA,"1.25"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.574",NA,NA,NA,"0.574"
"Frac_V_Cent_Max",NA,NA,"0.55",NA,NA,NA,"0.55"
