"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","4925.738","4799.937","12272.678","4084.276","2821.759","2298.099","5198.908"
"SD_Ann","2623.427","2805.878","13271.886","2287.069","1542.809","1010.782","6639.419"
"CV_Ann","0.533","0.585","1.081","0.56","0.547","0.44","1.277"
"Q10_Mag","1173.28","1605.5","2694.54","1522.5","1087.14","1062.6","1354.5"
"Q25_Mag","2614.6","2264.15","4269.7","2242.8","1599.1","1497.1","2022.375"
"Q50_Mag","5001.7","4507.2","8366.5","4012.5","2268.1","2220.85","3811.25"
"Q75_Mag","6639.8","6397.675","11675.3","5759.4","4216.9","2896.4","6037.85"
"Q90_Mag","8330.96","7960.15","35483.84","6925.06","5025.22","3696.75","8805.28"
"Q10_Tim","23","45","1","73","103","124","61"
"Q25_Tim","16","123","1","91","104","117","75"
"Q50_Tim","89","139","97","129","110","220","130"
"Q75_Tim","138","171","81","168","103",NA,"132"
"Q90_Tim","127","208","82","96",NA,NA,"128"
"Q10_Fre","6","3","1","4","5","7","4"
"Q25_Fre","4","7","1","5","9","9","5"
"Q50_Fre","5","7","5","7","6","6","6"
"Q75_Fre","10","10","4","7","2",NA,"6"
"Q90_Fre","5","3","7","2",NA,NA,"4"
"Q10_Dur","322","358","365","334","312","313","334"
"Q25_Dur","299","293","365","311","216","212","282"
"Q50_Dur","255","232","296","195","129","37","190"
"Q75_Dur","130","120","243","82","4",NA,"115"
"Q90_Dur","26","24","182","6",NA,NA,"59"
"Q10_Mag_Lng_Evt","11981.2","12787.1","69630.6","12047.1","6169.9","5879.4","19749"
"Q25_Mag_Lng_Evt","11981.2","8723.3","69630.6","12047.1","6169.9","5879.4","19071"
"Q50_Mag_Lng_Evt","11981.2","8723.3","69630.6","8285.4","5797.8","5879.4","18382"
"Q75_Mag_Lng_Evt","9977.8","8723.3","69630.6","8285.4","6169.9",NA,"20557"
"Q90_Mag_Lng_Evt","10585.4","12787.1","69630.6","14066.8",NA,NA,"26767"
"Q10_Strt_Tim_Lng_Evt","1","1","1","48","1","68","20"
"Q25_Strt_Tim_Lng_Evt","1","136","1","49","33","94","52"
"Q50_Strt_Tim_Lng_Evt","98","137","1","170","179","192","129"
"Q75_Strt_Tim_Lng_Evt","99","154","1","194","39",NA,"97"
"Q90_Strt_Tim_Lng_Evt","177","61","55","31",NA,NA,"81"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","sum","sum","sum","sum"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","sum","win",NA,"sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","301","309","365","265","143","171","259"
"Q25_Dur_Lng_Evt","286","134","365","232","103","140","210"
"Q50_Dur_Lng_Evt","177","85","135","99","41","18","92"
"Q75_Dur_Lng_Evt","46","30","133","28","2",NA,"47"
"Q90_Dur_Lng_Evt","8","12","79","3",NA,NA,"25"
"Init_Mag","8515.2","5256.389","14572.375","4087.22","1882.653","1729.221","6007.176"
"Init_Tim","1","-5","-2","-76","-35","-63","-30"
"Init_Dur","5","10","7","7","9","14","8.667"
"Wet_BFL_Mag_10","3333.35","2713.18","11424.24","2115.93","1488.8","1445.3","3753.467"
"Wet_BFL_Mag_50","5850.3","5402.9","39963.3","4216.9","3328.5","2493.3","10209.2"
"Wet_Tim","1","12","62","-93","-45","-34","-16.167"
"Wet_BFL_Dur","226","243","39","338","261","266","228.833"
"Peak_Mag_Ann","11981.2","16369.8","69630.6","14066.8","6663.3","5879.4","20765.183"
"Peak_Mag_Tim","196","364","100","33","167","205","177.5"
"Peak_Mag_95","11830.4","12463.85","14367.9","13056.95",NA,NA,"12929.775"
"Peak_Mag_90","11182.4","12787.1","12017.3","13056.95",NA,NA,"12260.938"
"Peak_Mag_80","8517.85","8137.2","12017.3","8285.4","6663.3",NA,"8724.21"
"Peak_Dur_95","2","12","92","4",NA,NA,"27.5"
"Peak_Dur_90","26","24","182","6",NA,NA,"59.5"
"Peak_Dur_80","94","79","231","50","1",NA,"91"
"Peak_Fre_95","2","4","5","2",NA,NA,"3.25"
"Peak_Fre_90","5","3","7","2",NA,NA,"4.25"
"Peak_Fre_80","12","11","5","7","1",NA,"7.2"
"Peak_Tim_95","109","209.5","66","96",NA,NA,"120.125"
"Peak_Tim_90","107","349","159","95.5",NA,NA,"177.625"
"Peak_Tim_80","128","154","194","154","167",NA,"159.4"
"Rec_Mag","8656.5","6641.9","69630.6","6746.2","5797.8","4388.2","16976.867"
"Rec_Tim","226","254","100","244","215","231","211.667"
"Rec_Dur","84","25","172","76","74","37","78"
"Rec_ROC","0.096","0.083","0.057","0.063","0.161","0.122","0.097"
"Dry_Mag_90","3387.94","13904.49","2362.6","1148.1","1694.98","2627.92","4187.672"
"Dry_Mag_50","1268.9","7230.65","2362.6","1148.1","1140","1499.2","2441.575"
"Dry_Mag_10","820.71","1427.14","2362.6","1148.1","570","869.2","1199.625"
"Dry_Tim","310","279","272","320","289","268","289.667"
"Dry_Dur","68","150","1","1","43","99","60.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.667","1",NA,NA,"1.167"
"No_Peaks_Max","1","1","3","1",NA,NA,"1.5"
"Frac_V_Cent_Avg","1","0.817","0.559","0.75",NA,NA,"0.781"
"Frac_V_Cent_Max","1","0.6","0.317","1",NA,NA,"0.729"
