"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","5329.49","5092.476","12643.2","4521.844","2977.869","2418.476","5495.637"
"SD_Ann","2869.083","2842.319","13115.329","2613.194","1633.231","1123.932","6664.592"
"CV_Ann","0.538","0.558","1.037","0.578","0.548","0.465","1.213"
"Q10_Mag","1452.4","1735.35","3056.04","1908.76","1124.58","1062.6","1477.59"
"Q25_Mag","2770","2440.925","5059","2466.6","1663.6","1503.85","2134.575"
"Q50_Mag","5115.2","5159.1","8785.5","4237.9","2453.9","2290.5","4126.95"
"Q75_Mag","7563.5","6810.725","11855.1","5920.7","4447.3","3193.575","6391"
"Q90_Mag","9302.7","8349.65","35483.84","7537.4","5145.14","3976.55","9578.85"
"Q10_Tim","33","1","1","32","98","117","47"
"Q25_Tim","51","100","45","46","101","117","76"
"Q50_Tim","89","140","27","127","110","200","115"
"Q75_Tim","111","173","51","144","128",NA,"121"
"Q90_Tim","136","248","79","52",NA,NA,"128"
"Q10_Fre","4","1","1","3","6","9","4"
"Q25_Fre","5","8","2","5","9","8","6"
"Q50_Fre","5","7","5","7","6","8","6"
"Q75_Fre","7","11","5","7","3",NA,"6"
"Q90_Fre","9","4","8","2",NA,NA,"5"
"Q10_Dur","332","366","365","344","305","293","334"
"Q25_Dur","292","292","360","315","211","207","279"
"Q50_Dur","254","231","305","197","130","33","191"
"Q75_Dur","137","115","245","69","4",NA,"114"
"Q90_Dur","33","19","166","12",NA,NA,"57"
"Q10_Mag_Lng_Evt","12246.1","16369.8","69630.6","16778.8","6695.3","6030.1","21291"
"Q25_Mag_Lng_Evt","12246.1","8792.1","69630.6","16778.8","6695.3","6030.1","20028"
"Q50_Mag_Lng_Evt","12246.1","8792.1","69630.6","8335.4","5989.7","6030.1","18504"
"Q75_Mag_Lng_Evt","12246.1","8792.1","69630.6","8304.9","7111.7",NA,"21217"
"Q90_Mag_Lng_Evt","11755.6","12140.6","69630.6","16778.8",NA,NA,"27576"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","68","12"
"Q25_Strt_Tim_Lng_Evt","44","89","1","7","33","94","44"
"Q50_Strt_Tim_Lng_Evt","97","136","1","170","179","197","130"
"Q75_Strt_Tim_Lng_Evt","99","189","1","176","167",NA,"126"
"Q90_Strt_Tim_Lng_Evt","175","349","56","31",NA,NA,"152"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","sum","sum","sum","sum"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","sum","sum",NA,"sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","300","366","365","312","143","166","275"
"Q25_Dur_Lng_Evt","243","181","309","274","109","140","209"
"Q50_Dur_Lng_Evt","177","86","279","99","41","12","115"
"Q75_Dur_Lng_Evt","102","28","186","13","2",NA,"66"
"Q90_Dur_Lng_Evt","11","6","86","10",NA,NA,"28"
"Init_Mag","8515.2","5525.494","14572.881","4801.506","5339.244","1735.324","6748.275"
"Init_Tim","1","-5","-2","-42","40","-63","-11.833"
"Init_Dur","5","10","7","14","13","14","10.5"
"Wet_BFL_Mag_10","3655","2818.82","11424.24","2958.45","2040.47","1445.3","4057.047"
"Wet_BFL_Mag_50","6589.35","5726.5","39963.3","5469.35","4311","2577","10772.75"
"Wet_Tim","1","12","62","19","28","-34","14.667"
"Wet_BFL_Dur","226","243","39","226","188","266","198"
"Peak_Mag_Ann","12246.1","16369.8","69630.6","16778.8","7111.7","6030.1","21361.183"
"Peak_Mag_Tim","195","364","100","36","167","205","177.833"
"Peak_Mag_95","12246.1","12498.55","14367.9","14412.95",NA,NA,"13381.375"
"Peak_Mag_90","11074","12498.55","12441.75","14412.95",NA,NA,"12606.812"
"Peak_Mag_80","9938.05","8764.95","12017.3","8508.75",NA,NA,"9807.262"
"Peak_Dur_95","2","9","90","9",NA,NA,"27.5"
"Peak_Dur_90","33","19","166","12",NA,NA,"57.5"
"Peak_Dur_80","111","77","232","41",NA,NA,"115.25"
"Peak_Fre_95","1","4","5","2",NA,NA,"3"
"Peak_Fre_90","9","4","8","2",NA,NA,"5.75"
"Peak_Fre_80","8","10","3","6",NA,NA,"6.75"
"Peak_Tim_95","195","210","67","96",NA,NA,"142"
"Peak_Tim_90","140","208.5","153","95.5",NA,NA,"149.25"
"Peak_Tim_80","102.5","131.5","195","141.5",NA,NA,"142.625"
"Rec_Mag","8656.5","6972.9","69630.6","6746.2","5989.7","4388.2","17064.017"
"Rec_Tim","226","254","100","244","215","231","211.667"
"Rec_Dur","83","27","210","76","74","37","84.5"
"Rec_ROC","0.097","0.082","0.06","0.063","0.144","0.121","0.094"
"Dry_Mag_90","3612.16","14358.87","4446.36","2359.06","1696.98","2634.8","4851.372"
"Dry_Mag_50","1635.3","7523.5","2553.5","1899.2","1152.9","1504.9","2711.55"
"Dry_Mag_10","980.02","1611.61","1972.16","1236.12","580","869.2","1208.185"
"Dry_Tim","309","281","310","320","289","268","296.167"
"Dry_Dur","69","148","75","74","43","99","84.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.833","1",NA,NA,"1.208"
"No_Peaks_Max","1","1","4","1",NA,NA,"1.75"
"Frac_V_Cent_Avg","0.5","0.9","0.637","0.812",NA,NA,"0.712"
"Frac_V_Cent_Max","0.5","0.6","0.302","0.625",NA,NA,"0.507"
