"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2560.885","3214.041","11455.069","1888.189","1558.304","1561.053","3705.054"
"SD_Ann","1924.391","2780.612","15667.593","1799.62","944.484","850.144","7472.7"
"CV_Ann","0.751","0.865","1.368","0.953","0.606","0.545","2.017"
"Q10_Mag","506.3","675.5","1296.44","720.64","536.52","509.8","656.12"
"Q25_Mag","1184.5","1503.25","2017.6","939.4","784.8","956.975","1057.1"
"Q50_Mag","2296.5","2686","5037","1359","1250.8","1431.3","1884.25"
"Q75_Mag","3378.1","3858.5","12363.1","2104","2344.3","2049.7","3242.125"
"Q90_Mag","4737.92","5247","38614.66","3544.76","2874.98","2755.75","6722.6"
"Q10_Tim","39","57","1","93","112","74","62"
"Q25_Tim","84","103","70","127","120","111","102"
"Q50_Tim","126","131","91","119","104","146","119"
"Q75_Tim","129","142","41","123","111","235","130"
"Q90_Tim","51","215","27","109",NA,NA,"100"
"Q10_Fre","5","3","1","3","5","5","3"
"Q25_Fre","5","3","4","9","10","8","6"
"Q50_Fre","9","9","7","14","4","10","8"
"Q75_Fre","12","11","5","8","5","5","7"
"Q90_Fre","3","3","3","3",NA,NA,"3"
"Q10_Dur","325","337","365","349","317","316","334"
"Q25_Dur","281","308","352","263","233","270","284"
"Q50_Dur","228","255","290","117","146","125","193"
"Q75_Dur","117","154","226","50","26","20","98"
"Q90_Dur","18","30","165","14",NA,NA,"56"
"Q10_Mag_Lng_Evt","11665.3","13811","71645.9","10705.8","4266.3","4490.1","19430"
"Q25_Mag_Lng_Evt","7956.3","6089","71645.9","6770","4266.3","4490.1","16869"
"Q50_Mag_Lng_Evt","7956.3","13811","71645.9","6770","4266.3","3820","18044"
"Q75_Mag_Lng_Evt","11665.3","4902","71645.9","6770","4266.3","4490.1","17289"
"Q90_Mag_Lng_Evt","10606.5","16399","71645.9","10705.8",NA,NA,"27339"
"Q10_Strt_Tim_Lng_Evt","1","1","1","46","1","1","8"
"Q25_Strt_Tim_Lng_Evt","100","95","1","46","40","70","58"
"Q50_Strt_Tim_Lng_Evt","119","1","1","83","41","103","58"
"Q75_Strt_Tim_Lng_Evt","1","155","1","104","85","203","91"
"Q90_Strt_Tim_Lng_Evt","1","351","1","157",NA,NA,"127"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","sum","win","spr","spr","sum","spr"
"Q90_Strt_Sea_Lng_Evt","win","win","win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","287","276","365","240","156","238","260"
"Q25_Dur_Lng_Evt","184","177","266","91","107","167","165"
"Q50_Dur_Lng_Evt","85","80","188","36","74","61","87"
"Q75_Dur_Lng_Evt","34","41","186","13","11","8","48"
"Q90_Dur_Lng_Evt","9","16","136","8",NA,NA,"42"
"Init_Mag","8558.46","4215.917","15045.572","2578.486","1436.67","1306.58","5523.614"
"Init_Tim","6","-3","0","-65","-16","-22","-16.667"
"Init_Dur","5","9","7","18","10","6","9.167"
"Wet_BFL_Mag_10","1314.08","1419.4","14645.78","1044.47","863.54","874.16","3360.238"
"Wet_BFL_Mag_50","2739.6","3222","46432.45","1924.6","1884.5","1566.6","9628.292"
"Wet_Tim","1","15","64","-50","-26","-33","-4.833"
"Wet_BFL_Dur","263","245","42","214","255","267","214.333"
"Peak_Mag_Ann","11665.3","16399","71645.9","14993.7","4266.3","4490.1","20576.717"
"Peak_Mag_Tim","24","366","105","35","94","207","138.5"
"Peak_Mag_95",NA,"13307","19657.9","14993.7",NA,NA,"15986.2"
"Peak_Mag_90","10606.5","13811","10259.3","10705.8",NA,NA,"11345.65"
"Peak_Mag_80","5038.3","4914","4217.1","5667.75","4067.8","3967.2","4645.358"
"Peak_Dur_95",NA,"12","103","2",NA,NA,"39"
"Peak_Dur_90","18","30","165","14",NA,NA,"56.75"
"Peak_Dur_80","81","117","211","40","12","7","78"
"Peak_Fre_95",NA,"4","3","1",NA,NA,"2.667"
"Peak_Fre_90","3","3","3","3",NA,NA,"3"
"Peak_Fre_80","9","12","5","6","4","4","6.667"
"Peak_Tim_95",NA,"212.5","29","34",NA,NA,"91.833"
"Peak_Tim_90","23","62","144","108",NA,NA,"84.25"
"Peak_Tim_80","161","122.5","200","115","152","260.5","168.5"
"Rec_Mag","3377.3","4038","71645.9","10705.8","4210.9","3522.8","16250.117"
"Rec_Tim","263","259","105","163","228","233","208.5"
"Rec_Dur","34","27","164","125","61","40","75.167"
"Rec_ROC","0.111","0.16","0.098","0.134","0.173","0.11","0.131"
"Dry_Mag_90","2475.5","15282.7","2552.24","961.72","1040.96","1852.64","4027.627"
"Dry_Mag_50","726.8","8226.9","1279","760.05","715","1021.15","2121.483"
"Dry_Mag_10","221.43","413.2","747.18","613.33","323.33","334.78","442.208"
"Dry_Tim","297","286","269","288","289","273","283.667"
"Dry_Dur","84","145","47","52","44","94","77.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","1.333","1",NA,NA,"1.111"
"No_Peaks_Max",NA,"1","1","1",NA,NA,"1"
"Frac_V_Cent_Avg",NA,"0.597","0.62","1",NA,NA,"0.739"
"Frac_V_Cent_Max",NA,"0.556","0.429","1",NA,NA,"0.662"
