"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2967.564","3435.377","11798.802","2302.796","1719.436","1669.119","3980.878"
"SD_Ann","2042.09","2764.409","15543.511","2818.542","1039.868","959.716","7508.228"
"CV_Ann","0.688","0.805","1.317","1.224","0.605","0.575","1.886"
"Q10_Mag","537.56","860.5","1578.36","810.62","575.2","514.55","736.55"
"Q25_Mag","1388.5","1687.5","2346.6","991.8","863.6","962.025","1180.85"
"Q50_Mag","2650","2933","5440.5","1409.7","1406.5","1466.5","2099.95"
"Q75_Mag","4279.1","4192.5","12372.9","2213.6","2465.6","2282.875","3679.85"
"Q90_Mag","5182.06","5576","38614.66","3975.48","3171.62","3143.1","7344.85"
"Q10_Tim","73","57","1","62","71","73","56"
"Q25_Tim","67","106","93","107","115","125","102"
"Q50_Tim","119","106","90","109","109","141","112"
"Q75_Tim","119","154","41","110","114","211","124"
"Q90_Tim","75","215","13","61",NA,NA,"90"
"Q10_Fre","4","3","1","3","5","5","3"
"Q25_Fre","4","3","2","10","12","9","6"
"Q50_Fre","8","6","8","9","7","9","7"
"Q75_Fre","8","14","6","5","6","6","7"
"Q90_Fre","3","3","3","2",NA,NA,"2"
"Q10_Dur","315","340","365","355","307","315","332"
"Q25_Dur","305","314","361","242","219","244","280"
"Q50_Dur","233","256","291","109","133","111","188"
"Q75_Dur","133","142","218","52","20","12","96"
"Q90_Dur","12","30","166","14",NA,NA,"55"
"Q10_Mag_Lng_Evt","8800.1","13857","71645.9","19239.2","5059.3","4640.8","20540"
"Q25_Mag_Lng_Evt","8800.1","6463","71645.9","19239.2","5059.3","4358.4","19260"
"Q50_Mag_Lng_Evt","8800.1","6463","71645.9","6786","5059.3","4358.4","17185"
"Q75_Mag_Lng_Evt","6073","4991","71645.9","19239.2","5059.3","4640.8","18608"
"Q90_Mag_Lng_Evt","10606.5","16399","71645.9","19239.2",NA,NA,"29472"
"Q10_Strt_Tim_Lng_Evt","48","1","1","1","1","1","8"
"Q25_Strt_Tim_Lng_Evt","48","95","1","26","40","71","46"
"Q50_Strt_Tim_Lng_Evt","101","99","1","84","50","104","73"
"Q75_Strt_Tim_Lng_Evt","120","155","1","32","85","206","99"
"Q90_Strt_Tim_Lng_Evt","5","351","1","33",NA,NA,"97"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","win","spr","sum","spr"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","237","278","365","285","234","238","272"
"Q25_Dur_Lng_Evt","236","177","191","111","108","112","155"
"Q50_Dur_Lng_Evt","105","125","188","35","65","62","96"
"Q75_Dur_Lng_Evt","46","30","178","15","11","4","47"
"Q90_Dur_Lng_Evt","4","16","154","11",NA,NA,"46"
"Init_Mag","8558.46","4227.453","15046.078","4106.242","1436.67","1306.58","5780.247"
"Init_Tim","6","-3","0","-94","-16","-22","-21.5"
"Init_Dur","5","9","7","10","10","6","7.833"
"Wet_BFL_Mag_10","1507.64","1693.2","14645.78","1153.7","1204.55","884.46","3514.888"
"Wet_BFL_Mag_50","3311.9","3466","46432.45","2346.4","2402.45","1622.1","9930.217"
"Wet_Tim","1","15","64","23","33","-33","17.167"
"Wet_BFL_Dur","263","245","42","141","196","267","192.333"
"Peak_Mag_Ann","11665.3","16399","71645.9","19239.2","5059.3","4640.8","21441.583"
"Peak_Mag_Tim","24","366","105","39","94","207","139.167"
"Peak_Mag_95",NA,"13330","16276.2","19239.2",NA,NA,"16281.8"
"Peak_Mag_90","10606.5","13857","10003.5","15267.2",NA,NA,"12433.55"
"Peak_Mag_80","5829.4","4991","5603.9","6786","4650.1","4499.6","5393.333"
"Peak_Dur_95",NA,"10","91","9",NA,NA,"36.667"
"Peak_Dur_90","12","30","166","14",NA,NA,"55.5"
"Peak_Dur_80","112","98","206","35","9","3","77.167"
"Peak_Fre_95",NA,"4","5","1",NA,NA,"3.333"
"Peak_Fre_90","3","3","3","2",NA,NA,"2.75"
"Peak_Fre_80","9","15","3","5","2","2","6"
"Peak_Tim_95",NA,"212.5","29","34",NA,NA,"91.833"
"Peak_Tim_90","23","62","161","97.5",NA,NA,"85.875"
"Peak_Tim_80","135","149","201","126","157.5","168","156.083"
"Rec_Mag","3377.3","4294","71645.9","11295.2","4240.9","3522.8","16396.017"
"Rec_Tim","263","259","105","163","228","233","208.5"
"Rec_Dur","34","28","137","113","63","40","69.167"
"Rec_ROC","0.111","0.137","0.09","0.129","0.142","0.108","0.12"
"Dry_Mag_90","2475.5","15557.89","3242.12","1334.3","1064.91","1958.15","4272.145"
"Dry_Mag_50","1158.15","8642.5","1900.5","949.4","734.45","1021.15","2401.025"
"Dry_Mag_10","234.48","567","1287.04","738.46","333.06","334.78","582.47"
"Dry_Tim","297","287","242","276","291","273","277.667"
"Dry_Dur","84","144","147","123","42","94","105.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","1.4","1",NA,NA,"1.133"
"No_Peaks_Max",NA,"1","1","1",NA,NA,"1"
"Frac_V_Cent_Avg",NA,"0.685","0.536","0.556",NA,NA,"0.592"
"Frac_V_Cent_Max",NA,"0.571","0.441","0.556",NA,NA,"0.523"
