"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2639.636","3265.406","10644.475","3523.059","1510.495","1468.066","3840.51"
"SD_Ann","2098.72","2769.565","13985.088","2377.344","969.696","830.797","6751.427"
"CV_Ann","0.795","0.848","1.314","0.675","0.642","0.566","1.758"
"Q10_Mag","293.02","541.75","986.38","909.7","446.34","470.7","525.08"
"Q25_Mag","919","1428.75","2108.2","1391.8","713.5","953.1","1084.3"
"Q50_Mag","2449.6","2866.5","5030.1","3391.3","1294.6","1318.9","2129"
"Q75_Mag","3711.1","4079.775","11728","4788.8","2241.1","1865.525","3935.575"
"Q90_Mag","5196.44","5357.55","36950.84","6722.56","2924.26","2526.55","7124.39"
"Q10_Tim","42","134","115","37","130","83","90"
"Q25_Tim","114","122","114","79","143","133","117"
"Q50_Tim","136","135","83","44","107","183","114"
"Q75_Tim","119","159","59","132","125","291","147"
"Q90_Tim","53","224","21","138",NA,NA,"109"
"Q10_Fre","6","6","4","2","6","4","4"
"Q25_Fre","8","5","6","5","13","11","8"
"Q50_Fre","9","11","7","2","8","14","8"
"Q75_Fre","13","13","6","8","2","3","7"
"Q90_Fre","3","3","4","7",NA,NA,"4"
"Q10_Dur","327","336","347","360","328","333","338"
"Q25_Dur","273","303","330","314","222","262","284"
"Q50_Dur","211","233","279","237","116","77","192"
"Q75_Dur","82","109","203","161","4","5","94"
"Q90_Dur","17","30","155","30",NA,NA,"58"
"Q10_Mag_Lng_Evt","11471.4","6194.9","58736","12137.2","4150.9","4171","16143"
"Q25_Mag_Lng_Evt","8467.8","6194.9","58736","12137.2","4150.9","4171","15642"
"Q50_Mag_Lng_Evt","5269.8","6194.9","58736","12137.2","4150.9","4171","15109"
"Q75_Mag_Lng_Evt","11471.4","6194.9","58736","8292.8","4150.9","4171","15502"
"Q90_Mag_Lng_Evt","11179.6","17141","58736","8597.4",NA,NA,"23913"
"Q10_Strt_Tim_Lng_Evt","1","94","1","41","1","1","23"
"Q25_Strt_Tim_Lng_Evt","99","94","1","42","39","121","66"
"Q50_Strt_Tim_Lng_Evt","225","147","1","45","49","192","109"
"Q75_Strt_Tim_Lng_Evt","1","200","1","171","91","206","111"
"Q90_Strt_Tim_Lng_Evt","1","350","1","101",NA,NA,"113"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","win","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","win","sum","win","sum","spr","sum","sum"
"Q90_Strt_Sea_Lng_Evt","win","win","win","spr",NA,NA,"win"
"Q10_Dur_Lng_Evt","286","131","188","325","145","239","219"
"Q25_Dur_Lng_Evt","117","130","187","240","77","115","144"
"Q50_Dur_Lng_Evt","52","77","187","226","63","20","104"
"Q75_Dur_Lng_Evt","32","19","136","79","3","2","45"
"Q90_Dur_Lng_Evt","8","17","135","8",NA,NA,"42"
"Init_Mag","6487.4","4770.427","2957.481","3037.552","1463.574","1502.706","3369.857"
"Init_Tim","1","-4","-43","-115","-69","-23","-42.167"
"Init_Dur","7","9","7","8","12","12","9.167"
"Wet_BFL_Mag_10","990.7","939.16","8124.7","905.38","590.72","818.44","2061.517"
"Wet_BFL_Mag_50","3084.3","3287.6","14574.15","3220.5","1423","1482.8","4512.058"
"Wet_Tim","1","50","-8","-123","-80","-33","-32.167"
"Wet_BFL_Dur","269","209","112","339","308","263","250"
"Peak_Mag_Ann","11471.4","17141","58736","15570.2","4150.9","5500","18761.583"
"Peak_Mag_Tim","23","365","103","34","93","312","155"
"Peak_Mag_95","11471.4","13000","20460.1","13853.7",NA,NA,"14696.3"
"Peak_Mag_90","11179.6","13000","9660.9","8292.8",NA,NA,"10533.325"
"Peak_Mag_80","5493.6","5108.3","6072.8","6267.9",NA,"5500","5688.52"
"Peak_Dur_95","1","11","102","4",NA,NA,"29.5"
"Peak_Dur_90","17","30","155","30",NA,NA,"58"
"Peak_Dur_80","62","78","198","124",NA,"1","92.6"
"Peak_Fre_95","1","3","3","2",NA,NA,"2.25"
"Peak_Fre_90","3","3","4","7",NA,NA,"4.25"
"Peak_Fre_80","8","11","5","12",NA,"1","7.4"
"Peak_Tim_95","23","351","28","97",NA,NA,"124.75"
"Peak_Tim_90","22","62","152","125",NA,NA,"90.25"
"Peak_Tim_80","165","127","200","109.5",NA,"312","182.7"
"Rec_Mag","3651.8","4639.2","58736","8292.8","4087.6","3800.3","13867.95"
"Rec_Tim","269","258","103","215","227","229","216.833"
"Rec_Dur","28","24","139","70","64","42","61.167"
"Rec_ROC","0.139","0.141","0.1","0.087","0.239","0.108","0.136"
"Dry_Mag_90","4894.32","8145.64","479","515.2","1176.59","1815.4","2837.692"
"Dry_Mag_50","1086.7","1208","479","515.2","812.25","1013.15","852.383"
"Dry_Mag_10","209.8","454.6","479","515.2","200","288.75","357.892"
"Dry_Tim","297","282","242","285","291","271","278"
"Dry_Dur","119","77","1","1","42","96","56"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.667","1",NA,NA,"1.167"
"No_Peaks_Max","1","1","2","1",NA,NA,"1.25"
"Frac_V_Cent_Avg","1","0.639","0.595","0.833",NA,NA,"0.767"
"Frac_V_Cent_Max","1","0.5","0.412","0.667",NA,NA,"0.645"
