"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","3032.572","3486.719","11003.975","3947.564","1659.768","1582.296","4117.37"
"SD_Ann","2200.753","2764.789","13851.842","3021.155","1051.377","900.818","6785.104"
"CV_Ann","0.726","0.793","1.259","0.765","0.633","0.569","1.648"
"Q10_Mag","351.7","650.5","1294.26","1065.5","500.84","481.1","604.35"
"Q25_Mag","1247","1598.25","2385.2","1542.4","807.1","989.275","1246.85"
"Q50_Mag","2736","3136","5453.6","3614.1","1406.8","1395.75","2402.65"
"Q75_Mag","4633.7","4434.75","11799.3","5123.6","2477.1","2124.675","4402"
"Q90_Mag","5435.44","5649.5","36950.84","7147.1","3117.92","2863.6","7580.9"
"Q10_Tim","39","134","108","32","131","119","93"
"Q25_Tim","125","127","115","52","126","103","107"
"Q50_Tim","132","119","83","85","100","160","113"
"Q75_Tim","127","160","38","132","91","312","143"
"Q90_Tim","59","224","42","99",NA,NA,"106"
"Q10_Fre","4","5","3","3","7","5","4"
"Q25_Fre","8","4","4","3","12","8","6"
"Q50_Fre","9","8","8","2","9","10","7"
"Q75_Fre","10","15","6","8","1","1","6"
"Q90_Fre","3","3","4","5",NA,NA,"3"
"Q10_Dur","323","334","351","355","327","327","336"
"Q25_Dur","287","313","340","319","218","240","286"
"Q50_Dur","210","237","280","242","111","83","193"
"Q75_Dur","113","99","212","150","4","1","96"
"Q90_Dur","15","30","154","29",NA,NA,"57"
"Q10_Mag_Lng_Evt","11471.4","6569","58736","18857","4943.9","4334.8","17485"
"Q25_Mag_Lng_Evt","8743.4","6569","58736","18857","4943.9","4334.8","17030"
"Q50_Mag_Lng_Evt","6758.9","6569","58736","18857","4943.9","3869.2","16622"
"Q75_Mag_Lng_Evt","11471.4","6569","58736","8342.8","4943.9","5500","15927"
"Q90_Mag_Lng_Evt","11179.6","17141","58736","18857",NA,NA,"26478"
"Q10_Strt_Tim_Lng_Evt","1","94","1","1","1","68","27"
"Q25_Strt_Tim_Lng_Evt","99","94","1","8","39","71","52"
"Q50_Strt_Tim_Lng_Evt","100","98","1","25","50","141","69"
"Q75_Strt_Tim_Lng_Evt","1","200","1","172","91","312","129"
"Q90_Strt_Tim_Lng_Evt","1","350","56","32",NA,NA,"109"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","win","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","sum","win","sum","spr","aut","sum"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","286","130","188","322","145","170","206"
"Q25_Dur_Lng_Evt","117","130","187","274","105","165","163"
"Q50_Dur_Lng_Evt","68","125","187","142","63","22","101"
"Q75_Dur_Lng_Evt","31","19","176","76","4","1","51"
"Q90_Dur_Lng_Evt","7","17","97","12",NA,NA,"33"
"Init_Mag","6487.4","4781.964","3156.743","3194.232","1651.594","1502.706","3462.44"
"Init_Tim","1","-4","-43","-115","-69","-23","-42.167"
"Init_Dur","7","9","21","8","12","12","11.5"
"Wet_BFL_Mag_10","1210.38","1304","8067.5","2754.74","657.33","883.62","2479.595"
"Wet_BFL_Mag_50","3497.1","3545","18115.5","4784.8","1682.05","1587.5","5535.325"
"Wet_Tim","1","50","23","21","-80","-33","-3"
"Wet_BFL_Dur","269","209","81","195","308","263","220.833"
"Peak_Mag_Ann","11471.4","17141","58736","18857","4943.9","5500","19441.55"
"Peak_Mag_Tim","23","365","103","38","93","312","155.667"
"Peak_Mag_95",NA,"13046","16084.3","15791.8",NA,NA,"14974.033"
"Peak_Mag_90","11179.6","13046","15398.3","8613.4",NA,NA,"12059.325"
"Peak_Mag_80","6041.7","5446.5","5992.5","8342.8","4943.9","5500","6044.567"
"Peak_Dur_95",NA,"9","91","10",NA,NA,"36.667"
"Peak_Dur_90","15","30","154","29",NA,NA,"57"
"Peak_Dur_80","93","73","199","107","2","1","79.167"
"Peak_Fre_95",NA,"3","5","2",NA,NA,"3.333"
"Peak_Fre_90","3","3","4","5",NA,NA,"3.75"
"Peak_Fre_80","11","12","5","7","1","1","6.167"
"Peak_Tim_95",NA,"352","28","97.5",NA,NA,"159.167"
"Peak_Tim_90","22","62","109.5","161",NA,NA,"88.625"
"Peak_Tim_80","150","122.5","216","124","92","312","169.417"
"Rec_Mag","3652","4895","58736","8342.8","4117.6","3800.3","13923.95"
"Rec_Tim","269","258","103","215","227","229","216.833"
"Rec_Dur","27","26","139","70","65","42","61.5"
"Rec_ROC","0.143","0.133","0.088","0.081","0.213","0.103","0.127"
"Dry_Mag_90","4894.16","13966.35","3728.6","659.7","1178.9","1847.15","4379.143"
"Dry_Mag_50","1464.35","1926.5","1962.6","659.7","824.5","1017.3","1309.158"
"Dry_Mag_10","226.17","528","1021.42","659.7","200","288.75","487.34"
"Dry_Tim","296","284","242","285","292","271","278.333"
"Dry_Dur","120","106","145","1","41","96","84.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","1.8","1",NA,NA,"1.267"
"No_Peaks_Max",NA,"1","2","1",NA,NA,"1.333"
"Frac_V_Cent_Avg",NA,"0.579","0.544","0.778",NA,NA,"0.634"
"Frac_V_Cent_Max",NA,"0.571","0.424","0.556",NA,NA,"0.517"
