"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","6661.545","6176.544","12739.351","6407.508","4423.005","3114.903","6585.371"
"SD_Ann","3758.898","3582.56","11726.698","3797.344","2809.665","1612.244","6372.264"
"CV_Ann","0.564","0.58","0.921","0.593","0.635","0.518","0.968"
"Q10_Mag","1292.12","1818","2792.26","1777.72","1210.28","1382.75","1450.23"
"Q25_Mag","3566.9","2835.5","5293.1","3123.9","1515.8","1573.275","2561.425"
"Q50_Mag","6639.3","5949","9833.1","6293.9","4240.7","2838.45","5316.3"
"Q75_Mag","9368.3","9137.5","14207.1","9321.5","6715.9","4508.1","8924.175"
"Q90_Mag","11751.22","10733","30641.4","11779.38","8672.48","5409.65","11886.39"
"Q10_Tim","28","45","2","68","116","53","51"
"Q25_Tim","21","135","6","55","95","83","65"
"Q50_Tim","70","140","81","110","98","169","111"
"Q75_Tim","130","182","107","148","157",NA,"144"
"Q90_Tim","151","326","114","161",NA,NA,"188"
"Q10_Fre","5","3","2","4","8","6","4"
"Q25_Fre","4","7","2","5","4","7","4"
"Q50_Fre","5","7","7","4","6","6","5"
"Q75_Fre","6","12","6","6","6",NA,"7"
"Q90_Fre","7","4","9","6",NA,NA,"6"
"Q10_Dur","322","357","358","348","287","325","332"
"Q25_Dur","301","290","336","301","232","204","277"
"Q50_Dur","242","208","273","207","148","49","187"
"Q75_Dur","122","106","220","106","32",NA,"117"
"Q90_Dur","36","17","148","38",NA,NA,"59"
"Q10_Mag_Lng_Evt","14719.8","13950","65024.9","14928.9","9841.3","6871.3","20889"
"Q25_Mag_Lng_Evt","14719.8","12184","65024.9","14928.9","9841.3","6871.3","20595"
"Q50_Mag_Lng_Evt","14719.8","12184","65024.9","14408.3","9344.7","6871.3","20425"
"Q75_Mag_Lng_Evt","13046.3","11880","65024.9","14928.9","9841.3",NA,"22944"
"Q90_Mag_Lng_Evt","14719.8","15955","65024.9","13792.8",NA,NA,"27373"
"Q10_Strt_Tim_Lng_Evt","1","1","1","38","144","13","33"
"Q25_Strt_Tim_Lng_Evt","1","132","1","38","144","64","63"
"Q50_Strt_Tim_Lng_Evt","74","133","1","60","33","181","80"
"Q75_Strt_Tim_Lng_Evt","95","150","53","166","176",NA,"128"
"Q90_Strt_Tim_Lng_Evt","169","359","64","190",NA,NA,"195"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","spr","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","spr","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","win","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","spr","win","sum","sum",NA,"spr"
"Q90_Strt_Sea_Lng_Evt","sum","win","spr","sum",NA,NA,"sum"
"Q10_Dur_Lng_Evt","296","309","357","277","134","280","275"
"Q25_Dur_Lng_Evt","283","140","331","270","126","180","221"
"Q50_Dur_Lng_Evt","197","126","132","101","76","25","109"
"Q75_Dur_Lng_Evt","59","31","78","77","18",NA,"52"
"Q90_Dur_Lng_Evt","23","8","67","22",NA,NA,"30"
"Init_Mag","14329.6","5264.704","14553.763","2823.275","3146.536","2931.61","7174.915"
"Init_Tim","1","-9","-18","-17","-38","16","-10.833"
"Init_Dur","7","9","10","9","12","8","9.167"
"Wet_BFL_Mag_10","4264.8","2632","9668.4","3515.25","2483.28","2964.65","4254.73"
"Wet_BFL_Mag_50","8413.15","7372","34242","7626","6302.2","4621.55","11429.483"
"Wet_Tim","1","8","59","13","23","54","26.333"
"Wet_BFL_Dur","222","237","36","196","178","146","169.167"
"Peak_Mag_Ann","14719.8","16262","65024.9","19250.6","9841.3","6871.3","21994.983"
"Peak_Mag_Tim","175","346","94","29","186","199","171.5"
"Peak_Mag_95","14559.4","16108.5","17147.9","14928.9",NA,NA,"15686.175"
"Peak_Mag_90","13641.2","14952.5","13567","14100.55",NA,NA,"14065.312"
"Peak_Mag_80","12744.7","11834","14743","13143.4","9828.1",NA,"12458.64"
"Peak_Dur_95","11","6","96","5",NA,NA,"29.5"
"Peak_Dur_90","36","17","148","38",NA,NA,"59.75"
"Peak_Dur_80","85","82","200","85","6",NA,"91.6"
"Peak_Fre_95","3","2","4","3",NA,NA,"3"
"Peak_Fre_90","7","4","9","6",NA,NA,"6.5"
"Peak_Fre_80","11","11","7","7","3",NA,"7.8"
"Peak_Tim_95","18","353","104.5","157",NA,NA,"158.125"
"Peak_Tim_90","104","272.5","138","139",NA,NA,"163.375"
"Peak_Tim_80","132","158","58","148","192",NA,"137.6"
"Rec_Mag","13641.2","10068","65024.9","13792.8","9828.1","6871.3","19871.05"
"Rec_Tim","222","244","94","208","200","199","194.5"
"Rec_Dur","111","65","244","108","107","97","122"
"Rec_ROC","0.081","0.059","0.059","0.038","0.05","0.062","0.058"
"Dry_Mag_90","4884.8","13778.86","2667.8","3123.52","2225.84","4040.2","5120.17"
"Dry_Mag_50","1380","7930.4","1796.8","1778.2","1498.7","1491.7","2645.967"
"Dry_Mag_10","766.9","1483.8","1404.4","1332.94","1106.48","1143.8","1206.387"
"Dry_Tim","333","309","338","316","307","296","316.5"
"Dry_Dur","41","117","41","73","113","71","76"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","2.75","1",NA,NA,"1.438"
"No_Peaks_Max","1","1","7","1",NA,NA,"2.5"
"Frac_V_Cent_Avg","0.917","0.8","0.612","0.833",NA,NA,"0.79"
"Frac_V_Cent_Max","1","0.6","0.316","1",NA,NA,"0.729"
