"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2149.74","2582.534","10508.738","1498.98","1252.408","1400.049","3230.943"
"SD_Ann","1706.76","2158.672","13614.264","1417.217","738.822","618.702","6583.429"
"CV_Ann","0.794","0.836","1.296","0.945","0.59","0.442","2.038"
"Q10_Mag","461.62","600.95","1173.26","505.02","358.56","548.55","516.2"
"Q25_Mag","1019.3","1309.225","1940.6","714.8","640.5","997.7","890.95"
"Q50_Mag","1881.8","2057.5","4122","1034.6","1128.3","1381.5","1604.45"
"Q75_Mag","2612.8","3147.6","12703.7","1669.6","1834.7","1808.3","2587.025"
"Q90_Mag","4078.06","4448.95","32944.24","3231.36","2341.16","2232.25","5500.84"
"Q10_Tim","31","54","1","131","79","65","60"
"Q25_Tim","2","120","109","83","105","92","85"
"Q50_Tim","124","135","104","108","90","132","115"
"Q75_Tim","111","131","56","117","140","129","113"
"Q90_Tim","15","184","25","91",NA,NA,"78"
"Q10_Fre","3","2","1","6","6","4","3"
"Q25_Fre","2","4","3","12","10","5","6"
"Q50_Fre","7","7","6","11","6","13","8"
"Q75_Fre","9","9","5","6","6","4","6"
"Q90_Fre","2","4","3","3",NA,NA,"3"
"Q10_Dur","328","339","365","332","323","339","337"
"Q25_Dur","289","302","343","215","236","305","281"
"Q50_Dur","219","257","309","118","126","147","196"
"Q75_Dur","106","157","237","46","26","10","97"
"Q90_Dur","21","28","168","9",NA,NA,"56"
"Q10_Mag_Lng_Evt","10058.1","11398.6","56971.3","11188.1","3264.8","2887.6","15961"
"Q25_Mag_Lng_Evt","10058.1","5625","56971.3","11188.1","3264.8","2866","14995"
"Q50_Mag_Lng_Evt","3837.2","5625","56971.3","2262.4","3264.8","2866","12471"
"Q75_Mag_Lng_Evt","10058.1","3515.4","56971.3","5976.4","2708.3","2887.6","13686"
"Q90_Mag_Lng_Evt","7612.7","11398.6","56971.3","11188.1",NA,NA,"21792"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","100","1","1","23","50","29"
"Q50_Strt_Tim_Lng_Evt","106","148","1","65","43","103","77"
"Q75_Strt_Tim_Lng_Evt","5","155","1","107","221","27","86"
"Q90_Strt_Tim_Lng_Evt","8","66","1","37",NA,NA,"28"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","sum","win","spr","sum","win","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","298","280","365","141","239","268","265"
"Q25_Dur_Lng_Evt","288","130","191","140","135","204","181"
"Q50_Dur_Lng_Evt","69","81","189","31","99","67","89"
"Q75_Dur_Lng_Evt","39","46","186","16","6","3","49"
"Q90_Dur_Lng_Evt","13","14","142","4",NA,NA,"43"
"Init_Mag","7229.934","2560.366","12597.694","2720.499","997.519","932.527","4506.423"
"Init_Tim","12","4","10","-60","-48","-94","-29.333"
"Init_Dur","12","9","13","23","14","6","12.833"
"Wet_BFL_Mag_10","1217.4","1343.96","11253.16","977.28","636.5","975.09","2733.898"
"Wet_BFL_Mag_50","2178.85","2798.3","33021.2","1700.2","1231.75","1576.05","7084.392"
"Wet_Tim","1","17","67","-76","-61","-27","-13.167"
"Wet_BFL_Dur","262","205","45","243","296","262","218.833"
"Peak_Mag_Ann","10058.1","11398.6","56971.3","11188.1","3264.8","2887.6","15961.417"
"Peak_Mag_Tim","30","70","111","40","98","27","62.667"
"Peak_Mag_95",NA,NA,"16941.8",NA,NA,NA,"16941.8"
"Peak_Mag_90","8835.4","7743.1","8729.1","5976.4",NA,NA,"7821"
"Peak_Mag_80","3768.15","3515.4","3955.9","5812.35","3117.3",NA,"4033.82"
"Peak_Dur_95",NA,NA,"112",NA,NA,NA,"112"
"Peak_Dur_90","21","28","168","9",NA,NA,"56.5"
"Peak_Dur_80","74","133","219","42","2",NA,"94"
"Peak_Fre_95",NA,NA,"3",NA,NA,NA,"3"
"Peak_Fre_90","2","4","3","3",NA,NA,"3"
"Peak_Fre_80","8","11","5","4","2",NA,"6"
"Peak_Tim_95",NA,NA,"33",NA,NA,NA,"33"
"Peak_Tim_90","17","143.5","149","112",NA,NA,"105.375"
"Peak_Tim_80","158.5","156","239","118","166",NA,"167.5"
"Rec_Mag","2853.2","5625","56971.3","5648.3","2969.8","2344.1","12735.283"
"Rec_Tim","262","221","111","166","234","234","204.667"
"Rec_Dur","53","71","138","100","13","45","70"
"Rec_ROC","0.085","0.142","0.072","0.094","0.307","0.135","0.139"
"Dry_Mag_90","1780.59","14455.1","2004.7","850.56","985.44","1502.49","3596.48"
"Dry_Mag_50","603.6","8032.55","1299.4","606","568.4","967.5","2012.908"
"Dry_Mag_10","294.26","298.17","513.5","399.68","234.53","206.66","324.467"
"Dry_Tim","315","292","249","266","247","279","274.667"
"Dry_Dur","68","142","41","39","92","88","78.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.2",NA,NA,NA,"1.2"
"No_Peaks_Max",NA,NA,"3",NA,NA,NA,"3"
"Frac_V_Cent_Avg",NA,NA,"0.571",NA,NA,NA,"0.571"
"Frac_V_Cent_Max",NA,NA,"0.408",NA,NA,NA,"0.408"
