"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","5118.137","5082.218","15102.854","4001.692","2849.457","2125.418","5711.371"
"SD_Ann","2721.019","3332.211","16782.208","2261.978","1578.91","944.909","8372.617"
"CV_Ann","0.532","0.656","1.111","0.565","0.554","0.445","1.466"
"Q10_Mag","1224.7","1690.7","2690.44","1611.42","1165.82","1014.05","1353.13"
"Q25_Mag","2905.3","2335.65","4603.4","1999.1","1609.6","1394.45","1898"
"Q50_Mag","5207.9","4890.8","9393.2","3860.6","2140.4","1938.8","3837"
"Q75_Mag","6715.4","6338.45","14266.6","5395","4397.1","2724.5","6049.875"
"Q90_Mag","8387.36","7861.2","49308.68","6940.22","5059.16","3458.4","9874.77"
"Q10_Tim","21","45","1","67","103","116","58"
"Q25_Tim","13","45","1","67","111","141","62"
"Q50_Tim","75","138","37","119","98","218","114"
"Q75_Tim","124","165","18","149","108",NA,"112"
"Q90_Tim","85","227","77","74",NA,NA,"115"
"Q10_Fre","5","3","1","4","5","9","4"
"Q25_Fre","3","5","1","5","9","8","5"
"Q50_Fre","4","7","3","8","6","6","5"
"Q75_Fre","9","14","2","8","3",NA,"7"
"Q90_Fre","5","3","4","2",NA,NA,"3"
"Q10_Dur","322","358","365","341","312","293","331"
"Q25_Dur","304","311","365","293","213","200","281"
"Q50_Dur","266","234","300","189","129","20","189"
"Q75_Dur","147","115","255","57","4",NA,"115"
"Q90_Dur","20","31","183","6",NA,NA,"60"
"Q10_Mag_Lng_Evt","14467.9","15757.4","72396.2","11923.2","6332.8","5373.2","21041"
"Q25_Mag_Lng_Evt","14467.9","15757.4","72396.2","11923.2","6332.8","4751.7","20938"
"Q50_Mag_Lng_Evt","11376","8216","72396.2","9195.4","6332.8","5373.2","18814"
"Q75_Mag_Lng_Evt","10295.3","7822.4","72396.2","8819.6","6239.6",NA,"21114"
"Q90_Mag_Lng_Evt","14467.9","21652.8","72396.2","15839.1",NA,NA,"31089"
"Q10_Strt_Tim_Lng_Evt","1","1","1","45","1","69","19"
"Q25_Strt_Tim_Lng_Evt","1","1","1","45","34","95","29"
"Q50_Strt_Tim_Lng_Evt","81","137","1","171","39","201","105"
"Q75_Strt_Tim_Lng_Evt","100","198","1","97","85",NA,"96"
"Q90_Strt_Tim_Lng_Evt","1","349","56","31",NA,NA,"109"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","sum","win","sum","spr"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","spr","spr",NA,"spr"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","303","309","365","271","144","166","259"
"Q25_Dur_Lng_Evt","294","269","365","237","103","69","222"
"Q50_Dur_Lng_Evt","195","85","264","83","74","8","118"
"Q75_Dur_Lng_Evt","32","19","237","13","2",NA,"60"
"Q90_Dur_Lng_Evt","7","18","79","4",NA,NA,"27"
"Init_Mag","9647.7","5653.404","3413.052","3093.489","4670.259","1817.838","4715.957"
"Init_Tim","1","-4","-44","-85","41","-23","-19"
"Init_Dur","6","10","10","7","13","14","10"
"Wet_BFL_Mag_10","3718.5","3150.25","9273.32","2113.53","1689.76","1385.72","3555.18"
"Wet_BFL_Mag_50","6091.55","5563.65","22559.7","4068.95","4300.7","2267.2","7475.292"
"Wet_Tim","1","49","23","-92","29","-35","-4.167"
"Wet_BFL_Dur","230","206","80","308","188","268","213.333"
"Peak_Mag_Ann","14467.9","21652.8","72396.2","15839.1","6556.2","5373.2","22714.233"
"Peak_Mag_Tim","5","363","102","33","168","206","146.167"
"Peak_Mag_95","14408.85","15258.35","18117.25","15839.1",NA,NA,"15905.888"
"Peak_Mag_90","11376","15757.4","21545.2","13881.15",NA,NA,"15639.938"
"Peak_Mag_80","8385","8216","10851.25","9007.5",NA,NA,"9114.938"
"Peak_Dur_95","3","11","94","2",NA,NA,"27.5"
"Peak_Dur_90","20","31","183","6",NA,NA,"60"
"Peak_Dur_80","92","75","241","47",NA,NA,"113.75"
"Peak_Fre_95","2","4","6","1",NA,NA,"3.25"
"Peak_Fre_90","5","3","4","2",NA,NA,"3.5"
"Peak_Fre_80","14","9","4","6",NA,NA,"8.25"
"Peak_Tim_95","13.5","210","47.5","32",NA,NA,"75.75"
"Peak_Tim_90","108","61","99","96",NA,NA,"91"
"Peak_Tim_80","127.5","164","219.5","140",NA,NA,"162.75"
"Rec_Mag","8434.6","6301.2","72396.2","9195.4","5289","3966.1","17597.083"
"Rec_Tim","230","254","102","215","216","232","208.167"
"Rec_Dur","81","25","171","107","74","36","82.333"
"Rec_ROC","0.095","0.092","0.059","0.063","0.134","0.114","0.093"
"Dry_Mag_90","6527.26","16803","1718.5","1913.06","1639.4","2490.76","5181.997"
"Dry_Mag_50","2096.85","2248.7","1718.5","1643.5","1195.8","1394.2","1716.258"
"Dry_Mag_10","993.27","1406.3","1718.5","1199.52","669.7","892.12","1146.568"
"Dry_Tim","311","279","273","322","290","268","290.5"
"Dry_Dur","104","111","1","73","41","99","71.5"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.667","1",NA,NA,"1.167"
"No_Peaks_Max","1","1","2","1",NA,NA,"1.25"
"Frac_V_Cent_Avg","0.75","0.792","0.591","1",NA,NA,"0.783"
"Frac_V_Cent_Max","1","0.5","0.357","1",NA,NA,"0.714"
