"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","5521.23","5375.524","15478.017","4431.523","3004.773","2245.795","6007.471"
"SD_Ann","2920.287","3352.804","16647.568","2964.185","1678.077","1061.085","8412.765"
"CV_Ann","0.529","0.624","1.076","0.669","0.558","0.472","1.4"
"Q10_Mag","1507.64","1795.1","3054.52","1722.24","1189.44","1014.65","1450.3"
"Q25_Mag","3011.8","2481.1","5281.6","2249.9","1622.7","1397.05","2009.05"
"Q50_Mag","5356.1","5363.7","9912.6","4029.8","2430.8","1984.9","4123.9"
"Q75_Mag","7635.8","6714.8","15499.1","5598.3","4600.3","3000.275","6443.8"
"Q90_Mag","9331.18","8194.95","49308.68","7507.96","5289.46","3757.65","10396.9"
"Q10_Tim","36","1","1","30","102","105","45"
"Q25_Tim","15","55","1","35","107","126","56"
"Q50_Tim","76","139","27","119","96","204","110"
"Q75_Tim","103","161","47","129","91",NA,"106"
"Q90_Tim","98","227","55","54",NA,NA,"108"
"Q10_Fre","5","1","1","3","5","8","3"
"Q25_Fre","4","5","1","5","7","8","5"
"Q50_Fre","4","7","5","7","7","7","6"
"Q75_Fre","7","12","4","6","2",NA,"6"
"Q90_Fre","5","3","4","2",NA,NA,"3"
"Q10_Dur","336","366","365","345","312","265","331"
"Q25_Dur","299","309","365","294","212","193","278"
"Q50_Dur","262","233","306","185","126","22","189"
"Q75_Dur","145","114","243","62","12",NA,"115"
"Q90_Dur","20","31","182","12",NA,NA,"61"
"Q10_Mag_Lng_Evt","14467.9","21652.8","72396.2","20278.4","7154","5523.9","23578"
"Q25_Mag_Lng_Evt","14467.9","15803.4","72396.2","20278.4","7154","5523.9","22603"
"Q50_Mag_Lng_Evt","12042.2","8458.2","72396.2","9245.4","7154","5523.9","19136"
"Q75_Mag_Lng_Evt","12042.2","8458.2","72396.2","20278.4","7154",NA,"24065"
"Q90_Mag_Lng_Evt","14467.9","21652.8","72396.2","20278.4",NA,NA,"32198"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","70","12"
"Q25_Strt_Tim_Lng_Evt","1","16","1","7","34","96","25"
"Q50_Strt_Tim_Lng_Evt","81","137","1","171","39","202","105"
"Q75_Strt_Tim_Lng_Evt","99","190","1","31","84",NA,"81"
"Q90_Strt_Tim_Lng_Evt","1","349","56","32",NA,NA,"109"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","sum","win","sum","spr"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","win","spr",NA,"spr"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","301","366","365","315","145","165","276"
"Q25_Dur_Lng_Evt","287","260","365","266","109","120","234"
"Q50_Dur_Lng_Evt","194","85","280","80","74","7","120"
"Q75_Dur_Lng_Evt","103","26","187","14","11",NA,"68"
"Q90_Dur_Lng_Evt","6","18","120","10",NA,NA,"38"
"Init_Mag","9647.7","5922.864","3711.253","5073.779","4670.259","1817.838","5140.616"
"Init_Tim","1","-4","-44","-42","41","-23","-11.833"
"Init_Dur","6","10","12","13","13","14","11.333"
"Wet_BFL_Mag_10","4056.32","3172.72","9574.25","2991.35","2061.9","1385.72","3873.71"
"Wet_BFL_Mag_50","6724.25","5881","23123.55","5245.15","4498","2347.5","7969.908"
"Wet_Tim","1","13","23","20","30","-35","8.667"
"Wet_BFL_Dur","230","242","80","196","187","268","200.5"
"Peak_Mag_Ann","14467.9","21652.8","72396.2","20278.4","7154","5523.9","23578.867"
"Peak_Mag_Tim","5","363","102","37","93","206","134.333"
"Peak_Mag_95",NA,"15803.4","20197.2","20278.4",NA,NA,"18759.667"
"Peak_Mag_90","12042.2","15803.4","20501.45","16395.5",NA,NA,"16185.638"
"Peak_Mag_80","9604.8","8458.2","12510.8","9040.5",NA,NA,"9903.575"
"Peak_Dur_95",NA,"7","95","8",NA,NA,"36.667"
"Peak_Dur_90","20","31","182","12",NA,NA,"61.25"
"Peak_Dur_80","107","70","234","40",NA,NA,"112.75"
"Peak_Fre_95",NA,"3","5","1",NA,NA,"3"
"Peak_Fre_90","5","3","4","2",NA,NA,"3.5"
"Peak_Fre_80","10","9","3","6",NA,NA,"7"
"Peak_Tim_95",NA,"351","28","33",NA,NA,"137.333"
"Peak_Tim_90","108","61","127.5","96.5",NA,NA,"98.25"
"Peak_Tim_80","112.5","117","195","142.5",NA,NA,"141.75"
"Rec_Mag","8434.6","6633.2","72396.2","9245.4","5480.9","3966.1","17692.733"
"Rec_Tim","230","254","102","215","216","232","208.167"
"Rec_Dur","79","27","209","106","75","36","88.667"
"Rec_ROC","0.095","0.079","0.056","0.063","0.105","0.113","0.085"
"Dry_Mag_90","3772.46","16933.1","4420.3","1912.72","1648.97","2501.74","5198.215"
"Dry_Mag_50","1623.45","2284.1","2462.3","1634.8","1200.05","1396.4","1766.85"
"Dry_Mag_10","1070.91","1583.06","2039.18","1220.64","687.53","892.12","1248.907"
"Dry_Tim","309","281","311","321","291","268","296.833"
"Dry_Dur","70","109","75","75","40","99","78"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","2","1",NA,NA,"1.333"
"No_Peaks_Max",NA,"1","3","1",NA,NA,"1.667"
"Frac_V_Cent_Avg",NA,"0.833","0.484","0.625",NA,NA,"0.647"
"Frac_V_Cent_Max",NA,"0.5","0.326","0.625",NA,NA,"0.484"
