"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1348.287","2016.721","4506.706","1155.367","817.904","1183.965","1837.941"
"SD_Ann","831.675","1424.045","3942.848","1072.219","466.908","440.422","2202.086"
"CV_Ann","0.617","0.706","0.875","0.928","0.571","0.372","1.198"
"Q10_Mag","372.7","517","369.2","235.9","299.34","370.95","325.11"
"Q25_Mag","686.7","1175.25","691","320","392.4","962.1","553.525"
"Q50_Mag","1349.8","1824.5","2563.7","688.6","664.6","1315.85","1273.85"
"Q75_Mag","1687.4","2345.75","9203.5","1513","1188","1485.05","1781.15"
"Q90_Mag","2118.64","3331.5","9688.56","3139.32","1552.98","1609.15","3619.57"
"Q10_Tim","79","51","56","102","106","60","75"
"Q25_Tim","69","81","94","33","94","47","69"
"Q50_Tim","79","128","49","74","111","87","88"
"Q75_Tim","85","138","52","99","151","37","93"
"Q90_Tim","29","161","19","115",NA,NA,"81"
"Q10_Fre","2","2","3","6","4","3","3"
"Q25_Fre","8","3","8","6","8","2","5"
"Q50_Fre","5","6","6","5","8","6","6"
"Q75_Fre","8","11","5","6","3","2","5"
"Q90_Fre","1","4","3","3",NA,NA,"2"
"Q10_Dur","357","352","349","276","317","339","331"
"Q25_Dur","293","328","303","202","229","317","278"
"Q50_Dur","209","272","236","140","72","207","189"
"Q75_Dur","76","195","209","65","6","8","93"
"Q90_Dur","7","29","170","14",NA,NA,"55"
"Q10_Mag_Lng_Evt","5596.2","7646","10266.6","4718.4","2362.7","2408.2","5499"
"Q25_Mag_Lng_Evt","5596.2","7646","10266.6","4718.4","2362.7","2408.2","5499"
"Q50_Mag_Lng_Evt","2229.5","7646","10266.6","3626.5","2362.7","1697.8","4638"
"Q75_Mag_Lng_Evt","5596.2","7646","10266.6","3626.5","2362.7","2408.2","5317"
"Q90_Mag_Lng_Evt","5596.2","7646","10266.6","4718.4",NA,NA,"7056"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","114","1","1","38","53","104","51"
"Q75_Strt_Tim_Lng_Evt","10","23","1","39","100","30","33"
"Q90_Strt_Tim_Lng_Evt","29","68","1","114",NA,NA,"53"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","win","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","spr","win","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","spr",NA,NA,"spr"
"Q10_Dur_Lng_Evt","248","295","286","174","184","274","243"
"Q25_Dur_Lng_Evt","218","234","190","174","153","271","206"
"Q50_Dur_Lng_Evt","98","93","188","59","51","141","105"
"Q75_Dur_Lng_Evt","39","66","154","24","3","7","48"
"Q90_Dur_Lng_Evt","7","16","151","7",NA,NA,"45"
"Init_Mag","3126.812","1361.176","2630.336","1502.685","539.807","684.783","1640.933"
"Init_Tim","15","-90","-32","-57","-101","-35","-50"
"Init_Dur","13","13","33","16","19","8","17"
"Wet_BFL_Mag_10","1241.01","1670.5","1936.8","901.27","339.26","933.44","1170.38"
"Wet_BFL_Mag_50","1638.1","2786","9198.7","1475.2","812.9","1386.8","2882.95"
"Wet_Tim","4","18","-20","-9","-35","-43","-14.167"
"Wet_BFL_Dur","158","56","185","180","273","283","189.167"
"Peak_Mag_Ann","5596.2","7646","10266.6","4718.4","2362.7","2408.2","5499.683"
"Peak_Mag_Tim","33","73","124","116","101","32","79.833"
"Peak_Mag_95",NA,NA,"9904.75",NA,NA,NA,"9904.75"
"Peak_Mag_90","5596.2","5457","6512.9","4379.2",NA,NA,"5486.325"
"Peak_Mag_80","2174.85","2757","6512.9","4002.85","2362.7","2408.2","3369.75"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","7","29","170","14",NA,NA,"55"
"Peak_Dur_80","49","134","203","60","2","5","75.5"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1","4","3","3",NA,NA,"2.75"
"Peak_Fre_80","4","11","3","4","1","1","4"
"Peak_Tim_95",NA,NA,"47.5",NA,NA,NA,"47.5"
"Peak_Tim_90","29","146.5","164","114",NA,NA,"113.375"
"Peak_Tim_80","133","158","164","121.5","100","31","117.917"
"Rec_Mag","1866","7646","6512.9","4379.2","1821.2","1697.8","3987.183"
"Rec_Tim","161","73","164","170","237","239","174"
"Rec_Dur","91","226","128","71","53","42","101.833"
"Rec_ROC","0.04","0.051","0.103","0.083","0.053","0.037","0.061"
"Dry_Mag_90","1418.3","2426","1269.08","412.47","364.44","1128.05","1169.723"
"Dry_Mag_50","655.2","733.5","443.5","306.45","317.2","456.15","485.333"
"Dry_Mag_10","331.69","268.5","288.36","218.14","221.26","267.45","265.9"
"Dry_Tim","252","299","292","241","290","281","275.833"
"Dry_Dur","132","48","65","90","33","86","75.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.667",NA,NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.524",NA,NA,NA,"0.524"
"Frac_V_Cent_Max",NA,NA,"0.519",NA,NA,NA,"0.519"
