"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1348.287","2022.186","4983.962","1419.941","828.068","1193.531","1965.669"
"SD_Ann","831.675","1420.43","3903.123","1794.208","464.615","446.29","2352.089"
"CV_Ann","0.617","0.702","0.783","1.264","0.561","0.374","1.197"
"Q10_Mag","372.7","536.5","467.12","248.28","324.8","370.95","335.43"
"Q25_Mag","686.7","1191","807.7","322.9","419.2","962.1","581.725"
"Q50_Mag","1349.8","1830","5059.5","688.6","683.4","1320.7","1315.85"
"Q75_Mag","1687.4","2345.75","9247.4","1532.7","1192.9","1496.425","1842.25"
"Q90_Mag","2118.64","3331.5","9738.34","3386.56","1561.08","1626","5198.29"
"Q10_Tim","83","51","53","100","106","60","75"
"Q25_Tim","67","80","98","30","88","48","68"
"Q50_Tim","78","128","64","81","109","88","91"
"Q75_Tim","75","137","45","96","135","30","86"
"Q90_Tim","31","166","8","41",NA,NA,"61"
"Q10_Fre","3","2","2","6","4","3","3"
"Q25_Fre","7","3","7","5","8","2","5"
"Q50_Fre","5","6","6","6","7","7","6"
"Q75_Fre","7","11","5","4","3","1","5"
"Q90_Fre","1","2","2","1",NA,NA,"1"
"Q10_Dur","348","352","359","274","318","339","331"
"Q25_Dur","290","326","317","200","223","316","278"
"Q50_Dur","207","272","253","143","70","196","190"
"Q75_Dur","67","187","232","64","5","7","93"
"Q90_Dur","3","21","179","17",NA,NA,"55"
"Q10_Mag_Lng_Evt","5596.2","7646","10266.6","9086.9","2392.7","2408.2","6232"
"Q25_Mag_Lng_Evt","5596.2","7646","10266.6","9086.9","2392.7","2408.2","6232"
"Q50_Mag_Lng_Evt","2229.5","7646","10266.6","4734.4","2392.7","1706.8","4829"
"Q75_Mag_Lng_Evt","5596.2","7646","10266.6","9086.9","2392.7","2408.2","6232"
"Q90_Mag_Lng_Evt","5596.2","7646","10266.6","9086.9",NA,NA,"8148"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","114","1","1","102","53","104","62"
"Q75_Strt_Tim_Lng_Evt","10","24","1","39","100","30","34"
"Q90_Strt_Tim_Lng_Evt","31","69","1","41",NA,NA,"35"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","spr","win","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","248","295","297","174","184","274","245"
"Q25_Dur_Lng_Evt","218","234","190","174","153","270","206"
"Q50_Dur_Lng_Evt","98","93","188","42","51","140","102"
"Q75_Dur_Lng_Evt","38","65","188","24","3","7","54"
"Q90_Dur_Lng_Evt","3","14","172","17",NA,NA,"51"
"Init_Mag","3126.812","1361.176","2630.345","1502.686","539.807","684.783","1640.935"
"Init_Tim","15","-90","-32","-57","-101","-35","-50"
"Init_Dur","13","13","33","9","15","8","15.167"
"Wet_BFL_Mag_10","1241.01","1670.5","5603.2","1067.44","368.22","933.44","1813.968"
"Wet_BFL_Mag_50","1638.1","2786","9198.7","1626.55","945.2","1410.2","2934.125"
"Wet_Tim","4","18","-20","33","-21","-43","-4.833"
"Wet_BFL_Dur","158","56","145","138","259","283","173.167"
"Peak_Mag_Ann","5596.2","7646","10266.6","9086.9","2392.7","2408.2","6232.767"
"Peak_Mag_Tim","33","73","124","50","101","32","68.833"
"Peak_Mag_95",NA,NA,"9904.75","9086.9",NA,NA,"9495.825"
"Peak_Mag_90","5596.2","7303.5","8321.3","9086.9",NA,NA,"7576.975"
"Peak_Mag_80","2245.35","2838.5","3660","4556.8","2392.7","2408.2","3016.925"
"Peak_Dur_95",NA,NA,"105","5",NA,NA,"55"
"Peak_Dur_90","3","21","179","17",NA,NA,"55"
"Peak_Dur_80","37","119","221","62","2","4","74.167"
"Peak_Fre_95",NA,NA,"2","1",NA,NA,"1.5"
"Peak_Fre_90","1","2","2","1",NA,NA,"1.5"
"Peak_Fre_80","4","10","4","4","1","1","4"
"Peak_Tim_95",NA,NA,"52","47",NA,NA,"49.5"
"Peak_Tim_90","31","214.5","89.5","41",NA,NA,"94"
"Peak_Tim_80","96","163","213","120.5","100","31","120.583"
"Rec_Mag","1866","7646","10266.6","4379.2","1851.2","1697.8","4617.8"
"Rec_Tim","161","73","124","170","237","239","167.333"
"Rec_Dur","91","226","175","70","53","42","109.5"
"Rec_ROC","0.04","0.051","0.034","0.074","0.053","0.037","0.048"
"Dry_Mag_90","1418.3","2426","1513.08","493.88","364.44","1128.05","1223.958"
"Dry_Mag_50","655.2","753.5","819.15","320","317.2","456.15","553.533"
"Dry_Mag_10","331.69","286.5","348.87","227.78","221.26","267.45","280.592"
"Dry_Tim","252","299","299","240","290","281","276.833"
"Dry_Dur","132","48","100","105","33","86","84"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.667","1",NA,NA,"1.333"
"No_Peaks_Max",NA,NA,"2","1",NA,NA,"1.5"
"Frac_V_Cent_Avg",NA,NA,"0.538","0.6",NA,NA,"0.569"
"Frac_V_Cent_Max",NA,NA,"0.517","0.6",NA,NA,"0.558"
