"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","6886.546","6323.571","15227.982","6440.998","4380.969","3371.183","7103.148"
"SD_Ann","3873.459","3864.485","15650.842","3661.25","2727.468","1723.697","8023.297"
"CV_Ann","0.562","0.611","1.028","0.568","0.623","0.511","1.13"
"Q10_Mag","1437.08","1608","3129.78","1965.9","1295.14","1456.35","1513"
"Q25_Mag","3850","2580.25","5457.9","3176.9","1582","1715.5","2584.2"
"Q50_Mag","6710.9","6249","11010.8","6557.1","4105.2","3094.1","5647.45"
"Q75_Mag","9543.6","9052","15522.6","9037.8","6619.5","4901.25","8926.1"
"Q90_Mag","12112.14","10504","37406.06","11464.96","8369.06","5747.05","12486.28"
"Q10_Tim","27","48","1","1","50","60","30"
"Q25_Tim","15","123","7","52","95","85","62"
"Q50_Tim","69","148","16","110","98","188","104"
"Q75_Tim","135","176","98","152","174",NA,"146"
"Q90_Tim","141","277","103","166",NA,NA,"171"
"Q10_Fre","5","5","1","1","7","6","4"
"Q25_Fre","3","7","2","5","5","8","5"
"Q50_Fre","4","8","6","5","5","7","5"
"Q75_Fre","8","8","5","6","4",NA,"6"
"Q90_Fre","7","4","9","5",NA,NA,"6"
"Q10_Dur","323","334","365","365","281","326","332"
"Q25_Dur","303","274","339","303","226","213","276"
"Q50_Dur","253","216","275","210","143","45","190"
"Q75_Dur","121","106","235","103","20",NA,"117"
"Q90_Dur","39","19","163","18",NA,NA,"59"
"Q10_Mag_Lng_Evt","16028.5","16861","88492.5","19290.3","9883.2","7180.3","26289"
"Q25_Mag_Lng_Evt","16028.5","11819","88492.5","16346.1","9883.2","7180.3","24958"
"Q50_Mag_Lng_Evt","15065.6","11819","88492.5","16346.1","9041.1","7180.3","24657"
"Q75_Mag_Lng_Evt","13219","11696","88492.5","15353","9883.2",NA,"27728"
"Q90_Mag_Lng_Evt","15065.6","21765","88492.5","13933.1",NA,NA,"34814"
"Q10_Strt_Tim_Lng_Evt","1","14","1","1","30","1","8"
"Q25_Strt_Tim_Lng_Evt","1","133","1","36","146","65","63"
"Q50_Strt_Tim_Lng_Evt","75","134","1","62","35","183","81"
"Q75_Strt_Tim_Lng_Evt","97","152","53","168","177",NA,"129"
"Q90_Strt_Tim_Lng_Evt","170","359","65","205",NA,NA,"199"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","spr","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","win","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","spr","win","sum","sum",NA,"spr"
"Q90_Strt_Sea_Lng_Evt","sum","win","spr","sum",NA,NA,"sum"
"Q10_Dur_Lng_Evt","298","294","365","365","250","263","305"
"Q25_Dur_Lng_Evt","291","134","333","274","120","181","222"
"Q50_Dur_Lng_Evt","197","85","261","101","75","25","124"
"Q75_Dur_Lng_Evt","46","30","81","76","12",NA,"49"
"Q90_Dur_Lng_Evt","25","8","67","8",NA,NA,"27"
"Init_Mag","8653.2","6498.163","15044.275","10636.022","2961.278","3553.811","7891.125"
"Init_Tim","1","-8","-17","29","-37","18","-2.333"
"Init_Dur","9","9","10","10","10","8","9.333"
"Wet_BFL_Mag_10","4723.9","2934.6","11228.43","3850.5","2555.58","1798.94","4515.325"
"Wet_BFL_Mag_50","8653.2","7519.5","44246.6","7700.2","6122.1","4367.5","13101.517"
"Wet_Tim","1","9","60","15","25","10","20"
"Wet_BFL_Dur","223","244","38","196","169","219","181.5"
"Peak_Mag_Ann","16028.5","21765","88492.5","19290.3","9883.2","7833.7","27215.533"
"Peak_Mag_Tim","2","361","97","30","187","310","164.5"
"Peak_Mag_95","15738.05","16915","17823.4","17818.2",NA,NA,"17073.662"
"Peak_Mag_90","13598.2","16888","15983.9","15353",NA,NA,"15455.775"
"Peak_Mag_80","13058.3","11876","17823.4","14229.45","9858.4",NA,"13369.11"
"Peak_Dur_95","3","13","102","3",NA,NA,"30.25"
"Peak_Dur_90","39","19","163","18",NA,NA,"59.75"
"Peak_Dur_80","90","67","217","72","5",NA,"90.2"
"Peak_Fre_95","2","3","6","2",NA,NA,"3.25"
"Peak_Fre_90","7","4","9","5",NA,NA,"6.25"
"Peak_Fre_80","11","10","6","6","3",NA,"7.2"
"Peak_Tim_95","10.5","347","105.5","93.5",NA,NA,"139.125"
"Peak_Tim_90","105","207","139","158",NA,NA,"152.25"
"Peak_Tim_80","133","165","96","139.5","193",NA,"145.3"
"Rec_Mag","13598.2","8830","88492.5","13933.1","9858.4","5556","23378.033"
"Rec_Tim","223","252","97","210","193","228","200.5"
"Rec_Dur","113","56","242","108","114","37","111.667"
"Rec_ROC","0.072","0.069","0.058","0.032","0.059","0.099","0.065"
"Dry_Mag_90","5626.78","17386.72","2681.04","2952.32","1796","3663.93","5684.465"
"Dry_Mag_50","1422","9516.8","2028.9","1856.6","1391.5","1548.8","2960.767"
"Dry_Mag_10","668.58","1184.4","1628.41","1439.16","1134.02","1256.15","1218.453"
"Dry_Tim","336","308","339","318","307","265","312.167"
"Dry_Dur","39","119","42","73","69","102","74"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1.333","1.7","1",NA,NA,"1.258"
"No_Peaks_Max","1","2","4","1",NA,NA,"2"
"Frac_V_Cent_Avg","1","0.533","0.644","1",NA,NA,"0.794"
"Frac_V_Cent_Max","1","0.6","0.282","1",NA,NA,"0.721"
