"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","7291.43","6615.224","15598.504","6904.401","4537.079","3492.962","7404.454"
"SD_Ann","4150.506","3914.723","15515.422","4155.421","2819.487","1848.297","8088.589"
"CV_Ann","0.569","0.592","0.995","0.602","0.621","0.529","1.092"
"Q10_Mag","1472.26","1729.5","3168.92","2065.24","1311.32","1460.2","1539.89"
"Q25_Mag","3886.4","2762.5","6565.7","3306.7","1607.1","1715.5","2704.875"
"Q50_Mag","6775.9","6666.5","11262.5","6653.8","4325.4","3151.3","5999.35"
"Q75_Mag","10517.5","9293","16057.2","9232.6","6778","5284.55","9354.85"
"Q90_Mag","13106.08","11074.5","37406.06","11668.6","8657.46","6140","13154.99"
"Q10_Tim","28","47","1","1","50","67","32"
"Q25_Tim","17","98","5","35","93","85","55"
"Q50_Tim","71","144","13","108","98","181","102"
"Q75_Tim","112","178","77","144","155",NA,"133"
"Q90_Tim","142","271","90","110",NA,NA,"153"
"Q10_Fre","5","5","1","1","7","6","4"
"Q25_Fre","4","5","2","4","4","7","4"
"Q50_Fre","6","7","5","3","6","7","5"
"Q75_Fre","6","9","4","8","5",NA,"6"
"Q90_Fre","7","5","8","5",NA,NA,"6"
"Q10_Dur","325","338","365","365","280","317","331"
"Q25_Dur","299","280","337","303","230","210","276"
"Q50_Dur","240","221","280","213","141","51","191"
"Q75_Dur","125","100","235","92","21",NA,"114"
"Q90_Dur","36","18","158","22",NA,NA,"58"
"Q10_Mag_Lng_Evt","16028.5","16907","88492.5","22989","9975.2","7192.9","26930"
"Q25_Mag_Lng_Evt","16028.5","12389","88492.5","22989","9975.2","7192.9","26177"
"Q50_Mag_Lng_Evt","16022.4","12389","88492.5","16346.1","9623","7189","25010"
"Q75_Mag_Lng_Evt","16022.4","11770","88492.5","15403","9975.2",NA,"28332"
"Q90_Mag_Lng_Evt","16022.4","21765","88492.5","22989",NA,NA,"37317"
"Q10_Strt_Tim_Lng_Evt","1","14","1","1","30","14","10"
"Q25_Strt_Tim_Lng_Evt","1","87","1","20","146","65","53"
"Q50_Strt_Tim_Lng_Evt","75","134","1","62","36","184","82"
"Q75_Strt_Tim_Lng_Evt","97","159","53","168","178",NA,"131"
"Q90_Strt_Tim_Lng_Evt","170","360","65","29",NA,NA,"156"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","spr","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","win","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","sum","sum",NA,"sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","spr","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","298","298","365","365","251","250","304"
"Q25_Dur_Lng_Evt","285","186","333","289","119","181","232"
"Q50_Dur_Lng_Evt","197","85","269","100","74","24","124"
"Q75_Dur_Lng_Evt","100","22","132","51","11",NA,"63"
"Q90_Dur_Lng_Evt","24","7","86","10",NA,NA,"31"
"Init_Mag","8653.2","6744.844","17529.536","21345.459","2961.616","3553.811","10131.411"
"Init_Tim","1","-8","-4","33","-37","18","0.5"
"Init_Dur","9","8","6","19","10","8","10"
"Wet_BFL_Mag_10","4953.2","3271.3","11228.43","4397.05","2911.92","1798.94","4760.14"
"Wet_BFL_Mag_50","9551.5","7952","44246.6","7969.9","6350","4492","13427"
"Wet_Tim","1","9","60","15","25","10","20"
"Wet_BFL_Dur","223","244","38","196","169","219","181.5"
"Peak_Mag_Ann","16028.5","21765","88492.5","22989","9975.2","7833.7","27847.317"
"Peak_Mag_Tim","2","361","97","34","187","310","165.167"
"Peak_Mag_95",NA,"16915","17823.4","19667.55",NA,NA,"18135.317"
"Peak_Mag_90","14154.5","16907","15905","15403",NA,NA,"15592.375"
"Peak_Mag_80","14154.5","12389","18291.4","15403",NA,NA,"15059.475"
"Peak_Dur_95",NA,"10","97","11",NA,NA,"39.333"
"Peak_Dur_90","36","18","158","22",NA,NA,"58.5"
"Peak_Dur_80","113","56","219","76",NA,NA,"116"
"Peak_Fre_95",NA,"3","6","2",NA,NA,"3.667"
"Peak_Fre_90","7","5","8","5",NA,NA,"6.25"
"Peak_Fre_80","7","11","5","5",NA,NA,"7"
"Peak_Tim_95",NA,"348","105.5","93.5",NA,NA,"182.333"
"Peak_Tim_90","105","68","163.5","158",NA,NA,"123.625"
"Peak_Tim_80","104","145","53","121",NA,NA,"105.75"
"Rec_Mag","13598.2","9161","88492.5","13983.1","9938.4","5556","23454.867"
"Rec_Tim","223","252","97","210","193","228","200.5"
"Rec_Dur","111","78","242","108","95","37","111.833"
"Rec_ROC","0.06","0.064","0.051","0.029","0.057","0.098","0.06"
"Dry_Mag_90","5738.2","18524.12","2681.04","2952.32","1910.92","3679.92","5914.42"
"Dry_Mag_50","1422","11052.2","2060.15","1856.6","1398.5","1563.85","3225.55"
"Dry_Mag_10","1214.8","1581.4","1684.68","1439.16","1133.51","1256.15","1384.95"
"Dry_Tim","334","330","339","318","288","265","312.333"
"Dry_Dur","41","97","42","73","88","102","73.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1.333","1.778","1",NA,NA,"1.37"
"No_Peaks_Max",NA,"2","4","1",NA,NA,"2.333"
"Frac_V_Cent_Avg",NA,"0.667","0.624","0.75",NA,NA,"0.68"
"Frac_V_Cent_Max",NA,"0.5","0.293","0.5",NA,NA,"0.431"
