"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","544.398","496.09","1468.038","517.473","343.783","1872.554","874.006"
"SD_Ann","156.367","188.772","1730.365","194.172","143.479","927.172","997.817"
"CV_Ann","0.287","0.381","1.179","0.375","0.417","0.495","1.142"
"Q10_Mag","324","344","443.7","321.16","202.88","793.2","286.07"
"Q25_Mag","396.8","399.25","641.1","367.7","231.8","1166.95","383.125"
"Q50_Mag","582.8","466","846.6","507.3","295.3","1705.4","546.6"
"Q75_Mag","654.7","527","1061.8","608","459.7","2454.3","853.95"
"Q90_Mag","710.96","670","4565.94","760.62","561.24","3221.15","1878.41"
"Q10_Tim","9","18","45","49","83","1","33"
"Q25_Tim","87","126","43","125","51","1","72"
"Q50_Tim","103","178","83","154","53","72","107"
"Q75_Tim","139","274","114","83",NA,"125","147"
"Q90_Tim",NA,NA,"65",NA,NA,"144","104"
"Q10_Fre","2","2","2","3","5","1","2"
"Q25_Fre","5","10","2","6","7","1","5"
"Q50_Fre","4","11","4","8","4","2","5"
"Q75_Fre","3","4","10","3",NA,"6","5"
"Q90_Fre",NA,NA,"2",NA,NA,"9","5"
"Q10_Dur","359","358","360","347","192","366","330"
"Q25_Dur","296","309","352","256","112","366","281"
"Q50_Dur","218","72","287","142","44","360","187"
"Q75_Dur","10","18","187","30",NA,"327","114"
"Q90_Dur",NA,NA,"58",NA,NA,"176","117"
"Q10_Mag_Lng_Evt","948.3","1695","7712.7","1038.5","787.4","4865.4","2841"
"Q25_Mag_Lng_Evt","948.3","1695","7712.7","976.3","787.4","4865.4","2830"
"Q50_Mag_Lng_Evt","948.3","1695","7712.7","1038.5","787.4","4865.4","2841"
"Q75_Mag_Lng_Evt","948.3","1038","7712.7","1038.5",NA,"4865.4","3120"
"Q90_Mag_Lng_Evt",NA,NA,"7712.7",NA,NA,"4641.9","6177"
"Q10_Strt_Tim_Lng_Evt","1","18","1","54","21","1","16"
"Q25_Strt_Tim_Lng_Evt","99","162","1","153","28","1","74"
"Q50_Strt_Tim_Lng_Evt","100","346","1","71","38","1","92"
"Q75_Strt_Tim_Lng_Evt","191","349","59","83",NA,"69","150"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"68",NA,NA,"97","82"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","sum","win","spr","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","win","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","spr",NA,"spr","spr"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"spr",NA,NA,"spr","spr"
"Q10_Dur_Lng_Evt","351","349","310","307","113","366","299"
"Q25_Dur_Lng_Evt","210","205","306","168","95","366","225"
"Q50_Dur_Lng_Evt","199","21","153","48","30","267","119"
"Q75_Dur_Lng_Evt","7","7","79","25",NA,"172","58"
"Q90_Dur_Lng_Evt",NA,NA,"54",NA,NA,"68","61"
"Init_Mag","577.1","747.268","1127.185","820.3","758.081","1423.928","908.977"
"Init_Tim","1","-3","-4","33","47","9","13.833"
"Init_Dur","6","8","26","6","10","19","12.5"
"Wet_BFL_Mag_10","371.05","375.9","849.32","319.84","200.2","1144.84","543.525"
"Wet_BFL_Mag_50","552.95","542.5","4814.7","494.3","368.35","2114.85","1481.275"
"Wet_Tim","1","41","56","-34","-42","-5","2.833"
"Wet_BFL_Dur","196","60","47","294","104","238","156.5"
"Peak_Mag_Ann","948.3","1695","7712.7","1382.9","787.4","4865.4","2898.617"
"Peak_Mag_Tim","196","365","102","34","47","206","158.333"
"Peak_Mag_95",NA,NA,"7712.7",NA,NA,"3705.4","5709.05"
"Peak_Mag_90",NA,NA,"4980",NA,NA,"3705.4","4342.7"
"Peak_Mag_80",NA,"1103","1530.7","1210.7",NA,"2840.95","1671.338"
"Peak_Dur_95",NA,NA,"49",NA,NA,"68","58.5"
"Peak_Dur_90",NA,NA,"58",NA,NA,"176","117"
"Peak_Dur_80",NA,"10","122","7",NA,"319","114.5"
"Peak_Fre_95",NA,NA,"1",NA,NA,"9","5"
"Peak_Fre_90",NA,NA,"2",NA,NA,"9","5.5"
"Peak_Fre_80",NA,"3","5","2",NA,"6","4"
"Peak_Tim_95",NA,NA,"70",NA,NA,"156","113"
"Peak_Tim_90",NA,NA,"49.5",NA,NA,"170","109.75"
"Peak_Tim_80",NA,"350","28","65",NA,"157.5","150.125"
"Rec_Mag","948.3","701","7712.7","720.2","658.1","3705.4","2407.617"
"Rec_Tim","196","100","102","259","61","232","158.333"
"Rec_Dur","128","14","207","64","220","38","111.833"
"Rec_ROC","0.039","0.066","0.043","0.031","0.045","0.104","0.055"
"Dry_Mag_90","572.6","992.8","417.22","350.9","265.36","2018.06","769.49"
"Dry_Mag_50","341.4","482","364.4","350.9","231.75","1166.2","489.442"
"Dry_Mag_10","239.6","371","278.76","350.9","161.38","700.94","350.43"
"Dry_Tim","324","114","309","323","281","270","270.167"
"Dry_Dur","83","309","23","1","80","97","98.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.5",NA,NA,"1.231","1.365"
"No_Peaks_Max",NA,NA,"1",NA,NA,"3","2"
"Frac_V_Cent_Avg",NA,NA,"0.526",NA,NA,"0.584","0.555"
"Frac_V_Cent_Max",NA,NA,"0.462",NA,NA,"0.571","0.516"
