"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","550.115","556.686","1481.82","542.196","343.783","1986.784","910.561"
"SD_Ann","167.929","225.615","1725.854","232.17","143.479","1056.036","1035.711"
"CV_Ann","0.305","0.405","1.165","0.428","0.417","0.532","1.137"
"Q10_Mag","324","373.5","443.7","331.66","202.88","806.65","292.81"
"Q25_Mag","397.6","425.25","662.3","372.5","231.8","1169.475","394"
"Q50_Mag","582.8","493.5","850.6","518","295.3","1748.2","570.9"
"Q75_Mag","655","608","1061.8","618.1","459.7","2698.025","896.325"
"Q90_Mag","717.24","870","4565.94","848.6","561.24","3564.9","1894.81"
"Q10_Tim","9","18","44","47","81","1","33"
"Q25_Tim","90","121","43","120","49","1","70"
"Q50_Tim","119","118","5","142","46","72","83"
"Q75_Tim","262","142","111","74",NA,"125","142"
"Q90_Tim",NA,NA,"65",NA,NA,"145","104"
"Q10_Fre","2","2","2","2","5","1","2"
"Q25_Fre","6","6","2","5","6","1","4"
"Q50_Fre","5","6","2","7","3","2","4"
"Q75_Fre","3","5","10","3",NA,"6","5"
"Q90_Fre",NA,NA,"2",NA,NA,"9","5"
"Q10_Dur","359","357","356","356","188","366","330"
"Q25_Dur","288","329","348","251","110","366","282"
"Q50_Dur","208","106","296","134","34","359","189"
"Q75_Dur","12","33","166","33",NA,"324","113"
"Q90_Dur",NA,NA,"58",NA,NA,"175","116"
"Q10_Mag_Lng_Evt","948.3","1695","7712.7","1038.5","787.4","5115.7","2882"
"Q25_Mag_Lng_Evt","948.3","1695","7712.7","976.3","787.4","5115.7","2872"
"Q50_Mag_Lng_Evt","948.3","710","7712.7","1038.5","787.4","5115.7","2718"
"Q75_Mag_Lng_Evt","1134.2","1303","7712.7","1038.5",NA,"5115.7","3260"
"Q90_Mag_Lng_Evt",NA,NA,"7712.7",NA,NA,"5115.7","6414"
"Q10_Strt_Tim_Lng_Evt","1","18","1","54","21","1","16"
"Q25_Strt_Tim_Lng_Evt","99","164","1","154","28","1","74"
"Q50_Strt_Tim_Lng_Evt","118","97","1","72","39","1","54"
"Q75_Strt_Tim_Lng_Evt","360","27","62","86",NA,"69","120"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"68",NA,NA,"97","82"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","sum","win","sum","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","win","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr",NA,"spr","win"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"spr",NA,NA,"spr","spr"
"Q10_Dur_Lng_Evt","351","349","307","307","112","366","298"
"Q25_Dur_Lng_Evt","210","203","302","164","95","366","223"
"Q50_Dur_Lng_Evt","176","35","293","47","28","266","140"
"Q75_Dur_Lng_Evt","6","17","76","21",NA,"172","58"
"Q90_Dur_Lng_Evt",NA,NA,"54",NA,NA,"69","61"
"Init_Mag","577.1","1027.364","1195.583","1533.028","758.081","1423.928","1085.847"
"Init_Tim","1","-3","15","37","47","9","17.667"
"Init_Dur","6","8","3","16","10","19","10.333"
"Wet_BFL_Mag_10","371.05","323.8","863.6","327.64","200.2","1144.84","538.522"
"Wet_BFL_Mag_50","552.95","615","5047.4","565.5","368.35","2169.75","1553.158"
"Wet_Tim","1","-12","59","23","-42","-5","4"
"Wet_BFL_Dur","196","139","44","237","104","238","159.667"
"Peak_Mag_Ann","1134.2","1695","7712.7","1713","787.4","5115.7","3026.333"
"Peak_Mag_Tim","361","365","102","37","47","128","173.333"
"Peak_Mag_95",NA,NA,"7712.7",NA,NA,"4524.95","6118.825"
"Peak_Mag_90",NA,NA,"4980",NA,NA,"3705.4","4342.7"
"Peak_Mag_80","1134.2","1203","1401.65","1375.75",NA,"2840.95","1591.11"
"Peak_Dur_95",NA,NA,"48",NA,NA,"67","57.5"
"Peak_Dur_90",NA,NA,"58",NA,NA,"175","116.5"
"Peak_Dur_80","6","22","105","11",NA,"318","92.4"
"Peak_Fre_95",NA,NA,"1",NA,NA,"6","3.5"
"Peak_Fre_90",NA,NA,"2",NA,NA,"9","5.5"
"Peak_Fre_80","1","4","6","2",NA,"6","3.8"
"Peak_Tim_95",NA,NA,"70",NA,NA,"210.5","140.25"
"Peak_Tim_90",NA,NA,"49.5",NA,NA,"170","109.75"
"Peak_Tim_80","360","206.5","47.5","65.5",NA,"157.5","167.4"
"Rec_Mag","948.3","710","7712.7","720.2","658.1","3705.4","2409.117"
"Rec_Tim","196","126","102","259","61","232","162.667"
"Rec_Dur","128","20","207","64","220","38","112.833"
"Rec_ROC","0.039","0.076","0.041","0.031","0.045","0.103","0.056"
"Dry_Mag_90","347.34","1032.42","489.04","350.9","265.36","2022.38","751.24"
"Dry_Mag_50","322.05","493","406.65","350.9","231.75","1168.3","495.442"
"Dry_Mag_10","290.99","398.7","292.15","350.9","161.38","700.94","365.843"
"Dry_Tim","324","146","309","323","281","270","275.5"
"Dry_Dur","30","280","80","1","80","97","94.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.5",NA,NA,"2","1.75"
"No_Peaks_Max",NA,NA,"1",NA,NA,"3","2"
"Frac_V_Cent_Avg",NA,NA,"0.535",NA,NA,"0.637","0.586"
"Frac_V_Cent_Max",NA,NA,"0.48",NA,NA,"0.6","0.54"
