"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","21.836","82.592","1145.956","58.445","13.545","273.381","265.879"
"SD_Ann","53.868","225.305","3127.929","83.504","58.722","1142.242","1419.795"
"CV_Ann","2.467","2.728","2.73","1.429","4.335","4.178","5.34"
"Q10_Mag","0","0","16.3","0","0","0","0"
"Q25_Mag","0","0","51.8","0","0","0","0"
"Q50_Mag","0","4.3","230.7","21.1","0","0","0.8"
"Q75_Mag","9.2","92.4","632.2","78.5","0","8.175","84.225"
"Q90_Mag","74.66","194.65","2482.36","185.34","28.26","228.05","299.86"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","97","101","60","69","160","227","118"
"Q75_Tim","142","111","75","158","198","247","154"
"Q90_Tim","161","247","70","122","277","252","188"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","3","4","2","3","4","1","2"
"Q75_Fre","3","8","5","6","3","2","4"
"Q90_Fre","1","5","7","3","1","3","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","126","193","361","243","77","107","184"
"Q75_Dur","35","100","253","92","22","59","93"
"Q90_Dur","2","18","162","10","2","39","38"
"Q10_Mag_Lng_Evt","327.1","2096","21159.5","379","821.7","8252.8","5506"
"Q25_Mag_Lng_Evt","327.1","2096","21159.5","379","821.7","8252.8","5506"
"Q50_Mag_Lng_Evt","327.1","343.9","21159.5","379","142.1","8252.8","5100"
"Q75_Mag_Lng_Evt","327.1","343.9","21159.5","318.8","821.7","8252.8","5203"
"Q90_Mag_Lng_Evt","327.1","2096","21159.5","379","821.7","8252.8","5506"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","160","1","1","92","6","227","81"
"Q75_Strt_Tim_Lng_Evt","160","26","1","189","277","227","146"
"Q90_Strt_Tim_Lng_Evt","161","359","58","97","277","227","196"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","spr","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","sum","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","spr","aut","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","62","108","288","175","28","107","128"
"Q75_Dur_Lng_Evt","24","27","158","42","11","37","49"
"Q90_Dur_Lng_Evt","2","8","97","7","2","20","22"
"Init_Mag","31.02","104.957","940.19","35.667","95.597","167.409","229.14"
"Init_Tim","11","8","-22","-62","8","-90","-24.5"
"Init_Dur","8","11","10","12","21","10","12"
"Wet_BFL_Mag_10","0",NA,"2138.25","1.18","0","0","427.886"
"Wet_BFL_Mag_50","0",NA,"5398.3","44.35","0","0","1088.53"
"Wet_Tim","86","330","64","-45","0","213","108"
"Wet_BFL_Dur","85",NA,"26","260","9","21","80.2"
"Peak_Mag_Ann","327.1","2096","21159.5","379","821.7","8252.8","5506.017"
"Peak_Mag_Tim","162","363","89","99","277","233","203.833"
"Peak_Mag_95",NA,"1969.7","1755.8",NA,"821.7","1230.5","1444.425"
"Peak_Mag_90","327.1","859","439.5","318.8","821.7","1320.5","681.1"
"Peak_Mag_80","259.35","308.65","423.6","299.1","481.9","4696.65","1078.208"
"Peak_Dur_95",NA,"8","80",NA,"1","22","27.75"
"Peak_Dur_90","2","18","162","10","2","39","38.833"
"Peak_Dur_80","25","65","241","62","5","54","75.333"
"Peak_Fre_95",NA,"3","5",NA,"1","4","3.25"
"Peak_Fre_90","1","5","7","3","1","3","3.333"
"Peak_Fre_80","2","10","4","7","2","2","4.5"
"Peak_Tim_95",NA,"343","59",NA,"277","269.5","237.125"
"Peak_Tim_90","161","132","58","159","277","256","173.833"
"Peak_Tim_80","126.5","68","250.5","168","142.5","253.5","168.167"
"Rec_Mag","273.5","859","21159.5","299.1","142.1","8252.8","5164.333"
"Rec_Tim","170","132","89","214","8","233","141"
"Rec_Dur","57","118","193","57","199","107","121.833"
"Rec_ROC","0.248","0.331","0.123","0.183","0.271","0.185","0.224"
"Dry_Mag_90","135.5","611.2","29.58","0","0","0","129.38"
"Dry_Mag_50","0","0","4.7","0","0","0","0.783"
"Dry_Mag_10","0","0","0","0","0","0","0"
"Dry_Tim","227","250","282","271","207","340","262.833"
"Dry_Dur","469","181","39","95","372","27","197.167"
"Dry_NoFL_Days","297","91","6","95","335","27","141.833"
"No_Peaks_Avg",NA,"1","2.4",NA,"1","1.25","1.413"
"No_Peaks_Max",NA,"1","5",NA,"1","2","2.25"
"Frac_V_Cent_Avg",NA,"0.708","0.606",NA,"1","0.618","0.733"
"Frac_V_Cent_Max",NA,"0.5","0.818",NA,"1","0.471","0.697"
