"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","18.877","45.798","56.893","96.355","85.666","30.557","55.675"
"SD_Ann","15.839","41.953","108.719","82.964","45.612","17.891","67.927"
"CV_Ann","0.839","0.916","1.911","0.861","0.532","0.586","1.22"
"Q10_Mag","5","4","5","5","35","9.5","5"
"Q25_Mag","7","7","5","44","52","18","9"
"Q50_Mag","11.5","36","10","90","72","29","35"
"Q75_Mag","26","78","52","140","119","41","79"
"Q90_Mag","45","101","196","174.2","154.6","60","134"
"Q10_Tim","1","66","80","1","1","1","24"
"Q25_Tim","110","137","99","53","1","38","72"
"Q50_Tim","135","191","209","109","12","86","123"
"Q75_Tim",NA,"205","218","160","129","176","177"
"Q90_Tim",NA,"231","219","216","170",NA,"209"
"Q10_Fre","1","3","3","1","1","1","1"
"Q25_Fre","13","4","2","2","1","4","4"
"Q50_Fre","6","6","6","3","2","13","6"
"Q75_Fre",NA,"7","5","3","3","1","3"
"Q90_Fre",NA,"1","2","4","7",NA,"3"
"Q10_Dur","365","326","342","365","365","366","354"
"Q25_Dur","215","251","226","315","365","354","287"
"Q50_Dur","82","198","111","295","347","132","194"
"Q75_Dur",NA,"97","67","212","185","8","113"
"Q90_Dur",NA,"26","51","104","68",NA,"62"
"Q10_Mag_Lng_Evt","60","163","854","750","190","87","350"
"Q25_Mag_Lng_Evt","60","163","854","750","190","87","350"
"Q50_Mag_Lng_Evt","60","163","854","750","190","77","349"
"Q75_Mag_Lng_Evt",NA,"163","854","750","160","87","402"
"Q90_Mag_Lng_Evt",NA,"163","854","221","190",NA,"357"
"Q10_Strt_Tim_Lng_Evt","1","72","12","1","1","1","14"
"Q25_Strt_Tim_Lng_Evt","78","144","68","53","1","1","57"
"Q50_Strt_Tim_Lng_Evt","101","217","116","120","1","57","102"
"Q75_Strt_Tim_Lng_Evt",NA,"226","116","165","76","176","151"
"Q90_Strt_Tim_Lng_Evt",NA,"231","117","188","178",NA,"178"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","spr","win","win","win","spr"
"Q50_Strt_Sea_Lng_Evt","spr","sum","spr","spr","win","win","spr"
"Q75_Strt_Sea_Lng_Evt",NA,"sum","spr","sum","spr","sum","sum"
"Q90_Strt_Sea_Lng_Evt",NA,"sum","spr","sum","sum",NA,"sum"
"Q10_Dur_Lng_Evt","365","290","256","365","365","366","334"
"Q25_Dur_Lng_Evt","106","216","200","313","365","315","252"
"Q50_Dur_Lng_Evt","57","102","31","246","336","98","145"
"Q75_Dur_Lng_Evt",NA,"51","29","189","91","8","73"
"Q90_Dur_Lng_Evt",NA,"26","28","52","51",NA,"39"
"Init_Mag","52.99","16.275","23.879","394.453","500.244","75.608","177.242"
"Init_Tim","125","-84","-18","-12","-21","-2","-2"
"Init_Dur","16","4","5","30","15","18","14.667"
"Wet_BFL_Mag_10","5","8","9","5","50","20","16.167"
"Wet_BFL_Mag_50","26","54","222","79","86","39","84.333"
"Wet_Tim","1","94","110","-30","-31","-17","21.167"
"Wet_BFL_Dur","179","151","29","305","247","201","185.333"
"Peak_Mag_Ann","60","163","854","750","190","87","350.667"
"Peak_Mag_Tim","147","232","138","344","214","178","208.833"
"Peak_Mag_95",NA,NA,"676.95","216.5","190",NA,"361.15"
"Peak_Mag_90",NA,"163","676.95","196.5","151",NA,"296.862"
"Peak_Mag_80",NA,"101","499.9","162.5","160",NA,"230.85"
"Peak_Dur_95",NA,NA,"47","49","30",NA,"42"
"Peak_Dur_90",NA,"26","51","104","68",NA,"62.25"
"Peak_Dur_80",NA,"61","57","185","155",NA,"114.5"
"Peak_Fre_95",NA,NA,"2","4","1",NA,"2.333"
"Peak_Fre_90",NA,"1","2","4","7",NA,"3.5"
"Peak_Fre_80",NA,"7","3","4","3",NA,"4.25"
"Peak_Tim_95",NA,NA,"232","208.5","193",NA,"211.167"
"Peak_Tim_90",NA,"231","230","223.5","159",NA,"210.875"
"Peak_Tim_80",NA,"228","230","126.5","123",NA,"176.875"
"Rec_Mag","45","150","854","159","190","87","247.5"
"Rec_Tim","179","244","138","274","215","183","205.5"
"Rec_Dur","98","99","133","54","130","113","104.5"
"Rec_ROC","0.444","0.083","0.364","0.101","0.086","0.269","0.224"
"Dry_Mag_90","9","11","6","80","21","22","24.833"
"Dry_Mag_50","6","6","5","80","21","12","21.667"
"Dry_Mag_10","4","4","4","80","21","5","19.667"
"Dry_Tim","277","343","271","328","345","296","310"
"Dry_Dur","183","134","65","7","4","71","77.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"2.5","1.167","1.333",NA,"1.667"
"No_Peaks_Max",NA,NA,"3","1","2",NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.612","0.554","0.639",NA,"0.602"
"Frac_V_Cent_Max",NA,NA,"0.455","0.444","0.5",NA,"0.466"
