"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","311.01","98.999","473.431","769.861","202.216","0.648","309.124"
"SD_Ann","517.174","310.78","914.091","1141.262","448.056","5.805","717.023"
"CV_Ann","1.663","3.139","1.931","1.482","2.216","8.965","2.32"
"Q10_Mag","4","4","4","3","0","0","0"
"Q25_Mag","6","5","7","5","0","0","0"
"Q50_Mag","10","8","11","56","0","0","7"
"Q75_Mag","479","15.75","282","1149","6","0","55.25"
"Q90_Mag","1234","151","1994","2998.6","1183.7","0","1219.9"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","123","174","115","122","78","261","145"
"Q75_Tim","153","247","165","105","103","261","172"
"Q90_Tim","139","189","169","158","119",NA,"154"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","8","10","7","9","5","1","6"
"Q75_Fre","5","4","3","6","2","1","3"
"Q90_Fre","5","1","1","4","2",NA,"2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","266","232","309","259","91","6","193"
"Q75_Dur","122","72","109","186","66","2","92"
"Q90_Dur","45","11","69","78","31",NA,"46"
"Q10_Mag_Lng_Evt","2116","1874","3708","4106","1404","70","2213"
"Q25_Mag_Lng_Evt","2116","1874","3708","4106","1404","70","2213"
"Q50_Mag_Lng_Evt","2116","415","3708","4106","1404","70","1969"
"Q75_Mag_Lng_Evt","2116","415","3708","4106","1404","70","1969"
"Q90_Mag_Lng_Evt","2116","1874","3708","4106","1404",NA,"2641"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","109","250","61","77","108","261","144"
"Q75_Strt_Tim_Lng_Evt","147","252","156","79","108","261","167"
"Q90_Strt_Tim_Lng_Evt","147","189","169","165","108",NA,"155"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","aut","win","spr","spr","aut","spr"
"Q75_Strt_Sea_Lng_Evt","spr","aut","sum","spr","spr","aut","spr"
"Q90_Strt_Sea_Lng_Evt","spr","sum","sum","sum","spr",NA,"sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","152","90","183","168","63","6","110"
"Q75_Dur_Lng_Evt","92","28","88","166","62","2","73"
"Q90_Dur_Lng_Evt","16","11","69","68","21",NA,"37"
"Init_Mag","1654.597","138.904","194.583","1341.967","19.47","0","558.254"
"Init_Tim","87","-76","-112","93","-90","248","25"
"Init_Dur","12","8","9","22","5","3","9.833"
"Wet_BFL_Mag_10","7","5","540.2","442.2","5","0","166.567"
"Wet_BFL_Mag_50","375.5","5","1867","1113","1232.1","0","765.433"
"Wet_Tim","73","182","151","75","101","248","138.333"
"Wet_BFL_Dur","124","11","77","129","47","14","67"
"Peak_Mag_Ann","2116","1874","3708","4106","1404","70","2213"
"Peak_Mag_Tim","150","189","199","183","111","261","182.167"
"Peak_Mag_95","2116",NA,"2706","4106",NA,NA,"2976"
"Peak_Mag_90","1864","1874","3708","1451.5","1332.7",NA,"2046.04"
"Peak_Mag_80","1602","415","2193.5","516","955",NA,"1136.3"
"Peak_Dur_95","4",NA,"56","65",NA,NA,"41.667"
"Peak_Dur_90","45","11","69","78","31",NA,"46.8"
"Peak_Dur_80","104","24","92","173","62",NA,"91"
"Peak_Fre_95","2",NA,"3","1",NA,NA,"2"
"Peak_Fre_90","5","1","1","4","2",NA,"2.6"
"Peak_Fre_80","4","3","2","3","2",NA,"2.8"
"Peak_Tim_95","160",NA,"189","168",NA,NA,"172.333"
"Peak_Tim_90","168","189","169","118.5","124.5",NA,"153.8"
"Peak_Tim_80","169.5","252","146","348","67",NA,"196.5"
"Rec_Mag","1340","1799","2706","4036","1261.4","70","1868.733"
"Rec_Tim","196","192","227","203","147","261","204.333"
"Rec_Dur","65","41","68","67","34","21","49.333"
"Rec_ROC","0.213","0.167","0.266","0.133","0.026","0.485","0.215"
"Dry_Mag_90","25.4","133","10","41.08","0","0","34.913"
"Dry_Mag_50","6","11","5.5","6","0","0","4.75"
"Dry_Mag_10","4","4","0","1.7","0","0","1.617"
"Dry_Tim","261","233","295","270","181","282","253.667"
"Dry_Dur","287","285","146","197","433","85","238.833"
"Dry_NoFL_Days","0","0","22","9","433","85","91.5"
"No_Peaks_Avg","1",NA,"1.625","3",NA,NA,"1.875"
"No_Peaks_Max","1",NA,"4","7",NA,NA,"4"
"Frac_V_Cent_Avg","0.833",NA,"0.72","0.573",NA,NA,"0.709"
"Frac_V_Cent_Max","0.667",NA,"0.615","0.52",NA,NA,"0.601"
