"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","311.01","98.999","479.031","780.339","217.466","0.648","314.34"
"SD_Ann","517.174","310.78","911.529","1134.589","481.372","5.805","719.287"
"CV_Ann","1.663","3.139","1.903","1.454","2.214","8.965","2.288"
"Q10_Mag","4","4","6","5","0","0","0"
"Q25_Mag","6","5","8","8","0","0","0"
"Q50_Mag","10","8","13","121","0","0","7"
"Q75_Mag","479","15.75","282","1149","6","0","92.25"
"Q90_Mag","1234","151","1994","2998.6","1346.4","0","1279.5"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","123","174","105","131","78","261","145"
"Q75_Tim","152","244","157","122","103",NA,"155"
"Q90_Tim","129","189","169","159","108",NA,"150"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","8","10","6","5","5","1","5"
"Q75_Fre","5","4","4","6","2",NA,"4"
"Q90_Fre","5","1","1","4","1",NA,"2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","266","232","337","286","91","6","203"
"Q75_Dur","121","64","105","197","66",NA,"110"
"Q90_Dur","29","11","69","77","45",NA,"46"
"Q10_Mag_Lng_Evt","2116","1874","3708","4106","1404","70","2213"
"Q25_Mag_Lng_Evt","2116","1874","3708","4106","1404","70","2213"
"Q50_Mag_Lng_Evt","2116","415","3708","4106","1404","70","1969"
"Q75_Mag_Lng_Evt","2116","415","3708","4106","1404",NA,"2349"
"Q90_Mag_Lng_Evt","1864","1874","3708","4106","1404",NA,"2591"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","109","250","61","77","108","261","144"
"Q75_Strt_Tim_Lng_Evt","147","252","156","81","108",NA,"148"
"Q90_Strt_Tim_Lng_Evt","81","189","169","166","108",NA,"142"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","aut","win","spr","spr","aut","spr"
"Q75_Strt_Sea_Lng_Evt","spr","aut","sum","spr","spr",NA,"spr"
"Q90_Strt_Sea_Lng_Evt","spr","sum","sum","sum","spr",NA,"sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","152","90","226","168","63","6","117"
"Q75_Dur_Lng_Evt","92","28","94","162","62",NA,"87"
"Q90_Dur_Lng_Evt","12","11","69","67","45",NA,"40"
"Init_Mag","1654.597","138.904","194.583","71.147","82.793","0","357.004"
"Init_Tim","87","-76","-112","-68","-103","248","-4"
"Init_Dur","12","8","9","9","12","3","8.833"
"Wet_BFL_Mag_10","7","5","540.2","442.2","5","0","166.567"
"Wet_BFL_Mag_50","375.5","5","1867","1113","1364","0","787.417"
"Wet_Tim","73","182","151","75","101","248","138.333"
"Wet_BFL_Dur","124","11","77","129","45","14","66.667"
"Peak_Mag_Ann","2116","1874","3708","4106","1404","70","2213"
"Peak_Mag_Tim","150","189","199","183","111","261","182.167"
"Peak_Mag_95","2116",NA,"2706","4106",NA,NA,"2976"
"Peak_Mag_90","1864","1874","3708","1451.5","1404",NA,"2060.3"
"Peak_Mag_80","1602","415","2193.5","516","955",NA,"1136.3"
"Peak_Dur_95","4",NA,"56","65",NA,NA,"41.667"
"Peak_Dur_90","29","11","69","77","45",NA,"46.2"
"Peak_Dur_80","104","24","92","173","62",NA,"91"
"Peak_Fre_95","2",NA,"3","1",NA,NA,"2"
"Peak_Fre_90","5","1","1","4","1",NA,"2.4"
"Peak_Fre_80","4","3","2","3","2",NA,"2.8"
"Peak_Tim_95","160",NA,"189","168",NA,NA,"172.333"
"Peak_Tim_90","168","189","169","118.5","108",NA,"150.5"
"Peak_Tim_80","169.5","252","146","348","67",NA,"196.5"
"Rec_Mag","1340","1799","2706","4036","1360","70","1885.167"
"Rec_Tim","196","192","227","203","145","261","204"
"Rec_Dur","65","41","53","48","36","21","44"
"Rec_ROC","0.213","0.167","0.23","0.095","0.022","0.485","0.202"
"Dry_Mag_90","25.4","133","25","124","0","0","51.233"
"Dry_Mag_50","6","11","7","7.5","0","0","5.25"
"Dry_Mag_10","4","4","4.5","4","0","0","2.75"
"Dry_Tim","261","233","280","251","181","282","248"
"Dry_Dur","287","285","161","216","433","85","244.5"
"Dry_NoFL_Days","0","0","0","0","433","85","86.333"
"No_Peaks_Avg","1",NA,"1.625","3",NA,NA,"1.875"
"No_Peaks_Max","1",NA,"4","7",NA,NA,"4"
"Frac_V_Cent_Avg","0.833",NA,"0.72","0.573",NA,NA,"0.709"
"Frac_V_Cent_Max","0.667",NA,"0.615","0.52",NA,NA,"0.601"
