"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","279.817","199.996","1957.139","669.458","126.07","355.847","597.763"
"SD_Ann","392.652","548.714","4254.757","913.518","258.994","1699.061","2028.005"
"CV_Ann","1.403","2.744","2.174","1.365","2.054","4.775","3.393"
"Q10_Mag","1.64","2.15","84.22","0","0","0","0"
"Q25_Mag","3","4.9","170","15.8","0","0","0.8"
"Q50_Mag","13","10.45","937.8","198.8","0.3","0","30.85"
"Q75_Mag","533.3","202.775","1818.7","899.7","39.5","2.4","587.875"
"Q90_Mag","974.06","579.25","3174","2195.2","631.52","246.6","1340.55"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","89","1","46","45","74","228","80"
"Q50_Tim","178","86","47","17","107","241","112"
"Q75_Tim","153","166","85","122","122","239","147"
"Q90_Tim","122","362","114","169",NA,"224","198"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","1","2","5","4","3","2"
"Q50_Fre","6","8","2","2","4","4","4"
"Q75_Fre","4","5","4","2","2","2","3"
"Q90_Fre","2","1","9","2",NA,"1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","360","366","359","305","175","104","278"
"Q50_Dur","173","153","357","270","97","58","184"
"Q75_Dur","88","36","222","154","49","26","95"
"Q90_Dur","2","5","139","64",NA,"17","45"
"Q10_Mag_Lng_Evt","1393","5385.6","32656.2","3325.2","1057.5","15267.5","9847"
"Q25_Mag_Lng_Evt","1384.1","5385.6","32656.2","3325.2","1057.5","15267.5","9846"
"Q50_Mag_Lng_Evt","1384.1","835","32656.2","3325.2","1057.5","15267.5","9087"
"Q75_Mag_Lng_Evt","1384.1","1307.5","32656.2","3325.2","1057.5","15267.5","9166"
"Q90_Mag_Lng_Evt","1393","5385.6","3500","3325.2",NA,"15267.5","5774"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","144","1","1","1","105","224","79"
"Q50_Strt_Tim_Lng_Evt","152","18","1","1","114","224","85"
"Q75_Strt_Tim_Lng_Evt","153","193","55","133","115","224","145"
"Q90_Strt_Tim_Lng_Evt","89","362","181","171",NA,"224","205"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","win","spr","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","win","spr","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","spr","spr","sum","spr"
"Q90_Strt_Sea_Lng_Evt","spr","win","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","222","366","307","263","90","87","222"
"Q50_Dur_Lng_Evt","103","83","305","258","69","26","140"
"Q75_Dur_Lng_Evt","67","20","97","114","47","20","60"
"Q90_Dur_Lng_Evt","1","5","59","62",NA,"17","28"
"Init_Mag","1149.175","29.02","3646.853","499.636","6.725","212.441","923.975"
"Init_Tim","89","-86","-2","-33","-91","-88","-35.167"
"Init_Dur","7","8","7","10","9","10","8.5"
"Wet_BFL_Mag_10","0.7",NA,"424","453","0.23","0","175.586"
"Wet_BFL_Mag_50","469",NA,"5679.25","893.3","12.9","36.1","1418.11"
"Wet_Tim","79",NA,"50","76","-16","209","79.6"
"Wet_BFL_Dur","119",NA,"34","131","174","22","96"
"Peak_Mag_Ann","1393","5385.6","32656.2","3325.2","1057.5","15267.5","9847.5"
"Peak_Mag_Tim","89","364","83","206","132","225","183.167"
"Peak_Mag_95",NA,"5385.6","3491.75","3325.2",NA,"15267.5","6867.512"
"Peak_Mag_90","1388.55","5385.6","2314.7","2343.65",NA,"15267.5","5340"
"Peak_Mag_80","1094.85","1307.5","3005.7","1362.1","866.6","8191.1","2637.975"
"Peak_Dur_95",NA,"5","62","35",NA,"16","29.5"
"Peak_Dur_90","2","5","139","64",NA,"17","45.4"
"Peak_Dur_80","62","20","213","122","21","22","76.667"
"Peak_Fre_95",NA,"1","4","1",NA,"1","1.75"
"Peak_Fre_90","2","1","9","2",NA,"1","3"
"Peak_Fre_80","4","3","5","3","4","2","3.5"
"Peak_Tim_95",NA,"362","88","183",NA,"224","214.25"
"Peak_Tim_90","122","362","116","135.5",NA,"224","191.9"
"Peak_Tim_80","181.5","193","55","144","139.5","255.5","161.417"
"Rec_Mag","1308.2","1307.5","32656.2","3325.2","800.2","11284.7","8447"
"Rec_Tim","197","200","83","206","157","230","178.833"
"Rec_Dur","66","118","206","58","40","93","96.833"
"Rec_ROC","0.177","0.136","0.103","0.108","0.165","0.35","0.173"
"Dry_Mag_90",NA,"1959.24","214.02","8","0","1.17","436.486"
"Dry_Mag_50",NA,"433.1","93.6","0","0","0","105.34"
"Dry_Mag_10",NA,"1.18","31.38","0","0","0","6.512"
"Dry_Tim","263","318","289","264","197","323","275.667"
"Dry_Dur",NA,"99","153","86","378","44","152"
"Dry_NoFL_Days",NA,"0","5","60","358","33","91.2"
"No_Peaks_Avg",NA,"1","1.444","7",NA,"2","2.861"
"No_Peaks_Max",NA,"1","1","7",NA,"3","3"
"Frac_V_Cent_Avg",NA,"0.6","0.678","0.543",NA,"0.472","0.573"
"Frac_V_Cent_Max",NA,"0.6","0.467","0.543",NA,"0.444","0.514"
