"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","279.817","199.996","1961.003","671.749","141.32","355.847","601.327"
"SD_Ann","392.652","548.714","4253.158","911.865","296.047","1699.061","2028.028"
"CV_Ann","1.403","2.744","2.169","1.357","2.095","4.775","3.373"
"Q10_Mag","1.64","2.15","89.1","5.04","0","0","0"
"Q25_Mag","3","4.9","171.7","25.7","0","0","1.8"
"Q50_Mag","13","10.45","937.8","198.8","0.3","0","32.45"
"Q75_Mag","533.3","202.775","1818.7","899.7","39.5","2.4","590.425"
"Q90_Mag","974.06","579.25","3174","2195.2","728.16","246.6","1340.55"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","109","28","1","1","76","227","73"
"Q50_Tim","178","85","46","72","109","240","121"
"Q75_Tim","153","166","85","122","122","239","147"
"Q90_Tim","122","362","114","169",NA,"224","198"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","4","3","1","1","3","3","2"
"Q50_Fre","6","8","2","5","4","4","4"
"Q75_Fre","4","5","4","2","2","2","3"
"Q90_Fre","2","1","9","2",NA,"1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","339","343","365","365","164","99","279"
"Q50_Dur","173","152","359","270","94","56","184"
"Q75_Dur","88","36","222","154","49","26","95"
"Q90_Dur","2","5","139","64",NA,"17","45"
"Q10_Mag_Lng_Evt","1393","5385.6","32656.2","3325.2","1272.4","15267.5","9883"
"Q25_Mag_Lng_Evt","1384.1","1307.5","32656.2","3325.2","1272.4","15267.5","9202"
"Q50_Mag_Lng_Evt","1384.1","835","32656.2","3325.2","1272.4","15267.5","9123"
"Q75_Mag_Lng_Evt","1384.1","1307.5","32656.2","3325.2","1272.4","15267.5","9202"
"Q90_Mag_Lng_Evt","1393","5385.6","3500","3325.2",NA,"15267.5","5774"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","152","1","1","1","105","224","80"
"Q50_Strt_Tim_Lng_Evt","152","18","1","74","115","224","97"
"Q75_Strt_Tim_Lng_Evt","153","193","55","133","115","224","145"
"Q90_Strt_Tim_Lng_Evt","89","362","181","171",NA,"224","205"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","win","spr","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","spr","spr","sum","spr"
"Q90_Strt_Sea_Lng_Evt","spr","win","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","214","316","365","365","89","83","238"
"Q50_Dur_Lng_Evt","103","83","307","184","68","26","128"
"Q75_Dur_Lng_Evt","67","20","97","114","47","20","60"
"Q90_Dur_Lng_Evt","1","5","59","62",NA,"17","28"
"Init_Mag","1149.175","29.02","3646.853","160.618","400.848","212.441","933.159"
"Init_Tim","89","-86","-2","-64","-6","-88","-26.167"
"Init_Dur","7","8","7","7","18","10","9.5"
"Wet_BFL_Mag_10","0.7",NA,"424","453","0.2","0","175.58"
"Wet_BFL_Mag_50","469",NA,"5679.25","893.3","6.4","36.1","1416.81"
"Wet_Tim","79",NA,"50","76","-16","209","79.6"
"Wet_BFL_Dur","119",NA,"34","131","153","22","91.8"
"Peak_Mag_Ann","1393","5385.6","32656.2","3325.2","1272.4","15267.5","9883.317"
"Peak_Mag_Tim","89","364","83","206","136","225","183.833"
"Peak_Mag_95",NA,"5385.6","3491.75","3325.2",NA,"15267.5","6867.512"
"Peak_Mag_90","1388.55","5385.6","2314.7","2343.65",NA,"15267.5","5340"
"Peak_Mag_80","1384.1","1307.5","2660.2","1362.1","911.5","8191.1","2636.083"
"Peak_Dur_95",NA,"5","62","35",NA,"16","29.5"
"Peak_Dur_90","2","5","139","64",NA,"17","45.4"
"Peak_Dur_80","60","19","207","121","36","22","77.5"
"Peak_Fre_95",NA,"1","4","1",NA,"1","1.75"
"Peak_Fre_90","2","1","9","2",NA,"1","3"
"Peak_Fre_80","3","3","6","3","3","2","3.333"
"Peak_Tim_95",NA,"362","88","183",NA,"224","214.25"
"Peak_Tim_90","122","362","116","135.5",NA,"224","191.9"
"Peak_Tim_80","154","193","97","144","127","255.5","161.75"
"Rec_Mag","1308.2","1307.5","32656.2","3325.2","1272.4","11284.7","8525.7"
"Rec_Tim","197","200","83","206","136","230","175.333"
"Rec_Dur","66","118","206","127","61","93","111.833"
"Rec_ROC","0.177","0.136","0.103","0.086","0.088","0.35","0.157"
"Dry_Mag_90",NA,"1959.24","214.02","2.5","0","1.17","435.386"
"Dry_Mag_50",NA,"433.1","98.3","2.4","0","0","106.76"
"Dry_Mag_10",NA,"1.18","37.34","2.3","0","0","8.164"
"Dry_Tim","263","318","289","333","197","323","287.167"
"Dry_Dur",NA,"99","153","17","378","44","138.2"
"Dry_NoFL_Days",NA,"0","0","0","358","33","78.2"
"No_Peaks_Avg",NA,"1","1.444","7",NA,"2","2.861"
"No_Peaks_Max",NA,"1","1","7",NA,"3","3"
"Frac_V_Cent_Avg",NA,"0.6","0.678","0.543",NA,"0.472","0.573"
"Frac_V_Cent_Max",NA,"0.6","0.467","0.543",NA,"0.444","0.514"
