"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","29.281","101.297","362.413","97.999","74.016","19.079","113.965"
"SD_Ann","32.639","202.146","514.762","80.158","39.675","20.631","256.366"
"CV_Ann","1.115","1.996","1.42","0.818","0.536","1.081","2.25"
"Q10_Mag","5.9","27.25","66.32","43.38","34.98","0","8.51"
"Q25_Mag","16.7","40.1","94.7","54.8","43.1","0","30.175"
"Q50_Mag","27.3","59.65","158.2","78","58.7","13","54.2"
"Q75_Mag","33.7","90.275","441.1","119.6","103.1","34","102.925"
"Q90_Mag","40.9","137.8","767.7","163.36","134.92","49.5","196.3"
"Q10_Tim","79","1","1","1","1","62","24"
"Q25_Tim","146","21","1","81","56","88","65"
"Q50_Tim","283","141","1","131","128","113","132"
"Q75_Tim","312","139","98","205","162",NA,"183"
"Q90_Tim","354","123","85","249",NA,NA,"202"
"Q10_Fre","11","1","1","1","1","12","4"
"Q25_Fre","13","3","1","2","2","6","4"
"Q50_Fre","4","15","1","10","6","3","6"
"Q75_Fre","2","9","7","4","6",NA,"5"
"Q90_Fre","1","3","9","5",NA,NA,"4"
"Q10_Dur","320","366","365","365","365","202","330"
"Q25_Dur","144","336","365","359","359","113","279"
"Q50_Dur","24","211","365","285","214","30","188"
"Q75_Dur","8","73","275","123","99",NA,"115"
"Q90_Dur","3","29","167","23",NA,NA,"55"
"Q10_Mag_Lng_Evt","137.6","2311.2","5307.4","852.7","181.8","81","1478"
"Q25_Mag_Lng_Evt","38.8","526.4","5307.4","852.7","181.8","81","1164"
"Q50_Mag_Lng_Evt","427.7","526.4","5307.4","852.7","181.8","81","1229"
"Q75_Mag_Lng_Evt","427.7","526.4","5307.4","213.5","181.8",NA,"1331"
"Q90_Mag_Lng_Evt","427.7","526.4","5307.4","213.5",NA,NA,"1618"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","117","67","77","44"
"Q50_Strt_Tim_Lng_Evt","353","14","1","162","124","125","129"
"Q75_Strt_Tim_Lng_Evt","354","15","1","166","173",NA,"141"
"Q90_Strt_Tim_Lng_Evt","354","15","55","204",NA,NA,"157"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","spr","spr","spr"
"Q50_Strt_Sea_Lng_Evt","win","win","win","sum","spr","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","sum","sum",NA,"win"
"Q90_Strt_Sea_Lng_Evt","win","win","win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","238","366","365","365","365","157","309"
"Q25_Dur_Lng_Evt","21","316","365","249","299","78","221"
"Q50_Dur_Lng_Evt","13","73","365","193","151","26","136"
"Q75_Dur_Lng_Evt","6","28","155","75","69",NA,"66"
"Q90_Dur_Lng_Evt","3","19","93","9",NA,NA,"31"
"Init_Mag","27.7","148.878","1416.021","430.031","106.131","63.27","365.338"
"Init_Tim","173","-10","-4","-12","87","-59","29.167"
"Init_Dur","17","10","12","18","16","16","14.833"
"Wet_BFL_Mag_10","27.4",NA,"137.8","43.42","53.32","20.2","56.428"
"Wet_BFL_Mag_50","35.1",NA,"422.4","77.4","89.4","42.3","133.32"
"Wet_Tim","173",NA,"-14","-29","72","-83","23.8"
"Wet_BFL_Dur","15",NA,"93","307","137","233","157"
"Peak_Mag_Ann","427.7","2311.2","5307.4","852.7","181.8","81","1526.967"
"Peak_Mag_Tim","354","362","78","344","208","149","249.167"
"Peak_Mag_95",NA,"1418.8","570.9","852.7",NA,NA,"947.467"
"Peak_Mag_90","427.7","526.4","351.1","213.5",NA,NA,"379.675"
"Peak_Mag_80","282.65","141.1","236.3","213.5","134.5",NA,"201.61"
"Peak_Dur_95",NA,"11","98","4",NA,NA,"37.667"
"Peak_Dur_90","3","29","167","23",NA,NA,"55.5"
"Peak_Dur_80","5","54","241","98","65",NA,"92.6"
"Peak_Fre_95",NA,"2","7","1",NA,NA,"3.333"
"Peak_Fre_90","1","3","9","5",NA,NA,"4.5"
"Peak_Fre_80","2","7","9","5","7",NA,"6"
"Peak_Tim_95",NA,"186.5","56","343",NA,NA,"195.167"
"Peak_Tim_90","354","57","206","204",NA,NA,"205.25"
"Peak_Tim_80","270.5","139","212","265","152",NA,"207.7"
"Rec_Mag","137.6","121.3","5307.4","132.8","181.8","81","993.65"
"Rec_Tim","187","249","78","277","208","149","191.333"
"Rec_Dur","43","87","238","92","74","173","117.833"
"Rec_ROC","0.12","0.063","0.079","0.042","0.037","0.542","0.147"
"Dry_Mag_90",NA,"23.08","75.1","48.18","32.3","31.2","41.972"
"Dry_Mag_50",NA,"19.1","59.4","42.2","32.3","1","30.8"
"Dry_Mag_10",NA,"13.8","57.9","28.55","32.3","0","26.51"
"Dry_Tim","230","336","316","369","282","322","309.167"
"Dry_Dur",NA,"17","21","68","1","45","30.4"
"Dry_NoFL_Days",NA,"0","0","0","0","22","4.4"
"No_Peaks_Avg",NA,"1","1.9","1",NA,NA,"1.3"
"No_Peaks_Max",NA,"1","5","1",NA,NA,"2.333"
"Frac_V_Cent_Avg",NA,"0.528","0.66","0.5",NA,NA,"0.563"
"Frac_V_Cent_Max",NA,"0.556","0.639","0.5",NA,NA,"0.565"
