"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","4.096","64.151","1542.054","18.79","4.425","437.59","345.098"
"SD_Ann","15.162","140.71","3237.667","22.893","21.357","1485.788","1556.436"
"CV_Ann","3.702","2.193","2.1","1.218","4.826","3.395","4.51"
"Q10_Mag","0","0","30.28","0","0","0","0"
"Q25_Mag","0","0","53.6","0","0","0","0"
"Q50_Mag","0","2.2","151.2","12.6","0","0","0"
"Q75_Mag","0","76.975","1003.2","31.1","0","31.475","43.6"
"Q90_Mag","6.1","182.2","5587.1","44.5","0","516.75","293.28"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","253","141","119","146","286","226","195"
"Q90_Tim",NA,"259","30",NA,NA,"246","178"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","2","7","6","7","1","1","4"
"Q90_Fre",NA,"5","3",NA,NA,"2","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","12","106","308","46","15","89","96"
"Q90_Dur",NA,"17","154",NA,NA,"59","76"
"Q10_Mag_Lng_Evt","113.7","1175.1","15736.1","133","191.3","7676","4170"
"Q25_Mag_Lng_Evt","113.7","1175.1","15736.1","133","191.3","7676","4170"
"Q50_Mag_Lng_Evt","113.7","1175.1","15736.1","133","191.3","7676","4170"
"Q75_Mag_Lng_Evt","94.8","313.5","15736.1","122.2","191.3","7676","4022"
"Q90_Mag_Lng_Evt",NA,"1175.1","15736.1",NA,NA,"7676","8195"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","179","34","1","218","286","226","157"
"Q90_Strt_Tim_Lng_Evt",NA,"347","20",NA,NA,"226","197"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","sum","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt",NA,"win","win",NA,NA,"sum","win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","7","32","163","16","15","89","53"
"Q90_Dur_Lng_Evt",NA,"5","140",NA,NA,"39","61"
"Init_Mag","8.064","44.196","574.194","46.973","0","0","112.238"
"Init_Tim","1","-3","-17","-180","279","221","50.167"
"Init_Dur","4","23","33","18","33","1","18.667"
"Wet_BFL_Mag_10","0","0","3115.88","0.95","0","0","519.472"
"Wet_BFL_Mag_50","0","26","8131.75","35.95","0","6372.8","2427.75"
"Wet_Tim","172","26","68","-137","279","221","104.833"
"Wet_BFL_Dur","11","188","32","366","10","20","104.5"
"Peak_Mag_Ann","113.7","1175.1","15736.1","133","191.3","7676","4170.867"
"Peak_Mag_Tim","356","348","99","165","287","240","249.167"
"Peak_Mag_95",NA,NA,"1696.1",NA,NA,"4448","3072.05"
"Peak_Mag_90",NA,"894.1","1696.1",NA,NA,"4196.9","2262.367"
"Peak_Mag_80","104.25","330.6","241.65","118.75","191.3","4196.9","863.908"
"Peak_Dur_95",NA,NA,"84",NA,NA,"28","56"
"Peak_Dur_90",NA,"17","154",NA,NA,"59","76.667"
"Peak_Dur_80","7","93","243","16","12","76","74.5"
"Peak_Fre_95",NA,NA,"3",NA,NA,"2","2.5"
"Peak_Fre_90",NA,"5","3",NA,NA,"2","3.333"
"Peak_Fre_80","2","6","6","4","1","2","3.5"
"Peak_Tim_95",NA,NA,"63",NA,NA,"243.5","153.25"
"Peak_Tim_90",NA,"213","20",NA,NA,"256","163"
"Peak_Tim_80","268","174.5","265","191.5","286","255","240"
"Rec_Mag","94.8","1044.9","15736.1","83.4","171.8","7676","4134.5"
"Rec_Tim","182","213","99","228","288","240","208.333"
"Rec_Dur","29","33","69","57","34","100","53.667"
"Rec_ROC","0.231","0.303","0.101","0.19","0.282","0.167","0.212"
"Dry_Mag_90","9.9","657.1","69.1","0","0","0","122.683"
"Dry_Mag_50","0","0.1","29.8","0","0","0","4.983"
"Dry_Mag_10","0","0","20.7","0","0","0","3.45"
"Dry_Tim","211","246","168","285","322","340","262"
"Dry_Dur","181","189","61","360","265","27","180.5"
"Dry_NoFL_Days","143","94","0","359","265","27","148"
"No_Peaks_Avg",NA,NA,"1.167",NA,NA,"2","1.583"
"No_Peaks_Max",NA,NA,"2",NA,NA,"3","2.5"
"Frac_V_Cent_Avg",NA,NA,"0.64",NA,NA,"0.722","0.681"
"Frac_V_Cent_Max",NA,NA,"0.282",NA,NA,"0.444","0.363"
