"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","586.241","455.617","1887.899","652.888","477.793","745.564","800.818"
"SD_Ann","1007.443","674.949","2883.077","1025.816","683.633","1070.142","1521.403"
"CV_Ann","1.718","1.481","1.527","1.571","1.431","1.435","1.9"
"Q10_Mag","88.78","89","131","91.48","66.78","110.8","94.32"
"Q25_Mag","112","104","213","148","140.9","153.25","137.925"
"Q50_Mag","168.7","164.5","426","326.1","204.4","339.85","251.55"
"Q75_Mag","519.7","570","2724","684.8","440.1","919.95","722.925"
"Q90_Mag","1988.66","1250","5468.6","1539.16","1187.92","1678.95","2100.74"
"Q10_Tim","133","129","1","52","47","94","76"
"Q25_Tim","151","170","105","105","42","124","116"
"Q50_Tim","107","156","85","117","103","142","118"
"Q75_Tim","23","164","9","84","62","166","84"
"Q90_Tim","1","273","37","57","66","187","103"
"Q10_Fre","5","4","1","3","3","2","3"
"Q25_Fre","9","7","5","5","4","5","5"
"Q50_Fre","9","5","6","6","6","7","6"
"Q75_Fre","4","5","4","6","5","6","5"
"Q90_Fre","1","3","4","3","2","4","2"
"Q10_Dur","321","324","365","322","311","359","333"
"Q25_Dur","252","213","321","283","292","314","279"
"Q50_Dur","139","130","258","220","158","215","186"
"Q75_Dur","63","61","145","84","66","142","93"
"Q90_Dur","37","16","111","17","21","22","37"
"Q10_Mag_Lng_Evt","179","792","20037","8007.2","4551.7","9841.3","7234"
"Q25_Mag_Lng_Evt","5580.1","239","20037","5257.4","4551.7","4728","6732"
"Q50_Mag_Lng_Evt","5580.1","4581","20037","8007.2","4551.7","9841.3","8766"
"Q75_Mag_Lng_Evt","5580.1","2941","20037","8007.2","4551.7","9841.3","8493"
"Q90_Mag_Lng_Evt","5580.1","4581","20037","8007.2","4551.7","9841.3","8766"
"Q10_Strt_Tim_Lng_Evt","185","109","1","5","1","171","78"
"Q25_Strt_Tim_Lng_Evt","1","217","1","140","1","1","60"
"Q50_Strt_Tim_Lng_Evt","1","314","1","20","1","275","102"
"Q75_Strt_Tim_Lng_Evt","1","23","1","35","21","305","64"
"Q90_Strt_Tim_Lng_Evt","1","358","51","47","36","305","133"
"Q10_Strt_Sea_Lng_Evt","sum","spr","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","win","spr","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","aut","win","win","win","aut","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q10_Dur_Lng_Evt","111","168","365","275","267","196","230"
"Q25_Dur_Lng_Evt","51","59","151","139","255","145","133"
"Q50_Dur_Lng_Evt","51","53","150","71","80","92","82"
"Q75_Dur_Lng_Evt","50","28","138","55","52","62","64"
"Q90_Dur_Lng_Evt","37","9","69","10","19","8","25"
"Init_Mag","5020.6","290.91","792.448","271.761","1124.042","425.823","1320.931"
"Init_Tim","1","-267","-45","-43","-13","-30","-66.167"
"Init_Dur","6","6","22","6","13","6","9.833"
"Wet_BFL_Mag_10","2599.13","89","831.5","247.65","158.21","650.9","762.732"
"Wet_BFL_Mag_50","3809.75","304.5","3209","898","342.65","1110.35","1612.375"
"Wet_Tim","1","6","-34","30","17","2","3.667"
"Wet_BFL_Dur","18","124","132","126","150","40","98.333"
"Peak_Mag_Ann","5580.1","4581","20037","8007.2","4551.7","9841.3","8766.383"
"Peak_Mag_Tim","18","361","97","49","40","306","145.167"
"Peak_Mag_95","5300.35","4581","8411","5518.2","4551.7","7284.65","5941.15"
"Peak_Mag_90","5580.1","2941","7654","5518.2","3564.9","3811.1","4844.883"
"Peak_Mag_80","3698","2145","1717","1632.7","2578.1","2224.3","2332.517"
"Peak_Dur_95","14","3","75","11","3","7","18.833"
"Peak_Dur_90","37","16","111","17","21","22","37.333"
"Peak_Dur_80","53","49","131","70","51","93","74.5"
"Peak_Fre_95","2","1","5","3","1","2","2.333"
"Peak_Fre_90","1","3","4","3","2","4","2.833"
"Peak_Fre_80","2","4","4","5","3","7","4.167"
"Peak_Tim_95","5.5","360","54","47","40","159","110.917"
"Peak_Tim_90","1","346","31","47","192","173","131.667"
"Peak_Tim_80","36.5","170.5","141.5","111","166","277","150.417"
"Rec_Mag","5580.1","792","20037","5257.4","1220.7","2894.2","5963.567"
"Rec_Tim","18","129","97","155","166","41","101"
"Rec_Dur","80","29","213","136","105","106","111.5"
"Rec_ROC","0.07","0.101","0.079","0.016","0.011","0.071","0.058"
"Dry_Mag_90","335.18","478.8","493.8","737.1","673.74","1685.19","733.968"
"Dry_Mag_50","143.7","135","153","122.35","80.1","188.15","137.05"
"Dry_Mag_10","86.99","91.4","103.8","70.11","48.6","103.23","84.022"
"Dry_Tim","98","158","310","291","271","147","212.5"
"Dry_Dur","274","175","86","92","97","220","157.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1.5","1","1.5","1","1","1","1.167"
"No_Peaks_Max","2","1","1","1","1","1","1.167"
"Frac_V_Cent_Avg","0.542","0.667","0.554","0.643","0.667","0.55","0.604"
"Frac_V_Cent_Max","0.583","0.667","0.4","0.429","0.667","0.6","0.558"
