"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","16.897","0","35.952","0","7.756","10.908","11.913"
"SD_Ann","139.421","0","230.737","0","78.567","83.711","120.075"
"CV_Ann","8.251","NaN","6.418","NaN","10.13","7.674","10.079"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","0","0","0","0","0"
"Q75_Mag","0","0","0","0","0","0","0"
"Q90_Mag","0","0","0","0","0","0","0"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","1","1","1","1","1","1","1"
"Q90_Tim","1","1","1","1","1","1","1"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","1","1","1","1","1","1","1"
"Q90_Fre","1","1","1","1","1","1","1"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","365","366","365","365","365","366","365"
"Q90_Dur","365","366","365","365","365","366","365"
"Q10_Mag_Lng_Evt","1879.6","0","2177.1","0","1067.6","1250.5","1062"
"Q25_Mag_Lng_Evt","1879.6","0","2177.1","0","1067.6","1250.5","1062"
"Q50_Mag_Lng_Evt","1879.6","0","2177.1","0","1067.6","1250.5","1062"
"Q75_Mag_Lng_Evt","1879.6","0","2177.1","0","1067.6","1250.5","1062"
"Q90_Mag_Lng_Evt","1879.6","0","2177.1","0","1067.6","1250.5","1062"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q90_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q90_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Init_Mag","0",NA,"1511.717",NA,"0","0","377.929"
"Init_Tim","160",NA,"81",NA,"292","231","191"
"Init_Dur","11",NA,"19",NA,"6","12","12"
"Wet_BFL_Mag_10","0",NA,"0",NA,"0","0","0"
"Wet_BFL_Mag_50","0",NA,"0",NA,"0","0.2","0.05"
"Wet_Tim","160",NA,"72",NA,"292","231","188.75"
"Wet_BFL_Dur","25",NA,"9",NA,"9","21","16"
"Peak_Mag_Ann","1879.6","0","2177.1","0","1067.6","1250.5","1062.467"
"Peak_Mag_Tim","184","1","80","1","300","251","136.167"
"Peak_Mag_95","1380.5",NA,"2177.1",NA,"148.6","679.8","1096.5"
"Peak_Mag_90","1380.5",NA,"2177.1",NA,"148.6","679.8","1096.5"
"Peak_Mag_80","1380.5",NA,"2177.1",NA,"148.6","679.8","1096.5"
"Peak_Dur_95","27",NA,"15",NA,"10","18","17.5"
"Peak_Dur_90","27",NA,"15",NA,"10","18","17.5"
"Peak_Dur_80","27",NA,"15",NA,"10","18","17.5"
"Peak_Fre_95","3",NA,"1",NA,"3","3","2.5"
"Peak_Fre_90","3",NA,"1",NA,"3","3","2.5"
"Peak_Fre_80","3",NA,"1",NA,"3","3","2.5"
"Peak_Tim_95","181",NA,"79",NA,"300","237","199.25"
"Peak_Tim_90","181",NA,"79",NA,"300","237","199.25"
"Peak_Tim_80","181",NA,"79",NA,"300","237","199.25"
"Rec_Mag","1879.6",NA,"2177.1",NA,"1067.6","1250.5","1593.7"
"Rec_Tim","184",NA,"80",NA,"300","251","203.75"
"Rec_Dur","51",NA,"23",NA,"20","20","28.5"
"Rec_ROC","0.828",NA,"0.576",NA,"0.858","0.658","0.73"
"Dry_Mag_90",NA,NA,NA,NA,"0","0","0"
"Dry_Mag_50",NA,NA,NA,NA,"0","0","0"
"Dry_Mag_10",NA,NA,NA,NA,"0","0","0"
"Dry_Tim","235",NA,"103",NA,"320","271","232.25"
"Dry_Dur",NA,NA,NA,NA,"277","96","186.5"
"Dry_NoFL_Days",NA,NA,NA,NA,"276","96","186"
"No_Peaks_Avg","3","3","0","0","3","0","1.5"
"No_Peaks_Max","6","3","0","0","3","0","2"
"Frac_V_Cent_Avg","0.126","0.975","0.003","0","0.574","0","0.28"
"Frac_V_Cent_Max","0.253","0.975","0.003","0","0.574","0","0.301"
